[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Jellyfin-Android-_v2.6.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
a4f45ca68bfce819    3 of   3   androidx/lifecycle/viewmodel/CreationExtras
99d80ac84f0a83fb    3 of   3   leakcanary/internal/ViewModelClearedWatcher$Companion$install$provider$1
14f24936285058ca   24 of  64   androidx/compose/material/ripple/AndroidRippleIndicationInstance
f834a87f82a94eda    1 of  21   io/ktor/client/features/HttpRequestLifecycle$Feature$install$1
37f95f48de48bf16    9 of  17   com/google/android/datatransport/cct/internal/AutoBatchedLogRequestEncoder$LogEventEncoder
ace71036b7e3bc87   41 of 130   kotlinx/coroutines/channels/BufferedChannel$BufferedChannelIterator
7a9d31bd9e710192    8 of  10   leakcanary/internal/activity/db/Io
d7a02be151d66a85    1 of   3   androidx/compose/ui/platform/AndroidTextToolbar$textActionModeCallback$1
f252d90bcfc2b19b  246 of 474   androidx/compose/ui/node/LayoutNodeLayoutDelegate$MeasurePassDelegate
40851a1c8fed8485    1 of   7   androidx/lifecycle/WithLifecycleStateKt$suspendWithStateAtLeastUnchecked$2$2
10b052a2d846cec0    3 of   4   androidx/compose/foundation/IndicationModifier
78a204235d33e2df   12 of  40   androidx/room/RoomOpenHelper$Companion
5698752fe95d4ed2    2 of  32   androidx/core/view/LayoutInflaterCompat
8d6a62c595f3f9df    1 of   3   androidx/compose/ui/platform/ComposeView$Content$1
c8671dc2714197dd    8 of  11   com/google/android/gms/internal/cast/zze
33cc4e075c307b4d    6 of  14   com/google/android/gms/cast/framework/zzan
55afa0a79a19e1f5    2 of   3   androidx/compose/runtime/RecomposeScopeImplKt
057f4343c9ce6f44    2 of   4   io/ktor/client/engine/okhttp/OkHttpEngine$Companion$okHttpClientPrototype$2
873542e430038dac    9 of  12   androidx/compose/ui/draw/CacheDrawScope
7eac396a517c2fc6    7 of  10   androidx/compose/ui/input/pointer/PointerIcon$Companion
bc411af9b492728a    4 of  18   androidx/compose/runtime/SkippableUpdater
7a8ff679868085e1   19 of  44   androidx/compose/foundation/shape/RoundedCornerShape
ff3d993b78a98a40   13 of  42   androidx/compose/runtime/CompositionKt
0c4afcb4fd585c84    2 of   3   com/google/android/datatransport/runtime/time/TimeModule_UptimeClockFactory$InstanceHolder
09cdc5d65d67ff9c    5 of   5   com/google/android/datatransport/runtime/scheduling/persistence/EventStoreModule_DbNameFactory
c8a71fd2255fb7dd    2 of   9   shark/AndroidReferenceMatchers$BACKDROP_FRAME_RENDERER__MDECORVIEW$add$1
ac23646ec8b729e5   19 of  35   androidx/compose/foundation/BackgroundNode
83903af9b3f0b49a   68 of 2127   androidx/compose/ui/platform/AndroidComposeViewAccessibilityDelegateCompat
723b8c79837c5f1a    2 of   5   com/google/android/gms/internal/cast/zzdc
32170c7c3e836d43    6 of  12   io/ktor/client/HttpClientJvmKt
a2333f468c87cd39    6 of  47   androidx/compose/animation/core/ComplexDouble
dd88ed6889d3dfcf    1 of   1   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion$APPLICATION_KEY$1
98b47684719ce3a4    4 of  20   leakcanary/RemoteWorkManagerHeapAnalyzer
c9a9e0157a67b021    4 of   4   androidx/compose/ui/layout/PlaceableKt$DefaultLayerBlock$1
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
2be43b09b996ba35    1 of   3   androidx/compose/material/MaterialThemeKt$MaterialTheme$2
d192cd176ba9500e   48 of  81   androidx/compose/ui/graphics/colorspace/ColorSpaces
c2205db275a1bcd6    7 of 113   leakcanary/ObjectWatcher
2ceef92180fcf43e    2 of   3   kotlin/coroutines/SafeContinuation$Companion
37659cde452f4151    4 of   6   leakcanary/RootViewWatcher
a8f5e83cfcbfee0d    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
e58de039a17b5755    1 of   1   androidx/fragment/app/FragmentManagerImpl
d786c99d4bb71bec    7 of   9   leakcanary/internal/VisibilityTrackerKt
6c4733b7a4d90e0e   20 of  20   androidx/compose/animation/core/VectorConvertersKt
0b4d2844b2f74e4a    2 of   7   shark/AndroidReferenceMatchers$EDITTEXT_BLINK_MESSAGEQUEUE$add$1
26697c5ee80a8204    5 of   9   androidx/lifecycle/SavedStateHandleAttacher
