[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Open-Food-Facts-_v3.10.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
5846aaa7b52a6cce   19 of  20   kotlin/reflect/jvm/internal/impl/builtins/CompanionObjectMapping
132bb852159c5b4f    8 of 170   okhttp3/internal/http/HttpHeaders
ed06e1191600a524    2 of  26   org/greenrobot/eventbus/HandlerPoster
15fc7dbb61588ca0   43 of 142   androidx/appcompat/app/AppCompatActivity
7bb29cf37ea3cc61    2 of   4   org/greenrobot/greendao/identityscope/IdentityScopeType
7cd83538eee62508    1 of   2   com/fasterxml/jackson/databind/introspect/NopAnnotationIntrospector$1
99a42951f8667109    5 of  13   dagger/internal/SetBuilder
eb1d5689a81b2a80    1 of   5   com/google/android/gms/internal/mlkit_vision_common/zzr
e8b8074cd09e8318   23 of  31   com/google/firebase/components/Component$Builder
e4c384d31e9faba1   12 of  26   kotlin/reflect/jvm/internal/pcollections/ConsPStack
069f6997edc38ad8   14 of 10166   kotlin/collections/ArraysKt___ArraysKt
6d5f845695cf6b68    4 of   6   androidx/work/impl/utils/futures/AbstractFuture$SafeAtomicHelper
a810c89fb6d4e540    8 of  32   okhttp3/internal/http/StatusLine
df30a3fbac6f14d4   16 of  40   kotlinx/coroutines/DelayKt
1f3437cea0359fa8    1 of   5   dagger/hilt/android/internal/modules/ApplicationContextModule_ProvideContextFactory
6a58b7e732a16273    1 of   2   openfoodfacts/github/scrachx/openfood/features/productlist/ProductListViewModel_HiltModules$KeyModule
0cff6f52bc361cdd   69 of 156   okhttp3/logging/HttpLoggingInterceptor
98b40ee1f17fea3f    1 of  27   com/fasterxml/jackson/databind/node/ValueNode
b5c829e8eef46398   11 of  17   androidx/lifecycle/BlockRunner$cancel$1
dae5e4d9fed9e1c7   59 of 254   androidx/constraintlayout/core/widgets/Chain
b3643c9a48db923d    6 of  11   io/sentry/SentryAutoDateProvider
6a97f4c3950d5003    1 of   6   androidx/room/RoomOpenHelper$Delegate
4332d4481013eded    8 of  15   com/squareup/picasso/Picasso$CleanupThread
ea05cc810b402d33    1 of   5   org/greenrobot/eventbus/meta/SimpleSubscriberInfo
8e05f208712f3e7f    3 of   3   openfoodfacts/github/scrachx/openfood/features/splash/SplashActivity$special$$inlined$viewModels$default$2
3b2beace17e888ee   10 of  25   com/fasterxml/jackson/core/util/DefaultIndenter
be8bfd9d78200c6d    1 of   3   kotlin/reflect/jvm/internal/impl/name/FqNameUnsafe$1
5a97dffd1f483268    1 of   3   io/sentry/SentryItemType$Deserializer
031af4820b13ef95   54 of 302   androidx/work/impl/utils/futures/AbstractFuture
2e8237a0541a3e48   14 of  37   com/fasterxml/jackson/databind/util/TypeKey
9c09c15ff5e1d550   17 of  29   com/fasterxml/jackson/databind/type/ClassStack
28c90fd7d7eff16b    1 of  43   io/sentry/protocol/SentryThread$Deserializer
6a9f34a80feecbfe    6 of  46   kotlin/collections/MapsKt__MapsJVMKt
193db44406d3dd0c   36 of 180   androidx/constraintlayout/core/widgets/ConstraintAnchor
5c94f9bd861798f4    6 of   8   org/greenrobot/eventbus/ThreadMode
004fd2ec010ce098   31 of  32   com/fasterxml/jackson/core/JsonParser$Feature
34d4263fa6728afd    1 of   3   androidx/core/util/ObjectsCompat$Api19Impl
7cae259b8f41dfcb    4 of  26   kotlin/collections/CollectionsKt__IterablesKt
555c85fe8a4798bb    1 of   2   com/fasterxml/jackson/databind/ser/SerializerFactory
63c6d58a425bd34c   11 of  14   androidx/lifecycle/LiveData$LifecycleBoundObserver
bfc4156a3d298df6    3 of   3   kotlin/collections/AbstractMutableList
76c75389f45fe203    3 of   6   logcat/LogcatLogger$NoLog
be706f833d9f8023   11 of  69   androidx/work/impl/model/WorkProgressDao_Impl
0e0a767c4ff88c01    4 of   4   androidx/lifecycle/viewmodel/ViewModelInitializer
c1da545e12e1a210    5 of  74   openfoodfacts/github/scrachx/openfood/models/entities/tag/TagDao
43de0784ee2a119d    9 of  11   io/sentry/SentryLevel
90823c2aec0926aa    3 of   4   androidx/hilt/work/HiltWorkerFactory
44ba2542cac636e0    1 of   1   kotlin/reflect/jvm/internal/ReflectProperties$Val$1
0304387ae9a23a2e    1 of   4   androidx/core/content/ContextCompat$Api23Impl
a6e231a0afb7fd79    9 of  13   kotlinx/coroutines/scheduling/TasksKt
