[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Aegis-_v3.4.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
d47924d6bea147fa    1 of   6   com/beemdevelopment/aegis/ui/views/EntryListView$3
9c0b2cd8d7405666    1 of  36   kotlin/collections/AbstractCollection
22b3904d41415a46   14 of  31   com/beemdevelopment/aegis/SortCategory
58362f5ae54cebde    1 of   5   androidx/core/app/AppOpsManagerCompat$Api23Impl
bb48a9fdf84630f3   95 of 292   androidx/appcompat/view/menu/MenuItemImpl
73d0ef5b43cb5541    2 of  11   kotlin/LazyKt__LazyJVMKt
4cfdd3c63737fa0e    9 of  17   androidx/activity/OnBackPressedDispatcher$LifecycleOnBackPressedCancellable
da145824bd088d3d   34 of 158   com/google/android/material/card/MaterialCardView
6fe2619d3879440f    5 of  20   androidx/lifecycle/ClassesInfoCache$MethodReference
3832d5253924463a    6 of  14   androidx/emoji2/viewsintegration/EmojiEditTextHelper$HelperInternal19
e1e8a4601cc99b4b    2 of  12   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ShadowAnimatorImpl
2517e5656d4e1f31    2 of   4   androidx/lifecycle/ViewModelProvider$Factory$Companion
4680bb8dc6ea89e9   13 of  26   androidx/viewpager2/widget/CompositeOnPageChangeCallback
9025ecef67eab12e    2 of   5   androidx/fragment/app/FragmentTransaction$Op
36233e9d27ad2d0a   21 of 163   androidx/profileinstaller/DeviceProfileWriter
0795a07c5710fae2    5 of   5   androidx/activity/ComponentActivity$4
8ec0914ef49d610f    2 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
5b3a62dcf459cfa1   12 of  53   com/beemdevelopment/aegis/JacocoInstrument/JacocoInstrumentation
722c76ce1627d8e7    1 of   2   com/beemdevelopment/aegis/DaggerAegisApplication_HiltComponents_SingletonC
214926e12ad89f56    1 of   3   com/bumptech/glide/load/engine/bitmap_recycle/LruBitmapPool$NullBitmapTracker
e04a4cf1c67340ef   12 of  46   androidx/core/view/ViewCompat$Api21Impl
b7d3da9cd4d20bba    2 of   3   androidx/collection/ArrayMap$EntrySet
c6daec9591d8f1bf   13 of  40   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigFactory
da597eca354aebf3    1 of   2   androidx/fragment/app/FragmentManager$7
5ffccc9b6b9d82d1    2 of  17   androidx/activity/result/ActivityResultRegistry$register$3
c0da8612d6c53226   26 of  84   androidx/fragment/app/SpecialEffectsController$Operation
682b70e385b57f53    5 of   6   androidx/lifecycle/ProcessLifecycleOwner$Companion
c338f1fc27d0273b    1 of   5   androidx/fragment/app/FragmentManagerState$1
01da2fcd327d9e5b   14 of  22   dagger/hilt/android/internal/managers/ActivityComponentManager
00ee8bcb97732e64   12 of  54   com/beemdevelopment/aegis/ui/views/EntryListView$VerticalSpaceItemDecoration
e2b3339da244792a    2 of   3   androidx/core/view/ViewConfigurationCompat$Api26Impl
2a64d711e58232b6   11 of  18   androidx/appcompat/widget/AppCompatEmojiEditTextHelper
