[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/AmazeFileManager-3.4.2-_1837_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
ad163a7983f4fa4c   10 of  53   com/amaze/filemanager/filesystem/HybridFileParcelable
9c122bee2c444efd   10 of  12   com/bumptech/glide/GeneratedAppGlideModuleImpl
64f11c8a8fb2abe5    5 of   5   com/amaze/filemanager/ui/views/Indicator$LeftwardStartPredicate
a0f443982e2a0dcb   45 of  79   com/amaze/filemanager/ui/colors/ColorPreferenceHelper
733bcac191f49721    9 of  39   com/amaze/filemanager/filesystem/CustomFileObserver
ce5e5d50e98771cd   17 of  98   com/amaze/filemanager/filesystem/compressed/CompressedHelper
3eb2eba15b25a4e8    2 of   3   com/amaze/filemanager/utils/application/AppConfig$CustomAsyncCallbacks
8ec3e5da6f1d1355   10 of  18   com/amaze/filemanager/ui/views/appbar/BottomBar$7
e7462c8386cfd9d7    6 of   7   com/amaze/filemanager/ui/views/Indicator$PendingStartAnimator
92280f4f1c80fb74    2 of   2   com/amaze/filemanager/ui/views/drawer/MenuMetadata
025574e12f2e50ef    8 of  14   com/amaze/filemanager/adapters/data/LayoutElementParcelable$2
df13b1f0d6f4967e    8 of  45   com/amaze/filemanager/ui/views/appbar/SearchView
83c8809f04da41e1  135 of 375   com/amaze/filemanager/ui/views/drawer/Drawer
4e1bfc91cab879a3   24 of 247   com/amaze/filemanager/asynchronous/asynctasks/LoadFilesListTask
b6907d0290641697    1 of   2   androidx/appcompat/R$styleable
f2c329c88696d114   10 of  11   com/amaze/filemanager/ui/views/appbar/BottomBar$5
edd2e5735e43a74d   15 of  15   com/amaze/filemanager/adapters/holders/ItemViewHolder
10f5939f710f4e19   10 of  11   com/amaze/filemanager/adapters/glide/RecyclerPreloadSizeProvider
ffc5d75d5f089125    4 of 187   com/amaze/filemanager/utils/MainActivityHelper
ba1436cfa984d7e6   73 of  91   com/amaze/filemanager/ui/icons/MimeTypes
2a6b993c8d755831    9 of  16   com/amaze/filemanager/database/UtilsHandler$1
086b3194c2e59913    5 of  67   com/amaze/filemanager/utils/OTGUtil
e195739d7bdba02f    3 of   7   com/amaze/filemanager/utils/LruBitmapCache
6e3e620e8f63b54d   18 of  48   com/amaze/filemanager/activities/MainActivity$1
cadbfb410e5c24ea    4 of   7   com/amaze/filemanager/JacocoInstrument/SMSInstrumentedReceiver
23e90b5eb2494ff6    1 of   3   com/amaze/filemanager/ui/views/appbar/BottomBar$1
0dcd798cfffd06a6    4 of  55   com/amaze/filemanager/database/SortHandler
3230620a077f3495    2 of   2   com/amaze/filemanager/utils/application/LeakCanaryApplication
c743fbd50c8f9170    1 of   7   com/amaze/filemanager/activities/MainActivity$3
c510c69edbab8eac    1 of 203   com/amaze/filemanager/fragments/MainFragment$3
1b39c8675d88a413    1 of  13   com/amaze/filemanager/activities/MainActivity$2
ddd5d9ccfd35444d    5 of  24   com/amaze/filemanager/database/models/OperationData
24c88f33e2a38ef9    1 of   2   com/amaze/filemanager/ui/views/Indicator$1

