[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Clock-_1.6.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
f2c7fe57cd8141c6    6 of  17   com/google/gson/internal/Streams
8fc72b98885a74d2    2 of  10   com/google/gson/internal/Streams$AppendableWriter$CurrentWrite
bf4e7517d45dd6dc   25 of 241   androidx/collection/LongSparseArray
fe06df07a332baef    7 of   7   androidx/savedstate/SavedStateRegistryController$Companion
2692e899c70a79dc   25 of 1508   org/fossify/commons/extensions/ActivityKt
d9c1dce0e1b1ac4f    2 of  30   kotlinx/coroutines/flow/FlowKt__TransformKt
360e5bf82f12da00    1 of  16   kotlin/internal/jdk7/JDK7PlatformImplementations
65a14d900f9af74c   66 of 142   org/fossify/commons/activities/EdgeToEdgeActivity
189d1e841728c1de   43 of 318   androidx/appcompat/widget/ActionMenuView
8e032358e7bb5210    7 of  19   androidx/recyclerview/widget/LinearLayoutManager$SavedState
f450e6b41b0da118   59 of 937   kotlin/text/StringsKt__StringsKt
45dd8a866ff5405c    2 of   2   androidx/room/InvalidationTracker$Companion
e15b0d4052e7ae0b    4 of  39   kotlinx/coroutines/flow/StateFlowKt
68eaa115f76c8e6b    5 of  32   kotlinx/coroutines/intrinsics/CancellableKt
f4a4e9230a4edf31    2 of  13   androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement$Companion
7ed8d0ce1049d6a6    1 of   1   androidx/savedstate/internal/SynchronizedObject
cb813a4647236e1e    6 of  10   androidx/fragment/app/FragmentStateManager$2
3933f4d494d1f1cd   44 of 868   org/fossify/commons/activities/BaseSimpleActivity
d264df782952fd4e    3 of   4   com/google/gson/internal/bind/NumberTypeAdapter$1
013a271aa3f95cdc    1 of   2   androidx/appcompat/app/AppCompatDelegate$ThreadPerTaskExecutor
d7f34367281c458d  109 of 283   androidx/navigationevent/NavigationEventProcessor
a7bb36f90c7a3c3e    2 of  30   kotlinx/coroutines/CoroutineScopeKt
9a299f2999d9f5d1   73 of 793   androidx/core/view/ViewCompat
ffe2f14069707edb    7 of  12   androidx/sqlite/driver/SupportSQLiteStatement$TransactionSQLiteStatement$WhenMappings
4205671abd663970    2 of   2   org/fossify/clock/adapters/TimerAdapter$Companion
6a8196767cfd8901    4 of  21   kotlinx/coroutines/Job$DefaultImpls
