[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Kore-_v3.1.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
dc74d5ee6212ccb5    1 of   1   androidx/activity/result/ActivityResultRegistry$CallbackAndContract
f0d1bdbab883971f    1 of  33   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory
34a3f0a02d947c57    2 of   2   com/google/android/material/shape/ShapePath$PathOperation
554478e9c307c2dc    2 of   3   kotlin/Unit
7b61c183aa03bbf5    5 of  51   org/xbmc/kore/utils/Utils
6b9793856f14e3f0    2 of   3   androidx/lifecycle/SavedStateHandlesVM
cc3aefeffc9ccf11   15 of  45   androidx/fragment/app/FragmentViewLifecycleOwner
86d8d8d08787fe78    1 of   2   androidx/fragment/app/Fragment$Api19Impl
f3505722758fef0e    2 of  66   androidx/appcompat/view/SupportMenuInflater
238c38b27d3074cc    2 of   3   androidx/core/os/TraceCompat$Api18Impl
ef3f81be62cf5b0c   46 of 173   androidx/appcompat/app/AppCompatViewInflater
210dfdaa53f56070    5 of  57   androidx/collection/MapCollections
04dfa454ae20f22f    1 of   1   androidx/lifecycle/SavedStateHandleSupport$SAVED_STATE_REGISTRY_OWNER_KEY$1
0832959905ab7035    3 of   4   androidx/core/content/res/ResourcesCompat$ColorStateListCacheEntry
a6e7d0e8a533be56    6 of  34   androidx/savedstate/Recreator
7fd1b70cf6e45084    1 of   2   androidx/preference/Preference$1
cb813a4647236e1e    6 of  10   androidx/fragment/app/FragmentStateManager$2
678e26ce21aa4f3f   15 of  19   androidx/profileinstaller/ProfileInstallerInitializer
96936be7c900b7da    3 of   3   androidx/emoji2/text/EmojiCompatInitializer$1
4d421abae3250dc9    1 of   2   androidx/preference/R$styleable
a7d3577ed3582778    1 of  16   kotlin/internal/jdk7/JDK7PlatformImplementations
eea378ce09be0506    1 of   4   androidx/viewpager2/widget/ViewPager2$OnPageChangeCallback
44c72c82fda9571b   49 of 113   androidx/preference/PreferenceInflater
02ffba9a38953cb5    2 of   9   kotlin/collections/ArrayDeque$Companion
180549f08580028d    5 of   8   androidx/appcompat/app/AppCompatDelegateImpl$2
3fd446a01d175933   46 of 140   androidx/core/content/res/ResourcesCompat
9c731f027476cce9  182 of 425   com/google/android/material/shape/MaterialShapeDrawable
28233a4a54c43f7d    2 of 1097   kotlin/collections/ArraysKt___ArraysJvmKt
3ffd3546df853ac4    2 of  38   androidx/core/view/ViewCompat$AccessibilityPaneVisibilityManager
0822bc291a6a932a    2 of   3   androidx/profileinstaller/ProfileInstallerInitializer$Choreographer16Impl
7863099849de5e66    5 of   8   androidx/viewbinding/ViewBindings
cef720a3d8e886ee    2 of   4   androidx/lifecycle/MutableLiveData
ce2d5902218681db    3 of   3   androidx/arch/core/internal/SafeIterableMap$DescendingIterator
9cfa8bf60f6dfc05    1 of   9   androidx/appcompat/app/AppCompatDelegateImpl$3
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
aed22020bd9441cd    3 of  10   androidx/core/graphics/drawable/DrawableCompat$Api21Impl
481f8f304f6175ff    8 of  50   androidx/core/app/ComponentActivity
9fdb171b0a780443    1 of   7   com/google/android/material/button/MaterialButton$SavedState$1
f89b8af29db58ca5    2 of   9   androidx/activity/result/ActivityResultRegistry$3
8fb0281449d47662  321 of 1299   androidx/appcompat/app/AppCompatDelegateImpl
efcc740e76ae9c49    1 of  10   androidx/fragment/app/FragmentManager$9
b63274b8c4c27d4f    1 of  10   androidx/fragment/app/FragmentManager$8
f474aa78633a3e96   14 of  17   androidx/activity/OnBackPressedDispatcher$LifecycleOnBackPressedCancellable
9d21ce0b5d02a20b    2 of   2   kotlin/UNINITIALIZED_VALUE
6d60de30cfa4e6d7    6 of  51   com/google/android/material/ripple/RippleUtils
6a8321ec1cadcfb2    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
691b20a00245e161    5 of   8   androidx/fragment/app/SpecialEffectsController$Operation$WhenMappings
42fdbf4cfb45e9e4    3 of   3   androidx/lifecycle/SavedStateHandlesProvider$viewModel$2
281e804d6813cfbc   12 of  53   org/xbmc/kore/JacocoInstrument/JacocoInstrumentation
d6cbb88aad8de840    2 of   2   androidx/fragment/app/FragmentManager$4
