[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Vinyl-Music-Player-_1.11.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
699b22a27a9580b0    2 of  20   com/poupa/vinylmusicplayer/discog/tagging/MultiValuesTagUtil
05c9e5764f872625   18 of 328   androidx/core/app/NotificationCompat$Builder
7a154a9efa669bf2   20 of  28   com/poupa/vinylmusicplayer/ui/activities/base/AbsThemeActivity
385cf1006141893d   27 of  85   androidx/recyclerview/widget/ViewInfoStore
25c56ef014ce2eda    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
ba85a2d173c94abc    1 of   2   androidx/customview/widget/ViewDragHelper$1
9a9c6e3a8d05a081    3 of 168   com/h6ah4i/android/widget/advrecyclerview/utils/CustomRecyclerViewUtils
65830ee121b713f6    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
24705cd9209e6113  187 of 625   androidx/appcompat/widget/LinearLayoutCompat
2085861cfad03d6c    1 of   7   com/google/android/material/navigation/NavigationView$2
595a534fad2ca61e   29 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
21b9b531ec03a9a3   43 of 318   androidx/appcompat/widget/ActionMenuView
66ca612bb253d49b   65 of 255   com/poupa/vinylmusicplayer/discog/Discography
ed1d81202a7d0769    3 of   4   androidx/fragment/app/strictmode/WrongFragmentContainerViolation
b668aac56d5db8da    2 of   3   androidx/appcompat/content/res/AppCompatResources
ecbe9440c9bb3869   12 of  29   androidx/recyclerview/widget/RecyclerView$AdapterDataObservable
d8251a2d6a0a512e   12 of  53   com/poupa/vinylmusicplayer/JacocoInstrument/JacocoInstrumentation
e1be7d7e0470719f   26 of  32   com/google/android/material/shape/ShapePath$PathArcOperation
15bbe346fce7532a    2 of 134   kotlin/collections/CollectionsKt__MutableCollectionsKt
d302552554d99bca    3 of   3   androidx/activity/OnBackPressedDispatcher$addCallback$1
cdf44afe3c043234    1 of   1   androidx/appcompat/view/menu/ActionMenuItemView$PopupCallback
721c92bdcabccb21    1 of   1   androidx/loader/content/ModernAsyncTask$AsyncTaskResult
a428ae983e956d67    2 of  30   kotlin/jvm/internal/CallableReference
8ae15bff2cc69c9a    8 of  10   com/poupa/vinylmusicplayer/model/CategoryInfo$Category
8fc35169a2060de8   92 of 349   androidx/recyclerview/widget/DefaultItemAnimator
f7b375bc175cd415    3 of   9   androidx/activity/ComponentActivity$3
a22c4decd7faf17c    4 of   4   com/poupa/vinylmusicplayer/ui/fragments/mainactivity/AbsMainActivityFragment
a10021010023f965    1 of  22   com/h6ah4i/android/widget/advrecyclerview/animator/impl/ItemMoveAnimationManager
84fe9a7ad0120fde   14 of  17   me/zhanghai/android/materialprogressbar/BaseSingleHorizontalProgressDrawable
d93030d59c84d428    8 of  11   androidx/lifecycle/viewmodel/MutableCreationExtras
8f3f9f294d8764db   24 of  44   com/poupa/vinylmusicplayer/ui/fragments/mainactivity/library/pager/SongsFragment
df0cd2ee8d87f129    4 of  13   com/poupa/vinylmusicplayer/appwidgets/AppWidgetSmall
f0536bd6b2c44810   11 of  13   androidx/fragment/app/strictmode/FragmentStrictMode$Flag
660854f4619eba36    1 of   8   android/support/v4/media/session/MediaSessionCompat$Token$1
1a613915bab19093    2 of   3   androidx/tracing/TraceApi18Impl
2d40cb7ba1ac56c1   70 of 236   me/zhanghai/android/materialprogressbar/MaterialProgressBar
414f09936beb426c   20 of  27   androidx/coordinatorlayout/widget/ViewGroupUtils
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
b4652431342dd524    3 of  40   androidx/recyclerview/widget/GapWorker$LayoutPrefetchRegistryImpl
e33cf84b79ca53e2    6 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
1e07ecf6cd155e84   21 of  36   com/poupa/vinylmusicplayer/ui/fragments/mainactivity/library/pager/ArtistsFragment
4a98e1e51988e397   16 of  77   androidx/loader/content/AsyncTaskLoader
c6da21926b564575    1 of   5   com/poupa/vinylmusicplayer/views/PlayPauseDrawable$1
aa6ccf58cd9131ce   30 of  81   com/poupa/vinylmusicplayer/provider/HistoryStore
db33932cd376ca05    2 of   3   com/poupa/vinylmusicplayer/ui/activities/base/AbsMusicServiceActivity$1
80a9d912f7c5ef12    7 of  40   com/h6ah4i/android/widget/advrecyclerview/adapter/BridgeAdapterDataObserver
29a8d5f0a3343e00    3 of  16   com/poupa/vinylmusicplayer/service/SongPlayCountHelper
4e3058954d16a2de  201 of 533   com/sothree/slidinguppanel/SlidingUpPanelLayout
5fa71a272956fdb8    1 of   2   androidx/appcompat/widget/Toolbar$2
c5236f15591f2a5d    6 of   7   androidx/fragment/app/SpecialEffectsController$Operation$LifecycleImpact
e61e3c67adf9d6f5    6 of  13   androidx/core/content/res/ResourcesCompat$ColorStateListCacheKey
