[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Wallabag-_2.5.3-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
f6a435eeb864dec1    3 of 303   fr/gaulupeau/apps/Poche/events/EventProcessor
df733173fe4e6e65    4 of   6   fr/gaulupeau/apps/Poche/ui/Sortable$SortOrder
ed06e1191600a524    2 of  26   org/greenrobot/eventbus/HandlerPoster
15fc7dbb61588ca0   49 of 142   androidx/appcompat/app/AppCompatActivity
7bb29cf37ea3cc61    2 of   4   org/greenrobot/greendao/identityscope/IdentityScopeType
d7a17fa9dbc1ac06    5 of   6   androidx/lifecycle/ProcessLifecycleOwner$Companion
6624b1fa6af3b4b7    2 of  55   androidx/drawerlayout/widget/DrawerLayout$AccessibilityDelegate
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
0fde33f154d45b7f    1 of   2   androidx/appcompat/widget/SearchView$7
25c56ef014ce2eda    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
626017cfd969e7e7    1 of   2   androidx/customview/widget/ViewDragHelper$2
5bca5a5b4ae1d56d    8 of   8   com/facebook/stetho/inspector/elements/android/ActivityTracker$AutomaticTracker$AutomaticTrackerICSAndBeyond$1
d6c3d3080e4794bd   16 of  87   androidx/appcompat/widget/SearchView$SearchAutoComplete
471360db70a610e1    1 of   3   com/google/android/material/internal/NavigationMenuItemView$1
1da2f24505dca265   30 of 117   androidx/activity/OnBackPressedDispatcher
ea05cc810b402d33    5 of   5   org/greenrobot/eventbus/meta/SimpleSubscriberInfo
ecbe9440c9bb3869    7 of  29   androidx/recyclerview/widget/RecyclerView$AdapterDataObservable
6f41c47b7a87e9f4    8 of  11   androidx/lifecycle/LifecycleRegistry$ObserverWithState
1b79341a6f05c3ad   12 of  44   com/google/android/material/elevation/ElevationOverlayProvider
4636e53b1840b953    2 of   2   androidx/appcompat/app/ToolbarActionBar$1
bc47e56ab3c2c11e   14 of  20   androidx/lifecycle/Lifecycle$Event
720266ef18c4e582   14 of  16   fr/gaulupeau/apps/Poche/ui/CachingPagerAdapter
03542f497676a7bd    2 of  40   kotlin/jvm/internal/FunctionReference
610115570643abe0   41 of 355   androidx/fragment/app/BackStackRecord
61b9676bc3d3285f  271 of 670   com/google/android/material/tabs/TabLayout
21b9b531ec03a9a3   49 of 318   androidx/appcompat/widget/ActionMenuView
47ef186305323a2f   12 of  18   com/google/android/material/shape/MaterialShapeUtils
a80df74e49fab162    1 of   1   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuHeaderItem
