[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Lexica-_v3.13.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
b06e3bfaabc22ce0    1 of  12   com/serwylo/lexica/db/ResultDao_Impl$1
8f24ebf3683e665e    1 of   2   androidx/appcompat/R$styleable
0400746748e7c43b    5 of 196   androidx/fragment/app/DialogFragment
6730b9847bef43e7    8 of   9   com/serwylo/lexica/view/Fonts
f10a515c074a81a1   24 of  55   com/google/android/material/internal/ThemeEnforcement
0824ea2b5e1c70d2    5 of   5   androidx/appcompat/widget/ResourceManagerInternal$ColorFilterLruCache
1681459e5c57118a   34 of  42   com/serwylo/lexica/lang/Polish
d3f35a0b8431550d    3 of   4   com/google/android/material/shape/RoundedCornerTreatment
74fc73caf93e3acd    2 of   7   com/serwylo/lexica/db/migration/Migration_1_2_RecordWhetherSelectedWordsAreWords
69ca5dd754e51c3e   66 of 130   androidx/lifecycle/LifecycleRegistry
931840547580ae0b    5 of 261   androidx/core/widget/TextViewCompat
18bfcce155c2c154   24 of  73   androidx/arch/core/internal/SafeIterableMap
bd1dcf52745f14d8    1 of   2   androidx/fragment/app/FragmentManager$4
bffbdb15a3fb1ddd   47 of  89   androidx/constraintlayout/solver/widgets/ChainHead
2d313ff55e1a1217   15 of  83   androidx/sqlite/db/framework/FrameworkSQLiteDatabase
9f906355945caa50   62 of  88   com/google/android/material/shape/ShapePath
13ebb5798e90eecb   11 of  11   com/serwylo/lexica/view/ThemeProperties$GameProperties
fbf5efb3d34ee9c1   26 of  32   com/google/android/material/shape/ShapePath$PathArcOperation
40551050ddf67539   13 of  49   androidx/constraintlayout/solver/widgets/WidgetContainer
9d2ed3a213dc679b    1 of   5   androidx/fragment/app/DialogFragment$3
a4b7ded761ce3363    4 of  37   androidx/appcompat/widget/ThemeUtils
6e439e75256be793    2 of  14   com/serwylo/lexica/db/GameMode$Companion
7617ffdf97e55ce3   27 of  70   androidx/constraintlayout/solver/SolverVariable
74bea57eb5b0b8bf    8 of  31   com/serwylo/lexica/db/ResultRepository
f95e707e7776b087   90 of 379   androidx/appcompat/widget/AppCompatTextHelper
aba2adda0cdbe871    1 of   2   androidx/fragment/app/DialogFragment$1
825099ed914daa24    1 of   1   androidx/room/migration/Migration
a38a7b1735ad2fe4   37 of  45   com/serwylo/lexica/lang/Hungarian
9c2b69c1f7b83e86   13 of 161   io/github/tonnyl/whatsnew/WhatsNew
af66643b074cb6c7  323 of 1422   androidx/constraintlayout/solver/widgets/ConstraintWidget
4a4d3028651e29ac    6 of   8   androidx/constraintlayout/solver/SolverVariable$Type
6084fc691582edb7   42 of  52   com/serwylo/lexica/lang/Dutch
9fef15c96d4499bb   19 of  73   androidx/room/RoomDatabase$Builder
565fe298d5defbc0   10 of  26   com/google/android/material/theme/overlay/MaterialThemeOverlay
dfb5a4c97c0cc590   10 of 269   kotlin/collections/MapsKt__MapsKt
d3b83462c9ca72f2   10 of  12   com/serwylo/lexica/db/Database
bbd2f80464d289e6  188 of 427   com/google/android/material/shape/MaterialShapeDrawable
98b8f079b5a4d987    1 of   5   com/google/android/material/shape/ShapePath$1
285f88edbe69283d    1 of  10   androidx/fragment/app/FragmentManager$9
ba61a5ac4ae3d1c9    2 of  32   androidx/lifecycle/ViewModel
c9511b063f01adbe   12 of  76   com/serwylo/lexica/db/Database_Impl$1
4fff6cf2b5af8448    2 of   2   com/serwylo/lexica/db/GameModeRepository$Companion
9abadc14cdf099b5    1 of   5   kotlin/TuplesKt
71b83a5d74834d8b    3 of   5   com/google/android/material/shape/EdgeTreatment
b92d06b72047532f    2 of   2   io/github/tonnyl/whatsnew/item/WhatsNewItem$Companion
497ca26a9b6d5c88    1 of   2   kotlin/collections/ArraysUtilJVM
11f9b506a962ad68   93 of 255   androidx/constraintlayout/solver/widgets/Chain
c773b86993a87445   14 of  46   androidx/appcompat/app/AppCompatDelegate
83aee87148d801fd    4 of  11   androidx/collection/MapCollections$ArrayIterator
46b17a9d64df220f    9 of  14   androidx/activity/contextaware/ContextAwareHelper
e60227dbb6990fbe   41 of  51   com/serwylo/lexica/lang/French
096cfa8a1f7c8465    2 of  29   androidx/collection/MapCollections$KeySet
b82ba286989f9d30    6 of  28   androidx/fragment/app/FragmentHostCallback
870a51d2e5441e9f    1 of   4   com/serwylo/lexica/GameSaver
268e26357fe7ac54    6 of  11   androidx/core/app/CoreComponentFactory
8d5e35a4de5289a1    8 of  14   com/serwylo/lexica/db/GameMode$WhenMappings
6846008892ea392e    9 of  11   androidx/arch/core/internal/FastSafeIterableMap
28ed658b3ce2d28f    1 of   3   io/github/tonnyl/whatsnew/WhatsNew$binding$2
