[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/LibreTorrent-_3.5.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
f7b375bc175cd415    3 of   9   androidx/activity/ComponentActivity$3
f3aaec2283e3fd27   61 of 508   com/h6ah4i/android/widget/advrecyclerview/expandable/ExpandableRecyclerViewWrapperAdapter
1319c207dfb89fea   12 of  53   org/proninyaroslav/libretorrent/JacocoInstrument/JacocoInstrumentation
d57ca78933f86043   12 of  24   androidx/fragment/app/FragmentManagerState
c75a9e074d1e5513    2 of   2   kotlin/jvm/internal/ArrayIteratorKt
692af2c2998b8332    2 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
af4ddb3ea9603c41    2 of  14   io/reactivex/internal/operators/flowable/FlowableFlattenIterable
618b4ccc3885a494    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
b4652431342dd524    3 of  40   androidx/recyclerview/widget/GapWorker$LayoutPrefetchRegistryImpl
e33cf84b79ca53e2    5 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
3cb67b3d2060568f    3 of  35   org/libtorrent4j/swig/dht_outgoing_get_peers_alert
3f0808555f46597c    1 of   2   io/reactivex/internal/functions/Functions$NullCallable
18aa35c27950d550    1 of   6   androidx/work/InputMergerFactory
e125562e53de55bf    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$4
f28d4b054adfc23a    7 of   8   org/libtorrent4j/SessionStats$Average
a940726f4f5c4503    1 of   3   androidx/appcompat/widget/ActionMenuView$ActionMenuPresenterCallback
e61e3c67adf9d6f5    6 of  13   androidx/core/content/res/ResourcesCompat$ColorStateListCacheKey
7375704a062c046b    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$27
d48ae7f1e6751476   48 of 138   androidx/core/content/res/ResourcesCompat
40fc91b12dddbdeb    2 of  15   io/reactivex/android/schedulers/AndroidSchedulers
7e28094b23bfc5a1    9 of  59   androidx/recyclerview/widget/SimpleItemAnimator
864b2e698729ce8b    3 of   5   androidx/appcompat/widget/SearchView$2
c13b2363d0f4332d    3 of  26   org/libtorrent4j/swig/storage_moved_alert
892a40d176066e7c    1 of   2   org/libtorrent4j/alerts/Alerts$65
30bf1dc00ddf9123    6 of  17   androidx/sqlite/db/SupportSQLiteCompat$Api16Impl
5fc27df0d8d61b67    3 of  24   org/libtorrent4j/swig/oversized_file_alert
b52e0ffe3e343563    8 of  10   androidx/activity/ComponentActivity$2
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
a4fa2b8526a4e853   23 of 136   org/proninyaroslav/libretorrent/ui/TorrentNotifier
3c1341c682548e08    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
482b054e11f4fd1b   13 of 127   kotlin/jvm/internal/Intrinsics
4d84de7514abb6d1   11 of  66   org/libtorrent4j/swig/alert_ptr_vector
656ed771b6f8c56a    3 of  35   kotlin/jvm/internal/PropertyReference
85a47f3034012f1a    1 of   2   org/libtorrent4j/alerts/Alerts$83
2af01e21b04bb50a    5 of   8   androidx/lifecycle/ViewModelProvider$Factory
753a775dbf9e6c69   32 of  85   androidx/cardview/widget/RoundRectDrawable
9d0f6788f454af40    3 of  24   org/libtorrent4j/swig/peer_ban_alert
22d4b00aa8f08bba    2 of   5   org/acra/config/DialogConfigurationBuilder$special$$inlined$observable$9
cfae7493ee7354db    1 of   2   org/libtorrent4j/alerts/Alerts$39
a70253a94349c677    2 of   2   org/libtorrent4j/SwigObject
4ee937d7707bc8d2    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$12
d0b347d72162f791   13 of  15   org/acra/collector/ConfigurationCollector$Prefix
7c35993573ecf776    3 of  13   androidx/core/util/ObjectsCompat
958c6af3086d2688    4 of   6   androidx/recyclerview/widget/RecyclerView$Adapter$StateRestorationPolicy
8ac546c1bf8ff22b    3 of  26   org/libtorrent4j/swig/block_uploaded_alert
aa711b6d71d1816c    1 of   9   androidx/appcompat/app/ActionBar$LayoutParams
d4da2a295c6bc332    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$15
1ee41064a6cfc9e1    2 of   2   androidx/recyclerview/selection/FocusDelegate
f8264bfb1e455c36    5 of   8   io/reactivex/internal/operators/single/SingleCreate
1cdf2bda0aa17c15   15 of  68   com/google/android/material/resources/MaterialResources
ae6b4f4963de334f    8 of  18   org/libtorrent4j/swig/dht_log_alert$dht_module_t
3b43479450546d37   13 of  15   org/libtorrent4j/alerts/DhtLogAlert$DhtModule
1a4e4fe23afa3eed    1 of   3   androidx/core/graphics/drawable/DrawableCompat$Api23Impl
d10a87722d167ad1    3 of  26   org/libtorrent4j/swig/block_timeout_alert
140da54e498d6971   28 of  42   org/proninyaroslav/libretorrent/core/model/session/SessionLogger
5eb6932581877dd7   12 of  49   androidx/work/impl/model/WorkProgressDao_Impl
c9f6c2b5af3af5b2    6 of  10   io/reactivex/android/schedulers/HandlerScheduler
5624ec87a53a2e4a    1 of   2   org/libtorrent4j/alerts/Alerts$40
f69f7af1141019ab    4 of   5   androidx/databinding/ViewDataBinding$6
d76f02fe6a67be20    2 of   2   org/libtorrent4j/alerts/Alerts$49
99e728fd317ec1b2    9 of  16   androidx/cardview/widget/CardView$1
253133b9a2bc85e3    2 of   5   org/acra/config/MailSenderConfigurationBuilder$special$$inlined$observable$4
3c9ffe1f33792021    2 of  46   kotlin/collections/MapsKt__MapsJVMKt
727a44f95d3fda65    2 of   3   androidx/lifecycle/AndroidViewModel
4bcf933e04697d43   31 of  95   androidx/room/InvalidationTracker$refreshRunnable$1
6f98267c2dd6b5ee  173 of 825   androidx/drawerlayout/widget/DrawerLayout
1a45ea35417e00d2   12 of  87   androidx/core/view/MenuItemCompat
3762c48c36af84a8    2 of   5   org/acra/config/DialogConfigurationBuilder$special$$inlined$observable$10
6a6be5e39378cd1f   18 of 507   androidx/customview/widget/ViewDragHelper
61d2633ccc92ff8e    1 of  10   androidx/work/impl/model/WorkProgressDao_Impl$1
7308aef5b27d0e74    1 of   2   org/libtorrent4j/alerts/Alerts$13
e1f6dbcca53a8ef5    4 of   6   io/reactivex/internal/operators/observable/ObservableObserveOn
4a8ec5188e9150fd    1 of   2   org/libtorrent4j/alerts/Alerts$38
4279dc9f1eba81a6    2 of   2   androidx/databinding/DataBinderMapperImpl
e50364312fb6bf7f    2 of  15   org/acra/collector/BaseReportFieldCollector
6bf9deadc1f0b558    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$10
3f34f9442799e014    1 of   2   org/libtorrent4j/alerts/Alerts$54
3cf26d40df848fc9   99 of 341   androidx/fragment/app/SpecialEffectsController
22285b1bde570566    2 of   2   org/libtorrent4j/alerts/SessionStatsAlert
eae45a54c09ee229    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
3832d5253924463a    6 of  14   androidx/emoji2/viewsintegration/EmojiEditTextHelper$HelperInternal19
e1e8a4601cc99b4b    2 of  12   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ShadowAnimatorImpl
56c00b8de4f0abb1    3 of  24   org/libtorrent4j/swig/lsd_peer_alert
2d9c964d0ce3853e    5 of   7   io/reactivex/internal/disposables/SequentialDisposable
5808e4c040c76e00   11 of  13   androidx/lifecycle/ProcessLifecycleOwner$attach$1
612ee8d2894082ac   44 of 118   androidx/room/RoomDatabase$Builder
8a909bbc0a25391c    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$16
62b83e06e88fb629    1 of   2   io/reactivex/internal/functions/Functions$FalsePredicate
a73541c7a34db7a2    1 of   2   org/libtorrent4j/alerts/Alerts$75
13243fc76748c9b5    1 of   3   androidx/core/app/NotificationCompatBuilder$Api28Impl
0c5001d2cfbe6019    3 of   3   androidx/room/SharedSQLiteStatement$stmt$2
4a47e3acf64a7d91    8 of  79   org/proninyaroslav/libretorrent/core/storage/dao/TagInfoDao_Impl
bec1702e8b3747eb   17 of 172   androidx/core/graphics/ColorUtils
65e81b5826653ae3   28 of 176   androidx/work/impl/WorkManagerImpl
18bc416a6e5d95bd   10 of  12   androidx/appcompat/app/ActionBarDrawerToggle$ToolbarCompatDelegate
24475c2bb148bb61    5 of  34   androidx/lifecycle/ViewModel
b136f08c66c73535    4 of  34   androidx/work/impl/constraints/trackers/NetworkStateTrackerKt
6e32b3f30ece2143    1 of   3   androidx/appcompat/widget/SearchView$9
7793e7966845ba0d   46 of  46   org/libtorrent4j/SessionStats
5640bdecf1615882    6 of  22   androidx/lifecycle/LegacySavedStateHandleController
7ff113f53a9744c3   12 of  19   org/proninyaroslav/libretorrent/ui/main/drawer/TagsAdapter$EmptyItemViewHolder
abbb5ad27445c77e    1 of   8   androidx/recyclerview/widget/RecyclerView$AdapterDataObserver
ecbc3098a184aff2    2 of   2   io/reactivex/internal/operators/flowable/FlowableFlatMapMaybe
754ea75c156db527   21 of 318   io/reactivex/Single
9266b91423ea4ac1    4 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$25
06a02a2f21948f45   16 of  56   io/reactivex/internal/functions/Functions
d6b6605fa7eed359   18 of  41   androidx/recyclerview/widget/AsyncListDiffer
c76a17886452b6ef    7 of  38   androidx/recyclerview/widget/LinearLayoutManager$LayoutState
f58ae9260ecc5000    1 of   2   androidx/profileinstaller/ProfileInstallerInitializer$Handler28Impl
79ac0ab3eb7fba01    2 of  10   androidx/work/impl/WorkLauncherImpl
