[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/uhabits-_v2.3.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
aa2b8f15b24b5d34   65 of 123   org/isoron/uhabits/activities/habits/list/ListHabitsActivity
ae5f4e7bf1eedb8b    1 of   6   org/isoron/uhabits/core/utils/DateFormats
5531be0be3b452cc    1 of   3   androidx/profileinstaller/ProfileInstaller$1
c3af05450ce2c040   30 of 349   androidx/recyclerview/widget/DefaultItemAnimator
2bd6b599cc98189e    4 of   5   org/isoron/uhabits/core/ui/screens/habits/list/HintListFactory
3896e58912132546    5 of   6   org/isoron/uhabits/activities/habits/list/ListHabitsScreen_Factory
fc495ee156cc1e2f    2 of   6   androidx/activity/ViewTreeOnBackPressedDispatcherOwner
ca67d2ddf555afa2    4 of  15   kotlin/reflect/jvm/internal/KProperty1Impl
e20f9f60f103de3a    3 of   7   kotlin/coroutines/AbstractCoroutineContextElement
5ae75c3a23003f84    2 of  23   kotlin/enums/EnumEntriesList
9b6f1a097b45b07c    2 of   2   kotlin/reflect/jvm/internal/impl/builtins/PrimitiveType$Companion
3092dfda4fbaaa92    2 of   2   androidx/fragment/app/FragmentManagerViewModel$1
f58ae9260ecc5000    1 of   2   androidx/profileinstaller/ProfileInstallerInitializer$Handler28Impl
8f4f57b836b4b421    5 of   5   org/isoron/uhabits/AndroidDirFinder
3578f9a835decb66   18 of  25   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton
b1bebdf64b63dd41    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
e5eb8bc67b492f08    3 of   3   org/isoron/uhabits/inject/DaggerHabitsActivityComponent$HabitsActivityComponentImpl$GetPreferencesProvider
f96cdca83911eeba    4 of  41   androidx/core/os/TraceCompat
84bde0f7628f84b5   48 of 112   androidx/fragment/app/FragmentActivity
9bc5cb0bf2e54059    1 of   2   org/isoron/uhabits/intents/IntentFactory_Factory$InstanceHolder
7c66432204c151f1   14 of  31   androidx/fragment/app/SpecialEffectsController$FragmentStateManagerOperation
b4396d97cb78f0a1    2 of  16   org/isoron/uhabits/core/models/PaletteColor
8e42ef54ce683506   14 of 790   kotlinx/coroutines/JobSupport
1783633e025bbc9f    1 of   7   androidx/appcompat/widget/Toolbar$SavedState$1
a8f5e83cfcbfee0d    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
c3bbbfba0b074d7b    5 of   5   org/isoron/uhabits/tasks/AndroidTaskRunner_ProvideTaskRunnerFactory
abbcba1f44fcbf22    1 of   9   kotlin/reflect/jvm/internal/KClassImpl$Data$constructors$2
6be5863301922ec7    2 of   2   kotlin/SafePublicationLazyImpl$Companion
53f5ca0defcb04b6    2 of   2   org/isoron/uhabits/core/ui/ThemeSwitcher$Companion
d411c058a62230ec    3 of  10   androidx/core/view/SoftwareKeyboardControllerCompat
57ef8fb675447796    1 of   5   androidx/arch/core/executor/TaskExecutor
c3933f842baf8d33    4 of  11   kotlin/coroutines/AbstractCoroutineContextKey
ca1e6726fa606dc8    1 of  11   androidx/appcompat/widget/ActionMenuView$MenuBuilderCallback
defb508ffe231ac2    5 of   6   org/isoron/uhabits/inject/HabitsModule_GetWidgetPreferencesFactory
d43642f4d0e544b2    6 of  88   org/isoron/uhabits/intents/PendingIntentFactory
82886ebf41506ffe    3 of 321   androidx/constraintlayout/core/state/WidgetFrame
522fbedb729ebcf3    1 of   3   kotlin/reflect/jvm/internal/KCallableImpl$_annotations$1
ab7ffd31273aebee    3 of   7   androidx/core/view/GestureDetectorCompat
5f61a7332c598690    1 of   3   kotlin/reflect/jvm/internal/KClassImpl$Data$allStaticMembers$2
6fc6f67a4b5c587c    2 of   2   kotlin/UNINITIALIZED_VALUE
fedf9186329fdf5b    1 of   1   org/isoron/uhabits/core/ui/views/LightTheme
2e1bd8e851cfbda2    3 of   3   androidx/lifecycle/viewmodel/CreationExtras
cb7195a87c19705f    4 of   8   androidx/activity/ComponentActivity$6
4f9ddd5d09560137    7 of   7   androidx/lifecycle/viewmodel/InitializerViewModelFactoryBuilder
