[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ownCloud-_v4.4.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
4ab23548b3561da8    1 of   5   com/owncloud/android/ui/helpers/FilesUploadHelper$1
467b84e6f69e3504    7 of   9   kotlinx/coroutines/scheduling/CoroutineScheduler$WorkerState
fd0e8a2435afc382  343 of 2264   androidx/recyclerview/widget/RecyclerView
67fa13a9396a6c30   12 of  22   androidx/lifecycle/RepeatOnLifecycleKt$repeatOnLifecycle$3$1$1$1$1
099b8272d9afb34f    5 of  37   com/owncloud/android/MainApp$onCreate$1$shouldShowDialog$1
f825a3d9467e0c8d    2 of  41   com/owncloud/android/data/transfers/datasources/implementation/OCLocalTransferDataSource$Companion
582a160e0161fe55   57 of 146   com/google/android/material/textfield/StartCompoundLayout
f2ab93ba45aa55aa    6 of  10   org/koin/android/ext/koin/ModuleExtKt
726133edb5a45539    5 of   7   com/owncloud/android/extensions/ViewExtKt
5168ee3804493a01    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
3a96b4eb76b4a9d0    3 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
deba29aae29c6495    2 of   6   androidx/savedstate/ViewTreeSavedStateRegistryOwner
f9e4d5a61864353c    1 of   5   androidx/arch/core/executor/TaskExecutor
36dd57c8a692b69a    5 of  41   androidx/work/Logger$LogcatLogger
e50a4f699a00d17d    4 of   7   com/owncloud/android/JacocoInstrument/SMSInstrumentedReceiver
385cf1006141893d    7 of  85   androidx/recyclerview/widget/ViewInfoStore
ba85a2d173c94abc    1 of   2   androidx/customview/widget/ViewDragHelper$1
dae5e4d9fed9e1c7   50 of 254   androidx/constraintlayout/core/widgets/Chain
84efec3d81c36832   19 of  33   com/owncloud/android/MainApp$Companion
3352ba559d08352b    8 of  49   kotlinx/coroutines/channels/ChannelKt
72e732ca00ca01cc    2 of 170   androidx/core/graphics/ColorUtils
1ca9d8711a9faf6b    2 of   2   androidx/lifecycle/LifecycleOwnerKt
4541d6ffb605a488   14 of  14   com/owncloud/android/dependecyinjection/UseCaseModuleKt$useCaseModule$1$invoke$$inlined$factoryOf$default$110
b45f88a8d729baed    6 of  12   androidx/fragment/app/FragmentManager$6
bf353abe0894cc29   26 of  57   kotlinx/coroutines/internal/LimitedDispatcher
363743931e4d6ad1    1 of   8   com/owncloud/android/dependecyinjection/UseCaseModuleKt$useCaseModule$1$invoke$$inlined$factoryOf$default$78
49ac494740a8117a    3 of 103   androidx/room/util/DBUtil
d41414bcd77b36ef    3 of   3   androidx/room/SharedSQLiteStatement$stmt$2
820f5c028115ae24    2 of   2   com/owncloud/android/lib/common/ConnectionValidator$Companion
2ccdbab2f7d6b0e9    5 of  13   androidx/core/view/ViewCompat$Api21Impl$1
1ceb04f256ecafb4    1 of   1   com/google/android/material/textfield/NoEndIconDelegate
8fc35169a2060de8   30 of 349   androidx/recyclerview/widget/DefaultItemAnimator
82f7df99f1ae6d86    3 of   3   com/owncloud/android/data/providers/LegacyStorageProvider
40e9a0c91aff0b99   42 of 177   kotlinx/coroutines/channels/AbstractChannel
d07936811dea4a55    3 of  12   com/owncloud/android/domain/validator/FileNameValidator
49c5684db9584999    2 of   2   kotlinx/coroutines/ExecutorCoroutineDispatcher
bfa09f273ef99f30   13 of  74   androidx/work/impl/model/SystemIdInfoDao_Impl
6b7bf6986f3b6396    1 of  70   kotlinx/coroutines/channels/ChannelsKt
4c8f408d9b68b625    5 of   5   androidx/lifecycle/LifecycleRegistry$ObserverWithState
fdec9e6e97bd656b   10 of  12   com/owncloud/android/presentation/authentication/LoginActivity$special$$inlined$viewModel$default$1
e4ba61c26c5d2871    1 of  15   kotlinx/coroutines/DebugStringsKt
166868c6073dc8c6    1 of   5   androidx/fragment/app/FragmentManager$2
b7363d896ccba722    6 of  25   kotlinx/coroutines/flow/internal/ChannelFlowOperator
fa5ffc8d005a57d2    8 of  57   kotlin/coroutines/intrinsics/IntrinsicsKt__IntrinsicsJvmKt
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
b4652431342dd524    3 of  40   androidx/recyclerview/widget/GapWorker$LayoutPrefetchRegistryImpl
e9fa5f0871caf65d   11 of  49   androidx/lifecycle/ViewModel
5bd543cf141cfd63    1 of   4   androidx/fragment/app/FragmentManager$LifecycleAwareResultListener
f292c4461ce52b59  236 of 750   kotlinx/coroutines/JobSupport
1db8a963066293d1    1 of  51   androidx/core/widget/NestedScrollView$AccessibilityDelegate
8246fa33d8824187    2 of   5   kotlin/reflect/jvm/internal/CachesKt$CACHE_FOR_BASE_CLASSIFIERS$1
22a1fed77c653162   18 of  26   com/owncloud/android/data/providers/implementation/OCSharedPreferencesProvider
dcd7ab311da38b36    2 of   4   com/owncloud/android/data/Executors$MainThreadExecutor
8a35c47739aa369b    2 of  11   com/owncloud/android/dependecyinjection/ViewModelModuleKt$viewModelModule$1$27
fd62d5d9cee5972b    1 of  10   androidx/fragment/app/FragmentManager$9
688106d467b76894    2 of   3   kotlinx/coroutines/ChildContinuation
9c1d4c781a235b31    1 of   9   androidx/core/widget/TextViewCompat$Api17Impl
d0cf11d2eac9faae    7 of   7   kotlinx/coroutines/internal/SystemPropsKt
688103439a5d30e5    1 of   5   com/owncloud/android/dependecyinjection/ViewModelModuleKt$viewModelModule$1$invoke$$inlined$viewModelOf$default$6
91ba78d83864407a    8 of  13   com/owncloud/android/databinding/ActivityMainBinding
e331e82764ff7e95    1 of   6   com/owncloud/android/lib/resources/status/services/implementation/OCServerInfoService
7e28094b23bfc5a1    1 of  59   androidx/recyclerview/widget/SimpleItemAnimator
1660b145b2a7f400    2 of   2   androidx/work/impl/constraints/controllers/NetworkMeteredController$Companion
d7081ad6cc3aa061  198 of 230   com/owncloud/android/dependecyinjection/RemoteDataSourceModuleKt$remoteDataSourceModule$1
05996188a8041d93    2 of   7   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion
7da2be51e45f462b    4 of   4   com/owncloud/android/dependecyinjection/RemoteDataSourceModuleKt$remoteDataSourceModule$1$invoke$$inlined$singleOf$default$2
482b054e11f4fd1b   10 of 127   kotlin/jvm/internal/Intrinsics
7bc2d61959fe65ae    2 of   5   kotlin/reflect/jvm/internal/CachesKt$CACHE_FOR_GENERIC_CLASSIFIERS$1
2d61c090d976050a    1 of  33   kotlin/collections/AbstractCollection
81a18b302308b809    3 of  13   androidx/emoji2/viewsintegration/EmojiKeyListener
0ec10cc426f33567    1 of   2   com/owncloud/android/data/spaces/db/SpacesDao_Impl$3
9e34a0f52aa3a5f0    9 of  12   androidx/lifecycle/RepeatOnLifecycleKt$repeatOnLifecycle$3$1$1$1
b52b891780278d88    1 of   4   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper
849aa1034364476b   33 of  62   com/owncloud/android/databinding/AccountSetupBinding
f117aa1a74ffde6d    1 of   8   com/owncloud/android/presentation/authentication/LoginActivity$initLiveDataObservers$1
aa2eda5051f24028    1 of   2   com/owncloud/android/data/files/db/FileDao_Impl$5
81ac30038fef3fe6    5 of   5   com/owncloud/android/dependecyinjection/LocalDataSourceModuleKt$localDataSourceModule$1$4
717f7ada983cd230    7 of   7   com/owncloud/android/dependecyinjection/RepositoryModuleKt$repositoryModule$1$invoke$$inlined$factoryOf$default$10
87740baa2d4bb03c    2 of  69   com/owncloud/android/data/capabilities/datasources/implementation/OCLocalCapabilitiesDataSource$Companion
ba1967f26586c9c1    3 of 101   androidx/core/view/NestedScrollingChildHelper
cce70f89aa0ec8cd   41 of 204   org/koin/core/registry/InstanceRegistry
06e88491b26a61a1    2 of  49   androidx/core/os/HandlerCompat
162d7d6eec1be6ed   13 of  13   com/owncloud/android/MainApp$Companion$initDependencyInjection$1
075438dfe4ed7ade    7 of   7   com/facebook/stetho/Stetho$Initializer
2be46ed815aff12c   10 of  14   org/koin/dsl/DefinitionBindingKt
60badb8123f5d971    8 of  15   kotlinx/coroutines/flow/FlowKt__MergeKt$mapLatest$1
94a6f92e69c8e5ff    2 of 103   com/owncloud/android/data/authentication/datasources/implementation/OCLocalAuthenticationDataSource
1806e6dcfbde84c4   11 of  20   kotlin/SynchronizedLazyImpl
15e5da48513e7f5e    6 of  60   androidx/appcompat/widget/DrawableUtils
6bc505d23b556491    4 of  19   androidx/work/impl/constraints/controllers/NetworkMeteredController
6b157918afd62c0e    8 of  14   androidx/lifecycle/LiveData$LifecycleBoundObserver
3c9ffe1f33792021    3 of  46   kotlin/collections/MapsKt__MapsJVMKt
c4d079df2e17e2c1    1 of   5   com/owncloud/android/dependecyinjection/UseCaseModuleKt$useCaseModule$1$invoke$$inlined$factoryOf$default$105
39f97c297933dd3a    1 of   7   com/google/android/material/navigation/NavigationView$1
9f3dfcbd7474e62e    5 of  44   com/owncloud/android/ui/activity/WhatsNewActivity
a3a1578cb8774d86    1 of   2   androidx/work/impl/model/WorkProgressDao_Impl$2
40525cf41f28e252    5 of   5   com/owncloud/android/dependecyinjection/LocalDataSourceModuleKt$localDataSourceModule$1$invoke$$inlined$factoryOf$default$4
6f98267c2dd6b5ee  201 of 825   androidx/drawerlayout/widget/DrawerLayout
24da498945b9c936    7 of  15   com/google/android/material/textfield/EndCompoundLayout$2
b026a6b26a5b8d11    1 of   5   com/owncloud/android/dependecyinjection/UseCaseModuleKt$useCaseModule$1$invoke$$inlined$factoryOf$default$40
2b25cdd5203c6713    2 of   2   com/owncloud/android/lib/common/utils/OCFileLoggingTree$Companion
522b08b9d3781835    1 of  10   com/owncloud/android/presentation/authentication/LoginActivity$initLiveDataObservers$5
c5a5a87951a3cd99    2 of   9   kotlin/reflect/jvm/internal/ReflectProperties$Val
f9016ce84e395a37   28 of  87   androidx/room/RoomOpenHelper
594bc3c520ec7b8b    1 of   1   androidx/fragment/app/FragmentManagerImpl
03622aaaddc9d5eb    2 of  12   com/owncloud/android/domain/availableoffline/usecases/UnsetFilesAsAvailableOfflineUseCase
6a6be5e39378cd1f   18 of 507   androidx/customview/widget/ViewDragHelper
995a2f2c10e34765    4 of  25   androidx/emoji2/text/EmojiCompat$CompatInternal19
ca0fccaf6cc82b9a    2 of   2   androidx/recyclerview/widget/RecyclerView$RecycledViewPool$ScrapData
8f8a0dc8d6d1b560    1 of   7   com/google/android/material/navigation/NavigationBarMenuView$1
96b6e63118212953    2 of   2   com/owncloud/android/dependecyinjection/RepositoryModuleKt
e0ee08f04f2686c7    1 of   5   com/owncloud/android/dependecyinjection/UseCaseModuleKt$useCaseModule$1$invoke$$inlined$factoryOf$default$30
6bd15b036d2fdffd  121 of 347   com/google/android/material/navigation/NavigationBarMenuView
f4bd155d3e4f8dac    1 of   7   com/owncloud/android/dependecyinjection/ViewModelModuleKt$viewModelModule$1$invoke$$inlined$viewModelOf$default$9
fc75ab2cfd73782f   20 of  46   kotlinx/coroutines/BuildersKt__Builders_commonKt
05966d17d06cdaeb   11 of  19   androidx/arch/core/executor/ArchTaskExecutor
aceff5e69fa624a7    1 of   1   androidx/emoji2/text/EmojiCompat$MetadataRepoLoaderCallback
03ffcedb5f4ab067    2 of   9   androidx/work/impl/WorkDatabase_AutoMigration_14_15_Impl
1a7af8e9bcca7c53    1 of   9   kotlinx/coroutines/internal/OpDescriptor
0c178a643b5cff23   13 of  30   com/google/android/material/appbar/AppBarLayout$LayoutParams
f8b241c40d8ad6f1    4 of   8   kotlinx/coroutines/flow/internal/FusibleFlow$DefaultImpls
0b7531a5da895243   30 of  80   androidx/savedstate/SavedStateRegistry
7697de2b776f2dcc    2 of  13   com/owncloud/android/data/user/datasources/implementation/OCRemoteUserDataSource
409521b64d48fe4b    1 of   4   com/owncloud/android/dependecyinjection/UseCaseModuleKt$useCaseModule$1$invoke$$inlined$factoryOf$default$43
9b4c85bd3a6d16be    4 of   6   com/google/android/material/navigation/NavigationView$SavedState
05900823eabc352c    2 of   4   androidx/work/impl/constraints/trackers/BroadcastReceiverConstraintTracker$broadcastReceiver$1
7a8c365854354ac6    1 of   2   com/owncloud/android/domain/BaseUseCase
99d54a3fbb89ca4a    7 of   7   com/owncloud/android/dependecyinjection/RepositoryModuleKt$repositoryModule$1$invoke$$inlined$factoryOf$default$1
34b82c30a2d2f876    2 of   5   androidx/fragment/app/strictmode/RetainInstanceUsageViolation
4870176489b17489    4 of   9   androidx/recyclerview/widget/RecyclerView$SavedState
aeb7ddc489b298ee    3 of   5   androidx/appcompat/widget/TooltipCompat
fe0800eb17d12b04    2 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
0a67d61c508a0ec6   11 of  13   androidx/sqlite/util/ProcessLock$Companion
9a645d791be29ec4    2 of   2   com/google/android/material/internal/NavigationMenuPresenter$NormalViewHolder
a3cacf111d1173f5    3 of   3   androidx/activity/OnBackPressedDispatcher$OnBackPressedCancellable
97d6e7a55bf209c1    2 of   2   com/owncloud/android/presentation/documentsprovider/DocumentsStorageProvider$Companion
907c0a43489640e9    2 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
bc8b3c18c1a23371    1 of   2   com/owncloud/android/data/OwncloudDatabase_AutoMigration_44_45_Impl
bdf0199154eb82ca    6 of 209   kotlin/jvm/internal/TypeIntrinsics
2d0629bd9a58aca0    6 of  13   kotlin/UnsafeLazyImpl
1badde30533ef4e4    4 of   4   com/owncloud/android/ui/activity/FileDisplayActivity$special$$inlined$inject$default$1
4e0ba71f7d03f65f    1 of   5   com/owncloud/android/dependecyinjection/UseCaseModuleKt$useCaseModule$1$invoke$$inlined$factoryOf$default$17
33f508162379cad0    3 of 157   com/owncloud/android/data/files/datasources/implementation/OCLocalFileDataSource
3b0cd3b7aad5a025   24 of  47   com/owncloud/android/presentation/security/passcode/PassCodeManager
a51c23b4f5d01136    3 of   3   androidx/lifecycle/SavedStateHandlesProvider$viewModel$2
d8d09ebf8a4f3e73    7 of   7   androidx/sqlite/db/framework/FrameworkSQLiteDatabase$query$cursorFactory$1
23db98514ba5b27c    3 of   4   com/google/android/material/shape/MaterialShapeDrawable$2
e4db46affb9b4bb5   28 of 233   androidx/transition/TransitionSet
5e4ad6d32ce10624    2 of   2   kotlinx/coroutines/scheduling/CoroutineScheduler$Companion
493a06ddec87613c    5 of   5   com/owncloud/android/dependecyinjection/UseCaseModuleKt$useCaseModule$1$invoke$$inlined$factoryOf$default$32
78439c40b56f1330    2 of   5   com/owncloud/android/domain/camerauploads/usecases/ResetVideoUploadsUseCase
ef2ab58a316c1993    2 of   6   androidx/work/impl/DefaultRunnableScheduler
01e18a8ca1b45886    4 of  59   com/owncloud/android/ui/helpers/FilesUploadHelper
c76a17886452b6ef    7 of  38   androidx/recyclerview/widget/LinearLayoutManager$LayoutState
888a6d07d73d80d1    1 of   2   com/owncloud/android/data/transfers/db/TransferDao_Impl$8
c49488072fea911c    1 of   4   androidx/core/view/PointerIconCompat$Api24Impl
97acc0b4edb8b8ca    3 of  10   androidx/biometric/BiometricManager$DefaultInjector
