[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Wikipedia-_beta2.7.50447beta2023062-rebuilt_/coverage.ec.
5fc0896594abc274    2 of   7   shark/AndroidReferenceMatchers$APPLICATION_PACKAGE_MANAGER__HAS_SYSTEM_FEATURE_QUERY$add$1
500888137a640a03    2 of   9   shark/AndroidReferenceMatchers$INPUT_METHOD_MANAGER_IS_TERRIBLE$add$3
4b58e155499983e8    6 of  78   okhttp3/Headers$Companion
574b683d0d673a6c    2 of  27   kotlinx/serialization/internal/AbstractCollectionSerializer
9ca6a582f9b12015   18 of  19   com/google/android/datatransport/runtime/DaggerTransportRuntimeComponent
241055e2afe76695    8 of  38   kotlin/coroutines/intrinsics/IntrinsicsKt__IntrinsicsJvmKt
36a185a21f5184d3   17 of  29   com/google/android/datatransport/runtime/scheduling/persistence/AutoValue_EventStoreConfig$Builder
461fbab79b091f23    3 of  20   okhttp3/internal/platform/android/DeferredSocketAdapter
638caf9e7d952104   10 of  70   okio/ByteString$Companion
a2143f629c35f9c5    7 of  63   kotlinx/coroutines/internal/LimitedDispatcher
d5d9178ced2fc7f3    2 of  24   kotlin/ranges/RangesKt__RangesKt
13fd9c3be8137f5f    8 of  17   com/google/firebase/installations/Utils
779d05a8607502ca    5 of   5   com/google/android/datatransport/runtime/scheduling/jobscheduling/Uploader_Factory
c9323898a6daf7fc    3 of   3   shark/AndroidReferenceMatchers$ACCOUNT_MANAGER
b0abaf0e9e36f11e    8 of  21   org/wikipedia/theme/Theme
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
c6f87bd169fbc45f    3 of   3   shark/AndroidReferenceMatchers$PERSONA_MANAGER
13cb13781c0bd435   10 of 111   kotlinx/serialization/SerializersKt__SerializersJvmKt
ad3ddfe63075ca21    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$4
1e5032f7960d523a    1 of  13   com/google/android/gms/internal/mlkit_language_id_common/zzm
7c90639f29bc4622    4 of   6   leakcanary/ActivityWatcher
c9936d6356c6e2a4    2 of  38   shark/LibraryLeakReferenceMatcher
04ae3784555946e0    5 of   6   leakcanary/internal/InternalLeakCanary$isDebuggableBuild$2
a8ead833c8fe20b4    2 of  10   leakcanary/AndroidLeakFixes$CONNECTIVITY_MANAGER
0604891e8520caae    5 of  26   androidx/lifecycle/Lifecycle$Event$Companion
d5113296fadab5c9    4 of   4   leakcanary/ServiceWatcher$install$3
bb1c877276850a7c    4 of  28   io/reactivex/rxjava3/android/plugins/RxAndroidPlugins
11734261d562aeea    4 of   4   com/google/android/gms/common/util/concurrent/NamedThreadFactory
02b51e3a6a14ee06    1 of   2   com/google/android/gms/internal/mlkit_language_id_common/zzaf
