[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/OpenSudoku-_4.10.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
fc107636aba4dcff  205 of 570   com/google/android/material/shape/MaterialShapeDrawable
bb9d88bdc5832bde    3 of   6   kotlin/coroutines/intrinsics/CoroutineSingletons
f29ae346c83a409b    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
151634939b439fb9    2 of  36   kotlinx/coroutines/AbstractTimeSourceKt
347eb23e4bb93879    8 of  14   androidx/lifecycle/ViewModelStore
8853fbcf32bf1ca2   20 of 252   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper
79140cea662f5653    1 of   1   kotlinx/coroutines/scheduling/GlobalQueue
91e24d2cec592915    1 of   6   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton$1
52c1ba52f7a67eb0    5 of   9   kotlin/collections/AbstractList$IteratorImpl
3314fa2f6f4953f4    6 of  34   androidx/emoji2/viewsintegration/EmojiInputFilter
b52e0ffe3e343563    3 of  10   androidx/activity/ComponentActivity$2
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
0c3706b71ac229cb   33 of 140   androidx/appcompat/widget/AppCompatButton
81c6c8dd3cfe686c    1 of   4   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper
482b054e11f4fd1b    9 of 127   kotlin/jvm/internal/Intrinsics
8a405c75aae3815d   11 of  44   androidx/lifecycle/SavedStateHandlesProvider
205da1849992f9c0    6 of  29   androidx/core/view/WindowInsetsControllerCompat
a6e231a0afb7fd79    9 of  13   kotlinx/coroutines/scheduling/TasksKt
2ad91fed90c9c070   50 of 138   androidx/core/content/res/ResourcesCompat
02f79fc6892bf98b    4 of   4   androidx/lifecycle/ReportFragment$LifecycleCallbacks$Companion
ae268dc3c73b0d4f   23 of  98   androidx/lifecycle/LiveData
1fa492162a04262f   18 of  48   androidx/lifecycle/SavedStateHandleSupport
afaf17de8b2fbac7   13 of  31   kotlinx/coroutines/internal/MainDispatcherLoader
