[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Orgzly-Revived-_v1.8.27beta.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
b95fca46af967d9b    5 of 130   kotlin/collections/CollectionsKt__MutableCollectionsKt
4eb1df75b4875456    7 of  50   kotlin/collections/EmptyList
5168ee3804493a01    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
deba29aae29c6495    2 of   6   androidx/savedstate/ViewTreeSavedStateRegistryOwner
3a96b4eb76b4a9d0    3 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
f9e4d5a61864353c    3 of   5   androidx/arch/core/executor/TaskExecutor
e2219211ef650e49    2 of   2   org/joda/time/DateTimeUtils$SystemMillisProvider
52f83d54637f3dce    1 of  11   com/orgzly/android/db/dao/SavedSearchDao_Impl$2
ba85a2d173c94abc    1 of   2   androidx/customview/widget/ViewDragHelper$1
03064aedfdf12538    1 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
3352ba559d08352b    7 of  49   kotlinx/coroutines/channels/ChannelKt
1db78fe718c98bbc   11 of  23   com/orgzly/databinding/FragmentBooksBinding
21b9b531ec03a9a3   41 of 318   androidx/appcompat/widget/ActionMenuView
13b3aca37006ee3d    7 of  76   androidx/room/util/DBUtil
1ca9d8711a9faf6b    2 of   2   androidx/lifecycle/LifecycleOwnerKt
2c72b4ce484f11de    1 of   3   com/orgzly/android/db/PreRoomMigration$MIGRATION_145_146$1
89f8bccbef612b62   11 of  35   androidx/fragment/app/SpecialEffectsController$Operation$State
05b0eb3d5eece150    4 of   5   androidx/fragment/app/Fragment$6
bf353abe0894cc29    6 of  57   kotlinx/coroutines/internal/LimitedDispatcher
a3911ab71c54c448    2 of   7   kotlin/coroutines/jvm/internal/CompletedContinuation
80fb813b284a88b4    2 of  32   androidx/core/view/LayoutInflaterCompat
7eb31eab040e4556   52 of 140   androidx/core/content/res/ResourcesCompat
1e077a104cdaf98d   12 of  42   androidx/recyclerview/widget/RecyclerView$ItemAnimator
30a8feadb958a619    4 of  42   androidx/core/content/FileProvider$SimplePathStrategy
40e9a0c91aff0b99   22 of 177   kotlinx/coroutines/channels/AbstractChannel
6bf0cbca0bbeaac3    2 of   2   androidx/fragment/app/FragmentManagerViewModel$1
f7f084de7545d72c    4 of  35   org/joda/time/Instant
49c5684db9584999    2 of   2   kotlinx/coroutines/ExecutorCoroutineDispatcher
a8ec410a2cf4d459    2 of  28   androidx/work/impl/constraints/trackers/BatteryNotLowTracker
cbcaa872e0a5b256    2 of   5   kotlin/Result$Companion
4c8f408d9b68b625    5 of   5   androidx/lifecycle/LifecycleRegistry$ObserverWithState
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
ea739a6f2998c8da    7 of  11   com/orgzly/android/di/DaggerAppComponent$Builder
e33cf84b79ca53e2    7 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
61c7b322d17ce2c6    8 of  17   com/orgzly/databinding/FragmentSyncBinding
fe29baf2b4a05119    8 of  10   com/google/android/material/floatingactionbutton/FloatingActionButton$ShadowDelegateImpl
78113b13fb46a927    2 of   2   kotlinx/coroutines/flow/SharedFlowImpl$collect$1
eb43fa7c028a72d6    1 of   2   androidx/core/widget/CheckedTextViewCompat$Api16Impl
e9fa5f0871caf65d   19 of  49   androidx/lifecycle/ViewModel
f292c4461ce52b59   85 of 750   kotlinx/coroutines/JobSupport
e7334f3952381b5d    1 of   2   androidx/coordinatorlayout/R$styleable
e1e2b720529cb52a    4 of 619   com/orgzly/android/ui/notes/book/BookFragment
688106d467b76894    1 of   3   kotlinx/coroutines/ChildContinuation
78098a29310cf25b    3 of  15   kotlin/collections/EmptyIterator
d0cf11d2eac9faae    7 of   7   kotlinx/coroutines/internal/SystemPropsKt
fa0fd23f7b55821f   39 of  88   androidx/appcompat/widget/ButtonBarLayout
05996188a8041d93    2 of   7   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion
ee7d145ddb77e0df    1 of   2   androidx/fragment/app/FragmentManager$3
734a31338126b2d3    1 of   2   androidx/work/impl/WorkDatabaseMigrations$5
0e60fc06a9fbda11   34 of  69   com/orgzly/databinding/ItemBookBinding
465a6c6805871e25   44 of 115   androidx/work/impl/utils/ForceStopRunnable
753a775dbf9e6c69   18 of  85   androidx/cardview/widget/RoundRectDrawable
81a18b302308b809    3 of  13   androidx/emoji2/viewsintegration/EmojiKeyListener
df60e8640de6bb70   11 of  69   com/google/android/material/appbar/HeaderScrollingViewBehavior
9e34a0f52aa3a5f0    6 of  12   androidx/lifecycle/RepeatOnLifecycleKt$repeatOnLifecycle$3$1$1$1
084a4d3c92ebe60f   30 of 115   androidx/core/view/WindowInsetsCompat
a1cecd53cc1c6112    2 of   3   kotlinx/coroutines/flow/SafeFlow
cd08715560f3ad3d    9 of  15   androidx/recyclerview/widget/ListAdapter
b52b891780278d88    1 of   4   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper
14a97bda6ca7d247    8 of  30   com/orgzly/org/datetime/OrgInterval
45d29735c9b4fac0   53 of 147   org/joda/time/chrono/GJChronology
7ef3ee784a732b6c    2 of   2   com/orgzly/android/sync/AutoSync$Companion
5cfb92fd8ffe7061    3 of   6   androidx/sqlite/db/framework/FrameworkSQLiteStatement
8db84235c321ed0e   39 of 126   androidx/core/content/FileProvider
13670c9ed5178b4a   18 of  38   androidx/work/impl/model/WorkTagDao_Impl
f9db6e1494f4e29d    2 of   2   org/mozilla/universalchardet/prober/sequence/GreekModel
399449bcb7806601   14 of 115   androidx/work/impl/model/WorkTypeConverters
e10f89b0e5120c1c    1 of   6   androidx/work/impl/constraints/controllers/BatteryNotLowController
ca86eb6082d0b28d    1 of  10   com/orgzly/android/db/PreRoomMigration$MIGRATION_133_134$1
e0a37616222c5526    1 of   2   androidx/recyclerview/widget/DiffUtil$ItemCallback
8a715f0de863bcdc    9 of  31   androidx/recyclerview/widget/RecyclerView$State
1fa2e0afa77e29b0    1 of   1   androidx/dynamicanimation/animation/DynamicAnimation$MassState
2bd04fda763893f7    6 of  28   androidx/recyclerview/widget/BatchingListUpdateCallback
697bdf87c7c4b0fd    1 of   2   org/joda/time/DateTimeField
9628fe2b93968a5f   67 of 134   com/orgzly/android/db/dao/BookViewDao_Impl$1
e84b29ef80ae80c1    5 of   6   com/orgzly/android/db/dao/BookDao
04e8bac565ec5a0c    2 of   3   androidx/sqlite/db/SupportSQLiteOpenHelper$Configuration
15e5da48513e7f5e    6 of  60   androidx/appcompat/widget/DrawableUtils
f4e7cdaf4b9b131c    2 of  16   org/joda/time/field/ImpreciseDateTimeField$LinkedDurationField
abd482d8c7d43f0c   11 of  12   kotlin/coroutines/CoroutineContext$plus$1
6b157918afd62c0e    8 of  14   androidx/lifecycle/LiveData$LifecycleBoundObserver
99e728fd317ec1b2    9 of  16   androidx/cardview/widget/CardView$1
6f98267c2dd6b5ee  205 of 825   androidx/drawerlayout/widget/DrawerLayout
c39725e0cb6edcc5    5 of  85   androidx/core/graphics/TypefaceCompat
f1f8839a9880eb04   44 of  57   com/orgzly/android/db/dao/NoteDao_Impl$1
d795091baa98e5fe    3 of  26   org/joda/time/chrono/GJEraDateTimeField
0a99de0f1d06287a    2 of   2   com/orgzly/android/data/DataRepository$Companion
0c05cee727670469    7 of   8   androidx/work/impl/WorkDatabaseMigrations
dfd043cb24e04917    1 of   7   androidx/work/impl/constraints/trackers/NetworkStateTracker$NetworkStateCallback
6a6be5e39378cd1f   18 of 507   androidx/customview/widget/ViewDragHelper
995a2f2c10e34765    4 of  25   androidx/emoji2/text/EmojiCompat$CompatInternal19
e45ffcba601f2909   41 of 379   com/google/android/material/appbar/AppBarLayout$BaseBehavior
0144bb5691abaa4d    6 of  31   androidx/core/graphics/Insets
be8ae355447dc854    9 of  11   com/orgzly/org/OrgContent
04b0700e537ba638    6 of  12   androidx/work/impl/utils/WorkForegroundRunnable
24411a21687e27e1    1 of   2   androidx/work/impl/WorkDatabaseMigrations$6
6ff6bcf82eef4fe1   57 of 173   androidx/work/impl/utils/EnqueueRunnable
8edb40666c3c7081    4 of   6   org/mozilla/universalchardet/prober/CharsetProber$ProbingState
f4d6c8597f7b01f5   33 of 297   org/joda/time/DateTimeZone
cb23cec22eda8939   36 of  78   androidx/work/impl/WorkContinuationImpl
fc75ab2cfd73782f   20 of  46   kotlinx/coroutines/BuildersKt__Builders_commonKt
05966d17d06cdaeb   13 of  19   androidx/arch/core/executor/ArchTaskExecutor
aceff5e69fa624a7    1 of   1   androidx/emoji2/text/EmojiCompat$MetadataRepoLoaderCallback
1a7af8e9bcca7c53    1 of   9   kotlinx/coroutines/internal/OpDescriptor
626126a6cd3aebf7    1 of   6   com/orgzly/android/db/dao/NoteAncestorDao_Impl$3
2daff666029cab5e    3 of   4   androidx/lifecycle/CloseableCoroutineScope
f4acca92bb7e274b    1 of   1   org/joda/time/Chronology
8209ade6f0abdd56    1 of   2   androidx/drawerlayout/R$styleable
35b66055806a579f    1 of   9   androidx/activity/result/ActivityResultRegistry$2
5f835749222c18ff    6 of  51   androidx/dynamicanimation/animation/SpringAnimation
0b7531a5da895243   19 of  80   androidx/savedstate/SavedStateRegistry
7dbd6cb5a684c591   14 of  15   com/orgzly/android/usecase/UseCaseWorker$Companion
e7b43612b93d6abb    1 of   2   androidx/recyclerview/widget/RecyclerView$3
3ac704bd8860f433   13 of  35   com/orgzly/android/usecase/UseCaseWorker
9d8489e364b772fb    2 of  40   androidx/work/impl/constraints/trackers/BatteryChargingTracker
d832900bb7eb1dfe    1 of   2   com/google/android/material/R$styleable
aeb7ddc489b298ee    3 of   5   androidx/appcompat/widget/TooltipCompat
4ba7edeaa3a1f7df   87 of 333   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl
2c15d75eebb7f2cf    5 of   6   org/mozilla/universalchardet/prober/statemachine/SMModel
266a257960eff1c5    1 of  12   org/joda/time/convert/AbstractConverter
9a645d791be29ec4    2 of   2   com/google/android/material/internal/NavigationMenuPresenter$NormalViewHolder
a3cacf111d1173f5    1 of   3   androidx/activity/OnBackPressedDispatcher$OnBackPressedCancellable
