[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Open-Food-Facts-_v3.10.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
688106d467b76894    2 of   3   kotlinx/coroutines/ChildContinuation
34a980b7c8aeedc6    1 of  17   androidx/room/DatabaseConfiguration
e356a5f069f6ae27    2 of   4   com/google/mlkit/common/internal/zzb
6026ef6ada05a43e   48 of  50   org/matomo/sdk/QueryParams
7995b6da3d7f7348   12 of  53   openfoodfacts/github/scrachx/openfood/JacocoInstrument/JacocoInstrumentation
d0cf11d2eac9faae    7 of   7   kotlinx/coroutines/internal/SystemPropsKt
12cb1df2b6223860    2 of   3   okhttp3/internal/tls/CertificateChainCleaner
16645232b6ee03c4    5 of  12   kotlin/reflect/jvm/internal/impl/types/checker/KotlinTypeRefiner$Default
2c6486586ef3154f    4 of   4   openfoodfacts/github/scrachx/openfood/utils/DeserializerHelper$extractMapFromJsonNode$1
c221617fbf4a1d97    2 of   6   kotlin/reflect/jvm/internal/impl/load/java/lazy/SingleModuleClassResolver
482b054e11f4fd1b   14 of 127   kotlin/jvm/internal/Intrinsics
9a416174796e33d1  116 of 357   okhttp3/HttpUrl$Builder
734a31338126b2d3    1 of   2   androidx/work/impl/WorkDatabaseMigrations$5
6aa62053c73f0c45    3 of   4   openfoodfacts/github/scrachx/openfood/models/entities/ProductListsDao$Properties
465a6c6805871e25   44 of 115   androidx/work/impl/utils/ForceStopRunnable
d7b8f487cc181eb6    4 of  23   com/squareup/picasso/Dispatcher$DispatcherHandler
2e12f35f585b1484   15 of  26   kotlin/reflect/jvm/internal/impl/resolve/OverridingUtil$8
084a4d3c92ebe60f   23 of 115   androidx/core/view/WindowInsetsCompat
5532c20341bb671e    1 of   3   com/squareup/picasso/LruCache$1
84d58adbb117ce8c    3 of   3   kotlin/reflect/jvm/internal/impl/metadata/ProtoBuf$Class$1
31429a46e1158b87    1 of   2   openfoodfacts/github/scrachx/openfood/features/product/view/contributors/ContributorsViewModel_HiltModules$KeyModule
fdf6c9b278dc7d0f   13 of  28   kotlin/reflect/jvm/internal/impl/resolve/MemberComparator$NameAndTypeMemberComparator
5cfb92fd8ffe7061    3 of   6   androidx/sqlite/db/framework/FrameworkSQLiteStatement
536a7dc3190ab63a   49 of  86   okhttp3/ConnectionSpec
28c90fd7d7eff16b    1 of  43   io/sentry/protocol/SentryThread$Deserializer
5917936eec6ba789    2 of   2   openfoodfacts/github/scrachx/openfood/utils/GenericFileProvider
45cd68c7f9eb657d   29 of 100   kotlin/reflect/jvm/internal/impl/descriptors/impl/SimpleFunctionDescriptorImpl
e4f04eb6e57b7ea1    6 of   8   openfoodfacts/github/scrachx/openfood/models/entities/tag/TagsWrapper
1a5c04ff4dbcc2be    3 of   4   openfoodfacts/github/scrachx/openfood/models/entities/ingredient/IngredientDao$Properties
a5f7be8a9e0a34d6    3 of  18   androidx/appcompat/app/AppLocalesStorageHelper$SerialExecutor
029b812baa3f982e   11 of  32   org/greenrobot/eventbus/EventBusBuilder
f7e656bff70e87f6    3 of   3   openfoodfacts/github/scrachx/openfood/repositories/Taxonomy$Allergens
8db84235c321ed0e   48 of 126   androidx/core/content/FileProvider
468a0ea6c1062888    4 of   4   openfoodfacts/github/scrachx/openfood/app/DaggerOFFApplication_HiltComponents_SingletonC$ActivityRetainedCBuilder
18d5d70bd3f34d8e    4 of   9   kotlin/coroutines/EmptyCoroutineContext
a5fd18f3395385fe   18 of  56   okhttp3/Request$Builder
13670c9ed5178b4a   18 of  38   androidx/work/impl/model/WorkTagDao_Impl
22abbc1f2ef351e2    5 of   6   openfoodfacts/github/scrachx/openfood/models/entities/allergen/AllergenDao$Properties
ff62a5c4072a1c24    2 of   3   kotlin/reflect/jvm/internal/impl/util/ModuleVisibilityHelper$EMPTY
399449bcb7806601   14 of 115   androidx/work/impl/model/WorkTypeConverters
250c3c0236ac9e0b    3 of   3   kotlin/reflect/jvm/internal/impl/serialization/deserialization/TypeDeserializer$simpleType$annotations$1
30aa52ef65ba5655   46 of 108   kotlin/reflect/jvm/internal/impl/metadata/ProtoBuf$Type$Argument
9c4ca9f519c44dd1    7 of  46   okio/Timeout
e4406c1b09dc202b    2 of   5   kotlin/reflect/jvm/internal/impl/types/TypeSubstitution$Companion$EMPTY$1
e29a20d9f2f6d118    2 of   6   androidx/appcompat/app/AppLocalesMetadataHolderService
6d664d1dfffb5e2e    9 of  12   dagger/hilt/android/internal/lifecycle/HiltViewModelFactory$1
601e8d0aa56309d8    2 of   2   kotlin/reflect/jvm/internal/impl/load/java/lazy/LazyJavaAnnotationsKt
d290a46cd482b3cf   33 of  53   kotlin/reflect/jvm/internal/pcollections/IntTree
e10f89b0e5120c1c    1 of   6   androidx/work/impl/constraints/controllers/BatteryNotLowController
347340371adc8f2a   13 of  26   org/greenrobot/greendao/query/AbstractQueryData
768e160ad6bc378d    1 of   2   openfoodfacts/github/scrachx/openfood/features/login/LoginActivityViewModel_HiltModules$KeyModule
22844161f693d4c3   17 of 101   okhttp3/CacheControl
c7233332931bc6b2    5 of   8   openfoodfacts/github/scrachx/openfood/features/splash/SplashActivity$sam$androidx_lifecycle_Observer$0
66d9413230434610    9 of  34   okhttp3/internal/http/HttpMethod
8f5ec4c850851aa8    2 of  10   com/fasterxml/jackson/databind/ser/std/StdScalarSerializer
8a829b89ce792ec9   23 of  90   com/fasterxml/jackson/databind/deser/std/StringCollectionDeserializer
