[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Music-Player-_1.8.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
d9b88a9b5e8b6c32    4 of  17   androidx/media3/session/SessionUtil
4a205c027477b3ce    1 of  16   androidx/fragment/app/FragmentManager$10
cfa78d22f4c887ed   12 of  18   androidx/room/coroutines/RunBlockingUninterruptible_androidKt$runBlockingUninterruptible$1$1
aa711b6d71d1816c    1 of   9   androidx/appcompat/app/ActionBar$LayoutParams
029b812baa3f982e    5 of  32   org/greenrobot/eventbus/EventBusBuilder
939412c13069609a    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
7627f9f3d8a206de    2 of  18   kotlin/internal/PlatformImplementations
e0aabded8f8ed361   29 of  86   com/airbnb/lottie/animation/content/FillContent
92f4ae5a40144d15    9 of  11   com/google/common/util/concurrent/AbstractFuture$UnsafeAtomicHelper$1
a1b4e35a116ec22f    3 of  13   androidx/emoji2/viewsintegration/EmojiKeyListener
514e34ca9b6d6f50  174 of 423   org/fossify/musicplayer/activities/MainActivity
d1b541c86123e0e5   39 of  71   androidx/media3/common/util/NetworkTypeObserver
65ff3963a5f6d8d7    2 of  10   androidx/core/view/animation/PathInterpolatorCompat
411d93d290474336    8 of  17   org/fossify/musicplayer/databinding/FragmentAlbumsBinding
d0bf8907a6b77ece    8 of  16   androidx/media3/common/DeviceInfo$Builder
8a715f0de863bcdc    8 of  31   androidx/recyclerview/widget/RecyclerView$State
e8ba28df286ca9c3    1 of   3   com/airbnb/lottie/utils/Utils$1
8260179191cf05f0   28 of  48   com/airbnb/lottie/value/Keyframe
df971add4e637af9    9 of  90   androidx/lifecycle/Lifecycling
4a6f8f7cef0c8bcd   20 of 128   androidx/dynamicanimation/animation/DynamicAnimation
bfc3416d927b5d03   20 of  44   androidx/lifecycle/ProcessLifecycleOwner
b301aac85783bf9c    7 of  23   androidx/collection/internal/LruHashMap
4cfb41abae31b2b7    3 of  21   kotlinx/coroutines/Job$DefaultImpls
4aa47e63553ca02c   18 of 149   org/fossify/commons/views/MyRecyclerView
70aefaed86624df8    6 of  10   androidx/constraintlayout/widget/ConstraintLayout$1
ca5906d594ac09fa   12 of  17   androidx/room/util/SQLiteConnectionUtil
4a02a745dcb1602a    1 of   1   androidx/lifecycle/LifecycleRegistry_androidKt
f09be23cf933ea48    4 of   8   kotlinx/coroutines/EventLoopImplPlatform
f07de814c889a102    2 of   7   org/fossify/commons/extensions/TabLayoutKt
d8d41a13bd1a8e37    2 of   2   androidx/activity/ComponentActivity$Companion
0c0fab828744e123    4 of  36   androidx/media3/common/util/StuckPlayerDetector$StuckBufferingDetector
46e75fee4caf6449   95 of 366   com/airbnb/lottie/LottieAnimationView
af5955c6f202a967    2 of   2   kotlin/collections/builders/SetBuilder$Companion
2bd4298b5266a1c5    1 of   4   androidx/room/InvalidationTracker$implementation$1
4890a6ca0fa02004    7 of   8   com/airbnb/lottie/model/content/ShapeFill
8ee21dde7fde8eeb    1 of  32   androidx/media3/common/audio/BaseAudioProcessor
7ed4f49952c10a87    5 of  11   com/google/android/material/animation/AnimationUtils
9482051e02f33163    5 of  96   com/google/common/collect/Ordering
6d61a5550b98f1a2    2 of   2   kotlin/SafePublicationLazyImpl$Companion
dd9532c31d155052   11 of  32   androidx/media3/common/util/Size
24fb3a517f6f03d4    6 of  21   androidx/room/util/SQLiteStatementUtil__StatementUtilKt
5862a5d13e7921df   37 of 381   kotlin/collections/ArrayDeque
36233e9d27ad2d0a   21 of 163   androidx/profileinstaller/DeviceProfileWriter
e372ff673127af29    1 of  39   androidx/room/EntityDeleteOrUpdateAdapter
952d6334dcb598b1   14 of  31   androidx/room/RoomDatabase$MigrationContainer
e7b43612b93d6abb    1 of   2   androidx/recyclerview/widget/RecyclerView$3
b8adf0a24123fb0d    2 of  23   androidx/room/util/SQLiteStatementUtil__StatementUtil_androidKt
9632dec57a6e60bb    3 of  18   androidx/media3/exoplayer/CodecParameters$Builder
9a2044c0e5edc925    2 of  11   kotlinx/coroutines/internal/LockFreeLinkedListHead
66e7976ca4207780    3 of  12   androidx/room/InvalidationLiveDataContainer
fb6b5cfd5d7868c3    1 of   2   androidx/room/TriggerBasedInvalidationTracker$notifyInvalidation$1
c56a42893cf0d93e    5 of  35   com/qtalk/recyclerviewfastscroller/RecyclerViewFastScroller$onScrollListener$1
9c03f21982867eb3   34 of 101   com/google/common/collect/ImmutableList
b01ebf4d9f753209    1 of  24   androidx/core/view/SoftwareKeyboardControllerCompat$Impl20
45fab3b5627cc603   48 of 169   androidx/emoji2/text/EmojiCompat
52ac5b2090c1fb7d    1 of   2   androidx/emoji2/viewsintegration/EmojiKeyListener$EmojiCompatHandleKeyDownHelper
795090b820bc3b65    4 of   4   org/fossify/musicplayer/activities/MainActivity$special$$inlined$viewBinding$1
4c2624d2979b6d5d    1 of  30   androidx/media3/exoplayer/analytics/AnalyticsListener$EventTime
d2045aed25c20f19    1 of   5   org/fossify/musicplayer/fragments/AlbumsFragment$gotAlbums$lambda$7$$inlined$sortedBy$1
22b498f37029b85a    1 of   2   androidx/media3/exoplayer/FormatHolder
c430f3b95d1d28a3   32 of  32   org/fossify/musicplayer/databases/SongsDatabase
ba04f388d177dac3    2 of  51   androidx/media3/session/legacy/IMediaSession$Stub
67855037317944f0    1 of   1   org/greenrobot/eventbus/android/AndroidComponentsImpl
799677313d26f1c1   16 of  37   org/fossify/musicplayer/interfaces/GenresDao_Impl
bdf0199154eb82ca    6 of 209   kotlin/jvm/internal/TypeIntrinsics
cbcda62d3f8ef02f   14 of  15   org/fossify/musicplayer/helpers/NotificationHelper$Companion
0ff7c2138a6db5cd    1 of  14   kotlin/collections/ArraysKt__ArraysJVMKt
cb2811e127749ff8    6 of 967   org/fossify/commons/extensions/StringKt
48171cdf1b67fde9    4 of   4   androidx/constraintlayout/core/Cache
d6984e9b169f1cd4    2 of  75   androidx/media3/exoplayer/audio/OggOpusAudioPacketizer
ef7d197ac340170f    2 of   2   androidx/media3/session/legacy/MediaSessionCompat$MediaSessionImplApi29
6d368a5a67379213    3 of   3   me/grantland/widget/AutofitHelper$AutofitOnLayoutChangeListener
6e16c68b5d2f67f9   16 of  26   androidx/media3/common/util/StuckPlayerDetector
845c009e67e92164    6 of  30   com/google/common/collect/ImmutableCollection
499d968c94be09fd   14 of  42   org/fossify/musicplayer/views/CurrentTrackBar
48b69f555326c691    1 of  29   androidx/recyclerview/widget/RecyclerView$AdapterDataObservable
61ef74545258c5bb    6 of  14   androidx/emoji2/viewsintegration/EmojiEditTextHelper$HelperInternal19
82ed0f2307112884   30 of  72   com/google/android/material/progressindicator/BaseProgressIndicatorSpec
19142037c7bb7cc3    8 of  10   androidx/sqlite/driver/SupportSQLiteStatement$Companion$TransactionOperation
3b67a69f1cdac37f    7 of  14   androidx/media3/common/MediaItem$LiveConfiguration$Builder
474863b9c4dd3271    4 of  14   androidx/media3/decoder/CryptoInfo
6aed693058355988    2 of  78   org/fossify/musicplayer/adapters/AlbumsAdapter
0100869bb6728388    1 of  12   org/fossify/musicplayer/databases/SongsDatabase$Companion$MIGRATION_11_12$1
a1036f2e0ed3e29f   14 of  39   com/airbnb/lottie/model/layer/ShapeLayer
aa6b0305983a6330    2 of   5   androidx/room/TriggerBasedInvalidationTracker$Companion
2c0c7f938f897e70    1 of   2   com/google/android/material/progressindicator/BaseProgressIndicator$1
028f748ca9c04da4   65 of 275   org/fossify/commons/extensions/Context_stylingKt
3578f9a835decb66   18 of  25   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton
8c42e0e278a1b66b   10 of  20   okio/PeekSource
771c6f571b0a012b   41 of 189   com/airbnb/lottie/model/layer/CompositionLayer
7cd254d272c528a8    2 of   2   kotlin/collections/AbstractMutableSet
c987c4d4c5ce3af3   25 of 212   okio/ByteString
416b7b4384758c2a    2 of   2   org/fossify/commons/compose/extensions/ContextComposeExtensionsKt
b118d6ced9c18c6b    9 of  19   org/fossify/musicplayer/databinding/FragmentPlaylistsBinding
48799c1a55886395    7 of  12   androidx/room/RoomConnectionManager$SupportOpenHelperCallback
defeb275288a4680    4 of  11   com/airbnb/lottie/value/ScaleXY
06a825d6bb38cac0    2 of   2   com/google/android/material/shape/ShapePath$PathOperation
fcedadf2b3d8e04d   61 of 1144   org/fossify/commons/extensions/Context_storageKt
8dd936d50af46372    1 of   5   com/airbnb/lottie/configurations/reducemotion/SystemReducedMotionOption
9152272c2c2b58df    8 of  14   org/fossify/commons/extensions/TabLayoutKt$onTabSelectionChanged$1
a2fe5cab36379aec    5 of  26   androidx/media3/session/legacy/PlaybackStateCompat$CustomAction
911bfce1a730485a    1 of   2   kotlinx/coroutines/internal/Removed
76e0ae71e099da99    1 of   2   androidx/recyclerview/widget/ItemTouchHelper$Callback$1
1f03d193dd504155   11 of 182   androidx/media3/exoplayer/audio/AudioTrackAudioOutputProvider
6c5c58f20daa2b9f    8 of  12   org/fossify/musicplayer/activities/MainActivity$initFragments$1
7da1a1e705c25b1a    8 of   9   com/google/common/util/concurrent/AbstractFuture$Waiter
