[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/StreetComplete-_v53.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
e4ac8a0d2bfcf5a7   21 of  24   de/westnordost/streetcomplete/data/Preloader
f5491071aa2357e6    2 of   2   de/westnordost/streetcomplete/data/osm/mapdata/MapDataModuleKt
e3f54dad64a2e3f9   23 of 167   de/westnordost/streetcomplete/data/osm/edits/ElementEditsController
609af2cb3f90d4c5    2 of   5   de/westnordost/streetcomplete/quests/barrier_type/AddBarrierOnPath$barrierFilter$2
1281b4b848d967e4    5 of  38   de/westnordost/streetcomplete/quests/barrier_type/AddBarrierOnRoad
0e8f117182c3b43a    9 of   9   de/westnordost/streetcomplete/data/OsmApiModuleKt$osmApiModule$1$6
114b6e224a015461   13 of 106   de/westnordost/streetcomplete/data/visiblequests/QuestTypeOrderController
21f467ac4e8af9d8    3 of  14   de/westnordost/streetcomplete/quests/pitch_lit/AddPitchLit
c5b598e2a46d1034    3 of  14   de/westnordost/streetcomplete/quests/religion/AddReligionToPlaceOfWorship
8239f60ad2b0bf8d   25 of  57   de/westnordost/streetcomplete/databinding/FragmentTutorialBinding
ed142bbcf76190c6   29 of  80   de/westnordost/streetcomplete/screens/main/controls/MessagesButtonFragment
6d86092916f7fb4a    6 of   6   de/westnordost/streetcomplete/data/user/statistics/StatisticsModuleKt$statisticsModule$1$4
9725ae57444f542f    3 of  17   de/westnordost/streetcomplete/quests/fire_hydrant/AddFireHydrantType
86fcadf966c4ccd2   53 of  59   de/westnordost/streetcomplete/screens/user/achievements/AchievementFrameOutlineProvider
d0375371b63bcc6e    2 of   2   de/westnordost/streetcomplete/data/osmnotes/NoteController$Companion
55701b77104fbf5d   38 of  53   de/westnordost/streetcomplete/data/ObjectTypeRegistry
18d2d39fcc736e28    5 of   5   de/westnordost/streetcomplete/data/osmnotes/edits/NoteEditsModuleKt$noteEditsModule$1$4
8c38a8d3761ce3ed    5 of   5   de/westnordost/streetcomplete/data/user/statistics/EditTypeStatisticsDao$getTotalAmount$1
7db42f6a8c558f97    2 of   2   de/westnordost/streetcomplete/data/quest/QuestAutoSyncer$Companion
df0603ba11943436   17 of 583   de/westnordost/streetcomplete/data/osm/mapdata/MapDataCache
2ec4c021551db2db   47 of  64   de/westnordost/streetcomplete/StreetCompleteApplication
cfd35fba4462752f    6 of   6   de/westnordost/streetcomplete/screens/settings/SettingsModuleKt$settingsModule$1$1
55f2738c0324747c    2 of   2   de/westnordost/streetcomplete/screens/main/map/TangramPinsSpriteSheet$Companion
494e31cf41ba9809    2 of   4   de/westnordost/streetcomplete/data/user/achievements/AchievementsModuleKt$achievements$8
9094565d21a6165b    3 of  17   de/westnordost/streetcomplete/quests/motorcycle_parking_capacity/AddMotorcycleParkingCapacity
72b865c553b8a5fd    3 of  34   de/westnordost/streetcomplete/screens/main/map/components/DownloadedAreaMapComponent
46881703bbb3f301    5 of   5   de/westnordost/streetcomplete/ApplicationModuleKt$appModule$1$1
599cd78721c066e1    8 of   9   de/westnordost/streetcomplete/data/Preloader$preload$2
12f7efe8e395ffb0    3 of  14   de/westnordost/streetcomplete/quests/parking_access/AddBikeParkingAccess
4e15c4c3adc1f62c    2 of   4   de/westnordost/streetcomplete/data/user/achievements/AchievementsModuleKt$achievements$5
7c060e09e93e320f    5 of   5   de/westnordost/streetcomplete/data/user/achievements/AchievementsModuleKt$achievementsModule$1$1
fb4e7bdc4ac4e369    4 of   4   de/westnordost/streetcomplete/screens/main/map/MainMapFragment$special$$inlined$inject$default$1
6a10d68bc8c72d1c    2 of   2   de/westnordost/streetcomplete/screens/tutorial/TutorialFragment$Companion
52f7d071b2df3919    1 of   4   de/westnordost/streetcomplete/data/osm/edits/ElementEditsDao$getAll$1
0e3651fd186ae6e0    6 of   6   de/westnordost/streetcomplete/data/upload/UploadModuleKt$uploadModule$1$5
2a293f1ffd5b892e    2 of  24   de/westnordost/streetcomplete/util/ktx/ResourcesKt
d8c3711184999c0f    2 of  52   de/westnordost/streetcomplete/data/osm/geometry/ElementGeometryDao
4a962504d605c8d3    2 of  12   de/westnordost/streetcomplete/screens/main/map/tangram/TouchGestureManager$setPanResponder$1
2219b499e6460183    2 of   2   de/westnordost/streetcomplete/data/osm/created_elements/CreatedElementsModuleKt
c50bbd64f021a90b    2 of  11   de/westnordost/streetcomplete/data/upload/Uploader$uploadedChangeRelay$1
bd5139e42e9aa369    3 of  17   de/westnordost/streetcomplete/quests/amenity_cover/AddAmenityCover
e3e1f1c07fe47c83    3 of   3   de/westnordost/streetcomplete/data/osm/edits/delete/RevertDeletePoiNodeAction$Companion
57a3f920e3496c8d    6 of  13   de/westnordost/streetcomplete/databinding/ViewMessagesButtonBinding
9b933aff711cd93b    5 of   5   de/westnordost/streetcomplete/data/user/UserModuleKt$userModule$1$6
8000add784a1983d    3 of  17   de/westnordost/streetcomplete/quests/charging_station_capacity/AddChargingStationCapacity
b2c5912a7d0807ab    7 of  66   de/westnordost/streetcomplete/util/CrashReportExceptionHandler
9d734f8386f06d4d    2 of 114   de/westnordost/streetcomplete/data/osm/edits/create/RevertCreateNodeAction
4f37bd26728699d9    3 of   3   de/westnordost/streetcomplete/data/osm/edits/move/RevertMoveNodeAction$Companion
ccf6cddcf916f16e    2 of   2   de/westnordost/streetcomplete/data/maptiles/MapTilesDownloadCacheConfig$Companion
e9e9a36fa8cbf318    4 of  23   de/westnordost/streetcomplete/quests/fire_hydrant_diameter/AddFireHydrantDiameter
981fb9fbe2ae0a1f    2 of   3   de/westnordost/streetcomplete/screens/main/controls/MessagesButtonFragment$messagesSourceUpdateListener$1
2d876e36382a32c3    1 of   4   de/westnordost/streetcomplete/screens/MainActivity$special$$inlined$inject$default$6
d8864621e297b568    4 of   4   de/westnordost/streetcomplete/data/osm/edits/split_way/SplitPolylineAtPosition$Companion
e2f3182ca534e6b4    4 of  15   de/westnordost/streetcomplete/quests/tracktype/AddTracktype
f59c72f569aa77a0    2 of   2   de/westnordost/streetcomplete/data/download/DownloadModuleKt
651738cb205684e9    3 of  25   de/westnordost/streetcomplete/quests/bike_rental_type/AddBikeRentalType
eb4395eb06e2c12c    3 of  14   de/westnordost/streetcomplete/quests/playground_access/AddPlaygroundAccess
3f277907f1d82e9e    3 of  18   de/westnordost/streetcomplete/quests/barrier_bicycle_barrier_type/AddBicycleBarrierType
1b415b4598e4418a    2 of   2   de/westnordost/streetcomplete/screens/main/map/components/SelectedPinsMapComponent$Companion
d9223586ff3f6af7   10 of  24   de/westnordost/streetcomplete/overlays/surface/SurfaceOverlay
7858a8d25415cdf1    1 of   3   de/westnordost/streetcomplete/screens/main/map/tangram/KtMapController$loadSceneFile$2$1
a61216a29f6a86b5    2 of   4   de/westnordost/streetcomplete/data/user/achievements/AchievementsModuleKt$achievements$12
471ff9c0800e87be    2 of   4   de/westnordost/streetcomplete/data/download/strategy/MobileDataAutoDownloadStrategy
70bf6afbe8499b62    8 of  61   de/westnordost/streetcomplete/quests/lanes/AddLanes
4e8030d11f3ad81b    2 of   2   de/westnordost/streetcomplete/data/visiblequests/QuestPresetsModuleKt
d8774b8319eb036e    2 of   2   de/westnordost/streetcomplete/data/edithistory/EditHistoryModuleKt
