[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/SkyTube-_v2.999-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
c270b3b7d14f553a    3 of  16   leakcanary/internal/InternalLeakCanary$registerResumedActivityListener$1
e7930a03ddd8d9fb    3 of   3   shark/AndroidReferenceMatchers$SEM_EMERGENCY_MANAGER__MCONTEXT
57768587d0bc0ffb    3 of   3   shark/AndroidReferenceMatchers$ACTIVITY_THREAD__M_NEW_ACTIVITIES
90ceae1d33ea3081    1 of   2   leakcanary/internal/InternalLeakCanary$invoke$2
f45d02ee8745ac4c    2 of   7   shark/AndroidReferenceMatchers$SPAN_CONTROLLER$add$2
e4e000c0dc8f2d15   17 of  35   curtains/internal/WindowManagerSpy
724253820ff0678b    3 of   3   shark/AndroidReferenceMatchers$HOST_ADPU_SERVICE_MSG_HANDLER
d8f7a36d9954c70e    3 of   3   shark/ReferencePattern
3c02f318700806d2    3 of  26   shark/ReferencePattern$StaticFieldPattern
39cdd5cfdc2705ed    2 of   6   leakcanary/internal/ObjectsKt
8016295d6a9a021c    4 of   6   leakcanary/AndroidLeakFixes$ACTIVITY_MANAGER
a7936bddd6864718    2 of   9   shark/AndroidReferenceMatchers$CLIPBOARD_EX_MANAGER$add$3
5bcd4d5fc05cef1f    2 of   5   leakcanary/internal/InternalLeakCanary$invoke$1
8e04e34d4e6f1af0    4 of   4   curtains/Curtains$rootViewsSpy$2
7e9a7f25e710af76    3 of   3   shark/AndroidReferenceMatchers$LAYOUT_TRANSITION
822b6a9c1d2d9843    3 of   3   shark/AndroidReferenceMatchers$TOAST_TN
510625886c3de56a   17 of  18   shark/AndroidObjectInspectors$Companion
d2e22cf70ee7152f    2 of   9   shark/AndroidReferenceMatchers$ACTIVITY_CHOOSE_MODEL$add$1
e61ef128359c274b    2 of  26   shark/ObjectInspectors$KEYED_WEAK_REFERENCE$leakingObjectFilter$1
ff240114ecfffb25    5 of  12   leakcanary/internal/PlumberInstaller
fa18cee4b48ffd9e    1 of   3   leakcanary/ServiceWatcher$install$4$1
20d67768173fa56e    4 of   7   free/rm/skytube/JacocoInstrument/SMSInstrumentedReceiver
995a2f2c10e34765    1 of  25   androidx/emoji2/text/EmojiCompat$CompatInternal19
9c0b2cd8d7405666    1 of  36   kotlin/collections/AbstractCollection
ee66ab4f3fb04b6e    1 of  20   leakcanary/RootViewWatcher$listener$1
e6cb904770ce1fb9    2 of   4   leakcanary/internal/InternalLeakCanary$invoke$configProvider$1
970ef1a686b8f1ed    2 of   7   shark/AndroidReferenceMatchers$SPEECH_RECOGNIZER$add$1
73d0ef5b43cb5541    5 of  11   kotlin/LazyKt__LazyJVMKt
d4d184c7be59b44c    3 of  19   shark/ReferencePattern$NativeGlobalVariablePattern
eae45a54c09ee229    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
e719874ca51d3740    6 of   7   leakcanary/RemoteWorkManagerHeapAnalyzer$remoteLeakCanaryServiceInClasspath$2
0437f519c464ef45    1 of   3   shark/AndroidObjectInspectors$LOADED_APK
5808e4c040c76e00    2 of  13   androidx/lifecycle/ProcessLifecycleOwner$attach$1
f2b814e7a5fd1db2    1 of   3   io/reactivex/rxjava3/internal/functions/Functions$EmptyConsumer
5df3441222754987    2 of  10   shark/AndroidReferenceMatchers$INSTRUMENTATION_RECOMMEND_ACTIVITY$add$1
f3c001967a9eb6dc    3 of   3   shark/AndroidReferenceMatchers$BUBBLE_POPUP_HELPER__SHELPER
fb28ff1011e777c5    3 of   3   shark/AndroidReferenceMatchers$SPELL_CHECKER
8ec0914ef49d610f    2 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
6857630afce6059b    3 of   3   shark/AndroidReferenceMatchers$IMM_LAST_FOCUS_VIEW
522095a693d6a671    2 of   7   shark/AndroidReferenceMatchers$ACCOUNT_MANAGER$add$1
d6c90d6e1c88190b    5 of   5   shark/AndroidReferenceMatchers$CLIPBOARD_EX_MANAGER
b9169ace7a52abae    2 of   4   leakcanary/internal/navigation/NavigatingActivity$Companion$NO_MENU$1
675a2463b862417c    1 of  25   shark/ObjectInspectors$ANONYMOUS_CLASS
e68c8cc57b361f56    3 of   3   shark/AndroidReferenceMatchers$VIEW_GROUP__M_PRE_SORTED_CHILDREN
4ccf3e732cf41461    1 of 213   leakcanary/internal/navigation/NavigatingActivity
6790e010463dbf8c    3 of  50   kotlin/collections/EmptyList
bec1702e8b3747eb   16 of 172   androidx/core/graphics/ColorUtils
fa002c00da58d26f    2 of   9   shark/AndroidReferenceMatchers$RENDER_NODE_ANIMATOR$add$1
273f2b6f63c801a0    1 of  11   io/reactivex/rxjava3/core/Scheduler$Worker
720e4ff04df22635    2 of  15   shark/AndroidObjectInspectors$WINDOW$leakingObjectFilter$1
bdc087c4fa8366bb    3 of   3   shark/AndroidReferenceMatchers$CONTROLLED_INPUT_CONNECTION_WRAPPER
98aa9cbda8d832f3    2 of   7   shark/AndroidReferenceMatchers$ANIMATION_HANDLER__ANIMATOR_REQUESTORS$add$1
20399d01dd741e73    2 of   3   leakcanary/AndroidLeakFixes$MEDIA_SESSION_LEGACY_HELPER
bdf0199154eb82ca    5 of 209   kotlin/jvm/internal/TypeIntrinsics
c84f80803783f90e    2 of  29   leakcanary/AndroidLeakFixes$IMM_CUR_ROOT_VIEW
966a0f88d83cb798    3 of   3   shark/AndroidReferenceMatchers$VIEW_GROUP__M_CURRENT_DRAG_CHILD
6c4affed0c3ea9df    2 of   9   shark/AndroidReferenceMatchers$RESOURCES__MCONTEXT$add$1
