[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Kiwix-_3.11.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
df00896f0f2e69eb    2 of   7   shark/AndroidReferenceMatchers$APP_WIDGET_HOST_CALLBACKS$add$1
2267346cf1ce576f   40 of 252   androidx/constraintlayout/widget/ConstraintHelper
500880fc6947691f    4 of   4   leakcanary/internal/ObjectsKt$NO_OP_HANDLER$1
5b610ced7009f737    2 of 105   okhttp3/internal/tls/OkHostnameVerifier
6e120c71e42a56fb    1 of   1   io/reactivex/internal/schedulers/ComputationScheduler$PoolWorker
1266ec3ce0747e9d  264 of 1532   org/kiwix/kiwixmobile/core/main/CoreReaderFragment
a2901c56b7aaf9d9    2 of   3   androidx/arch/core/internal/SafeIterableMap$DescendingIterator
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
ae0a4db8ee74ed73    2 of  27   androidx/constraintlayout/widget/Guideline
8adc13e389c2c04b    2 of  13   shark/AndroidObjectInspectors$FRAGMENT$leakingObjectFilter$1
52e7bfc5bb07469d   31 of 362   kotlinx/coroutines/flow/SharedFlowImpl
a157c51dad1729e4    1 of   3   org/kiwix/kiwixmobile/core/dao/entities/ErrorConverter
d2af810318f4fbe1    2 of  14   androidx/drawerlayout/widget/DrawerLayout$SavedState
f622755583ae0062    8 of  20   androidx/core/view/ViewCompat$Api16Impl
2f2db5dd10dcea93   20 of  39   io/reactivex/internal/schedulers/SchedulerPoolFactory
62813be233c56a19    4 of   4   io/reactivex/internal/operators/flowable/FlowableConcatArray
aa122665a1f7fd3f   78 of 214   androidx/activity/ComponentActivity
d5cd668f344ad7b7   23 of  48   androidx/navigation/NavOptions
6f400a4f12fbd734    3 of   3   shark/AndroidReferenceMatchers$MEDIA_PROJECTION_CALLBACK
c235a0ccf6ea34d3    1 of   4   androidx/core/view/animation/PathInterpolatorCompat$Api21Impl
00ef17488da05ac7   15 of  36   androidx/appcompat/widget/ViewUtils
c47e1723158ae613    1 of   2   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ElevateToHoveredFocusedTranslationZAnimation
18bfcce155c2c154   32 of  73   androidx/arch/core/internal/SafeIterableMap
9740fac058bfd5f7   57 of 275   org/kiwix/kiwixmobile/core/main/CoreMainActivity
3228593a05064edc   12 of  53   org/kiwix/kiwixmobile/JacocoInstrument/JacocoInstrumentation
7e17dca9d8ae2adc    2 of   9   shark/AndroidReferenceMatchers$RENDER_NODE_ANIMATOR$add$1
e98254113e8f03d0    3 of 159   androidx/recyclerview/widget/ItemTouchHelper$Callback
676fa76cd459a497    8 of  12   org/kiwix/kiwixmobile/core/extensions/FileExtensionsKt$isFileExist$1
80c052adabad4912   11 of  22   androidx/navigation/NavOptions$Builder
825099ed914daa24    1 of   1   androidx/room/migration/Migration
e18602191317a05d    3 of   9   butterknife/internal/DebouncingOnClickListener
