[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AnyMemo-_10.12.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
a63fc98dadd5e375    3 of   5   com/j256/ormlite/field/types/DoubleType
8b3dc6aa492f65ad    2 of   5   org/liberty/android/fantastischmemo/modules/ActivityModules_ProvidesDictionaryUtilFactory
f00cf5fbcf891b69    3 of  22   kotlin/Pair
3a96b4eb76b4a9d0    2 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
1d01c2456e8598db   18 of 847   androidx/transition/Transition
3c9fbc3b385561ea    3 of  55   com/google/android/material/motion/MotionUtils
0acf519d5a1fd856   15 of  57   com/google/android/material/shadow/ShadowRenderer
da9c297a5681dc7a  202 of 610   androidx/constraintlayout/widget/ConstraintLayout
af415998209d2762    1 of   3   com/google/common/base/Objects
595a534fad2ca61e    2 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
e8c268b05098b1cd   10 of  10   com/google/android/material/shape/ShapePath$PathLineOperation
ed1d81202a7d0769    3 of   4   androidx/fragment/app/strictmode/WrongFragmentContainerViolation
1c04780f270e522f   50 of  81   org/liberty/android/fantastischmemo/ui/RecentListFragment
616d52ab093433d8    8 of  14   com/j256/ormlite/logger/CommonsLoggingLogBackend$1
a95cb166b7bfe6af    5 of  39   com/j256/ormlite/stmt/mapped/BaseMappedStatement
fcdf2843b5fee84f    8 of  10   com/google/android/material/floatingactionbutton/FloatingActionButton$ShadowDelegateImpl
b389eab307bd77a9   63 of 111   androidx/appcompat/view/SupportMenuInflater$MenuState
cb3ab63bc100a52e    1 of   4   com/google/android/material/internal/NavigationMenu
d302552554d99bca    3 of   3   androidx/activity/OnBackPressedDispatcher$addCallback$1
f4ed57e59046da75    2 of   5   org/liberty/android/fantastischmemo/modules/ActivityModules_ProvidesShareUtilFactory
09143fab9be54c61   29 of  58   com/google/android/material/navigation/NavigationView$3
721c92bdcabccb21    1 of   1   androidx/loader/content/ModernAsyncTask$AsyncTaskResult
c4f4b20051aef667    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
1e077a104cdaf98d    3 of  42   androidx/recyclerview/widget/RecyclerView$ItemAnimator
a428ae983e956d67    2 of  30   kotlin/jvm/internal/CallableReference
31364c3809ac05e6   78 of 370   org/apache/commons/logging/impl/LogFactoryImpl
d93030d59c84d428    8 of  11   androidx/lifecycle/viewmodel/MutableCreationExtras
fd7269dfbc4789ba    5 of  11   com/google/android/material/navigation/NavigationBarView$1
cbdb69dd699862cf   22 of  57   com/google/android/material/internal/ThemeEnforcement
692af2c2998b8332    2 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
8d525ddcae4f2790    5 of  19   androidx/recyclerview/widget/RecyclerView$LayoutParams
f0536bd6b2c44810   11 of  13   androidx/fragment/app/strictmode/FragmentStrictMode$Flag
15f6e605d928db8f    6 of   7   androidx/fragment/app/SpecialEffectsController$Operation$LifecycleImpact
8aa1f101b20b10ff    2 of   4   org/apache/commons/logging/impl/WeakHashtable$WeakKey
362cb7cec000d0b4    2 of 119   com/google/android/material/drawable/DrawableUtils
618b4ccc3885a494    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
dafa23a3a20fea0d    4 of   4   org/liberty/android/fantastischmemo/ui/RecentListFragment$RecentListDetailLoaderCallbacks$1
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
57692d29680f132d    7 of 238   androidx/collection/LongSparseArray
4a98e1e51988e397   16 of  77   androidx/loader/content/AsyncTaskLoader
3450a65517836cee    2 of  11   androidx/activity/OnBackPressedDispatcher$OnBackPressedCancellable
abd5256a560881dc   10 of  63   androidx/databinding/DataBindingUtil
747f730c2a89dc91    1 of  12   com/google/android/material/bottomnavigation/BottomNavigationView$1
96d3064f00942164    1 of   4   com/google/android/material/shape/MaterialShapeDrawable$1
224d020298aec18f   49 of 239   androidx/collection/ArraySet
