[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/nextcloud-_4792_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
1b1e46348034beaa    8 of  15   com/owncloud/android/datastorage/UniqueStorageList
2b8f07de9d3cceb7    5 of   5   com/nextcloud/client/di/AppModule_DeviceInfoFactory
f444f98430d23383   22 of 118   com/nextcloud/client/account/UserAccountManagerImpl
fbe91f5c47368d90    5 of   5   com/nextcloud/client/di/AppModule_UserAccountManagerFactory
f732a79619869b52    4 of   7   com/nextcloud/client/device/DeviceInfo
7ae91978af70772e    1 of   1   com/owncloud/android/utils/SecurityUtils
78b802431e9afe50    5 of  18   com/owncloud/android/ui/fragment/TaskRetainerFragment
b67f3a119198a87b    8 of 204   com/owncloud/android/syncadapter/FileSyncAdapter
2c05062e5275b491   10 of  18   com/nextcloud/client/logger/LegacyLoggerAdapter
32d595762c1c89a6    1 of  12   com/owncloud/android/ui/activity/FileDisplayActivity$6
c6c7c209b97629f3   30 of  72   com/owncloud/android/authentication/PassCodeManager
6cfaaef6f503bf48   11 of  15   com/owncloud/android/ui/fragment/ExtendedListFragment$5
898da35dbd77f896    5 of   5   com/nextcloud/client/network/NetworkModule_ConnectivityManagerFactory
f5d82e9b3a381ae5    3 of   3   com/owncloud/android/ui/adapter/FeaturesViewAdapter
31043c108d283764    5 of   5   com/nextcloud/client/di/DaggerAppComponent$FirstRunActivitySubcomponentFactory
4d9650281e22d507    1 of   5   com/owncloud/android/ui/activity/BaseActivity_MembersInjector
18a33b019684ae33    5 of   7   com/nextcloud/client/di/FragmentInjector
582e37da135b2cdf    1 of   6   com/owncloud/android/datamodel/MediaFoldersModel
972cc7f961736896    1 of   5   com/owncloud/android/providers/UsersAndGroupsSearchProvider_MembersInjector
5ac8b6cf85f25508    8 of  12   com/owncloud/android/datastorage/StoragePoint
75a3e93aa7a35a26    1 of   3   com/nextcloud/client/di/DaggerAppComponent$26
1f5b4673966a0567    9 of   9   com/nextcloud/client/jobs/JobsModule
21d5c91ac1261ffe   21 of  96   com/owncloud/android/datamodel/MediaProvider
82b0b9fe4670653a   23 of  83   com/nextcloud/client/logger/FileLogHandler
f6109d88427f78ac    1 of   2   com/owncloud/android/ui/activity/DrawerActivity$2
d8fc9f183fc493bc    1 of   3   com/nextcloud/client/di/DaggerAppComponent$29
1009a9797cbc3990    2 of   2   com/nextcloud/client/onboarding/OnboardingServiceImpl$Companion
9704e9e267cf8d98    3 of  24   com/owncloud/android/jobs/NCJobCreator
3f6039b18fd8f4ce    2 of  68   com/owncloud/android/ui/activity/FileDisplayActivity$UploadFinishReceiver
73b9023b3fbc25e0  118 of 657   com/owncloud/android/ui/fragment/OCFileListFragment
b8dd76bddb14d1c2   17 of  18   com/owncloud/android/utils/ReceiversHelper
856a16c899599571   16 of 191   com/owncloud/android/services/OperationsService
1cedef246b679ed6    1 of   5   com/nextcloud/client/appinfo/AppInfoModule_AppInfoFactory
d57f2abeb8e5736d    1 of   3   com/nextcloud/client/di/DaggerAppComponent$22
c4cc9f4f30c85a6c    1 of   3   com/nextcloud/client/di/DaggerAppComponent$56
ca91738d25a1263c    1 of   3   com/nextcloud/client/network/ConnectivityServiceImpl$GetRequestBuilder
b44d58fe8077188f   28 of  83   com/owncloud/android/ui/activity/ToolbarActivity
fcdb61b84481cbfa    1 of  17   com/owncloud/android/authentication/AuthenticatorActivity$2
a07dd60318af5f60    1 of   2   com/google/android/material/R$styleable
