[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/open-event-attendee-android-0.5-_2198-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
3b27e3b9386dd924    6 of  11   org/fossasia/openevent/general/auth/RequestAuthenticator
4c2557cea6f11a94    1 of   2   androidx/navigation/common/R$styleable
8c3b8105c014840f    2 of  18   org/fossasia/openevent/general/notification/NotificationDao_Impl
03152965b7231c86    2 of   8   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$17
2de0407ca302944e    3 of   3   org/fossasia/openevent/general/event/EventsFragment$onCreateView$4
d1c34a0e86f2a53f    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$2
5a20437fb344bc55    5 of   5   org/fossasia/openevent/general/di/ModulesKt$commonModule$1$3
75bf4ee2f17b5bdf    1 of   5   org/fossasia/openevent/general/event/EventsFragment$onCreateView$1
2321db3edb7a04af    2 of   8   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$23
0e94c4df8f96f950    2 of   9   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$21
8c655452771166b3    2 of   8   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$4
a3f9a937f906c933    1 of   4   org/fossasia/openevent/general/event/EventService$getEventsByLocationPaged$1
60868305eba11ba9    7 of 161   org/fossasia/openevent/general/event/EventUtils
faafce2efee2921e    1 of  21   org/fossasia/openevent/general/notification/NotificationDao_Impl$1
ac8fa68bb4da5e4a    1 of  37   org/fossasia/openevent/general/settings/SettingsDao_Impl$1
a7fb4805427b4ab6    5 of  22   org/fossasia/openevent/general/event/EventsListAdapter
96beebdf6315e306    2 of   8   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$7
2ef3d1e874d1106d    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$9
8b1da415fa3de7c6    3 of   7   org/fossasia/openevent/general/OpenEventGeneral$Companion
7d8c19b2f17dca44    1 of   5   org/fossasia/openevent/general/event/EventsFragment$onCreateView$12
6aa9f70d62f5d6ba    5 of   5   org/fossasia/openevent/general/utils/extensions/LiveDataExtensionsKt$nonNull$1
451d8f0dae28e030    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$12
3734e126900a6c97    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$9
02eaa8d06ae90b9e    5 of  45   org/fossasia/openevent/general/attendees/AttendeeDao_Impl
9e2d17e87694798a    1 of   8   org/fossasia/openevent/general/ticket/TicketIdConverter
df4eb56f99733f60    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$13
02a8f93e078f2eac    2 of   9   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$27
2c4b0398b8ea21b4    2 of   6   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$12
391dd60cfca50153    3 of   3   org/fossasia/openevent/general/data/Preference$editor$2
6a220fc3e74e5a8d    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$14
d878aa4c3feb5e6c    4 of   6   org/fossasia/openevent/general/utils/extensions/RxExtensionsKt
da37f0f6c3245cee  132 of 132   org/fossasia/openevent/general/di/ModulesKt$apiModule$1
06b6e2482e71c94b   19 of  63   org/fossasia/openevent/general/StartupViewModel
18645bbb833dfd09    1 of   4   org/fossasia/openevent/general/settings/SettingsService$fetchSettings$2
084fa20cf8f4853f    6 of   7   org/fossasia/openevent/general/event/EventsFragment$onCreateView$7
75e29bdc5d3969a3   12 of  53   org/fossasia/openevent/general/JacocoInstrument/JacocoInstrumentation
13ea9c72cc8c8da7    1 of   2   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$2
d114159cfc2ea6ce    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$2
c1f0b7b500c3b183    7 of   7   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$32
d29d47b6b7205ffd    1 of 177   org/fossasia/openevent/general/event/EventDao_Impl$1
9e723e048272f8c7    5 of   9   org/fossasia/openevent/general/event/EventsFragment$onCreateView$8
d29e7535b28f7277    2 of   2   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$1
3626aa40119e15b2    2 of   9   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$31
421289745174e6b1    1 of   4   org/fossasia/openevent/general/speakercall/SpeakersCallConverter
9d75f8a05a268098    1 of   2   androidx/cardview/R$styleable
e5096da0b5a440e7  128 of 215   org/fossasia/openevent/general/event/EventsFragment
6e9aec77177706bc    2 of  17   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$6
d7f21725cbb95a4f    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$11
56170719d627bc74    7 of  13   org/fossasia/openevent/general/common/SingleLiveEvent
ae8174148e9cb3f1    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$15
05f8ac69e0870753    2 of   8   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$28
f3227d99e6690182    1 of   2   org/fossasia/openevent/general/event/EventDao_Impl$4
cbf4941c98585b94    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$5
7ed9e21b287660d8    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$4
ae961e17f99db5f1    9 of  18   org/fossasia/openevent/general/auth/AuthHolder
efb833b4be349b6a    1 of   8   org/fossasia/openevent/general/event/EventsFragment$onCreateView$10
66c9ef115f97dd78    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$10
a1b5b31c8991d7c4   50 of 175   org/fossasia/openevent/general/OpenEventDatabase_Impl
6131a9f30387c3e8   23 of  69   org/fossasia/openevent/general/welcome/WelcomeFragment
663d82e45afdc7c5    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$8
f3290e99d3cf4966    6 of   6   org/fossasia/openevent/general/di/ModulesKt$networkModule$1$1
2315f7ef376cab05    2 of   9   org/fossasia/openevent/general/notification/NotificationService
86183d2c20ad80b1    3 of   3   org/fossasia/openevent/general/connectivity/MutableConnectionLiveData$broadcastReceiver$1
31da6430b44539de    2 of   9   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$1
be1e46f9630619b8    2 of   8   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$22
5174d186ddcc43ab   10 of  10   org/fossasia/openevent/general/di/ModulesKt
12274f726a0436f9   11 of  11   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$3
7464683de723c0a6    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$26
a8a0ea317ce73b67    1 of   2   org/fossasia/openevent/general/auth/UserDao_Impl$2
c818af278499e4d2    5 of   5   org/fossasia/openevent/general/di/ModulesKt$commonModule$1$1
b115525a513ad344    1 of   2   androidx/recyclerview/R$styleable
007139a649b9e7bd    2 of  10   org/fossasia/openevent/general/common/EventsDiffCallback
d9dbdb3d4523a75c    4 of   4   org/fossasia/openevent/general/MainActivity$onCreate$1
d57b0611738dc5b7    2 of   2   org/fossasia/openevent/general/common/SingleLiveEvent$Companion
f161c7955cc1b882    4 of   4   org/fossasia/openevent/general/data/Preference$sharedPreferences$2
56d8304217ed4d5b   38 of  68   org/fossasia/openevent/general/event/EventsViewModel
727373dc384d2484   11 of  11   org/fossasia/openevent/general/OpenEventGeneral$onCreate$1
30681803b231d333    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$16
53ef6ca662d38c7a    4 of  16   org/fossasia/openevent/general/utils/extensions/FragmentExtKt
ae501b49df0c4b1e    4 of   4   org/fossasia/openevent/general/StartupViewModel$fetchSettings$2
32304ce3c6abd769    1 of   3   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$redirectToLogin$1
d582f48420b6d3a4    1 of   6   org/fossasia/openevent/general/event/EventsFragment$onCreateView$6
3536dcf1017ad07d   11 of  11   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$2
27bd9d26e7774742    2 of   7   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$31
0d3f0c1a19b17381    9 of  21   org/fossasia/openevent/general/di/HostSelectionInterceptor
561d3f25aff7efd0    1 of   8   org/fossasia/openevent/general/welcome/WelcomeFragment$onCreateView$2
f92833c854d2d548    2 of  13   org/fossasia/openevent/general/speakercall/SpeakersCallDao_Impl
b96fca31e59480bc    2 of  12   org/fossasia/openevent/general/settings/SettingsDao_Impl
4c471b9218d40b2e   12 of  12   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$21
82b34fbc3badce07    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$7
4371148717fc7597   14 of  14   org/fossasia/openevent/general/di/ModulesKt$networkModule$1$4
ab40c37fd463fca6    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$13
c0940874a17f4bc7    4 of  24   org/fossasia/openevent/general/event/topic/EventTopicsDao_Impl
8b7e7474023c1b38    4 of   4   org/fossasia/openevent/general/event/EventsFragment$$special$$inlined$viewModel$2
7227e287828e66c3    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$18
092f3f7e87c19be3    1 of   4   org/fossasia/openevent/general/event/EventsViewModel$loadLocationEvents$3
6ed1b19246e12693    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$14
08d4f298d4b49137   14 of  14   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$22
4a6691b571e20f09    5 of   5   org/fossasia/openevent/general/di/ModulesKt$commonModule$1$4
295d7faf682e7a9d    1 of   3   org/fossasia/openevent/general/event/EventsFragment$onCreateView$3
79dcbbfd692fe511    1 of  64   org/fossasia/openevent/general/order/OrderDao_Impl$1
655b19d456696f68    1 of   2   org/fossasia/openevent/general/event/EventDao_Impl$2
a8bf41c9e15ed6fc    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$8
d448a3e0dd300a74    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$18
d8725786b8288a65    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$7
b236953c872e2570   24 of 138   org/fossasia/openevent/general/utils/Utils
20175c28092158d4    4 of   4   org/fossasia/openevent/general/data/Resource$context$2
7238aa055023c296    1 of   2   org/fossasia/openevent/general/event/EventDao_Impl$3
05162b6bde4394ab    1 of   2   org/fossasia/openevent/general/event/topic/EventTopicsDao_Impl$2
