[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/MyExpenses-_r879-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
46368e013dd8d46e   20 of  32   androidx/compose/foundation/layout/WrapContentNode
52c1ba52f7a67eb0    5 of   9   kotlin/collections/AbstractList$IteratorImpl
1bfe3dc2716b96d0    2 of  70   androidx/core/view/DisplayCompat
962d4b19206ffcdc    7 of 135   androidx/compose/ui/draganddrop/DragAndDropNode
482b054e11f4fd1b   21 of 127   kotlin/jvm/internal/Intrinsics
db34d06ac508efdc   43 of 122   com/google/android/material/color/DynamicColors
697e4a2b49ed2b33    4 of   5   androidx/datastore/core/DataStoreImpl$data$1$invokeSuspend$$inlined$map$1
656ed771b6f8c56a    4 of  35   kotlin/jvm/internal/PropertyReference
7a18dd562049a697    3 of   3   androidx/work/impl/model/RawWorkInfoDao_Impl$Companion
bdb0610efec763e8    1 of   2   androidx/appcompat/widget/DrawableUtils$Api29Impl
b6d22534893c5b43   18 of  57   androidx/datastore/preferences/core/PreferenceDataStoreFactory
db2cae7088e65c23   12 of  18   androidx/lifecycle/LifecycleRegistryKt
16e17ac0cffd6243    7 of  11   kotlinx/coroutines/BuildersKt
e986dce6f03504ca    1 of  72   androidx/tracing/TraceEventScope
a0b0031105fda7fc    9 of  32   androidx/compose/foundation/layout/FlowLayoutOverflow
dda1910656d8fbdd   13 of  31   androidx/core/content/res/CamUtils
0faaa8638519e373   11 of  45   ch/qos/logback/core/util/OptionHelper
4fbba932e977ae5a   59 of 377   org/totschnig/myexpenses/viewmodel/data/Transaction2
3ce7a28503b51c72   16 of  19   com/android/setupwizardlib/view/NavigationBarButton$TintedDrawable
466bbc40e42a9fb0    9 of  31   androidx/compose/ui/graphics/FilterQuality
4d1155592de8d412    2 of   3   androidx/compose/ui/layout/MeasureResult
88e17eeab85e4fe1    1 of   2   androidx/recyclerview/widget/RecyclerView$StretchEdgeEffectFactory
f1cc0054a15e3170   60 of 11164   kotlin/collections/ArraysKt___ArraysKt
05a466e9316b1398    2 of   2   org/totschnig/myexpenses/viewmodel/SyncViewModel$Companion
9df57169efa582f8   12 of  87   androidx/core/view/MenuItemCompat
c23b3a5881973837   11 of  15   androidx/compose/material3/CheckDrawingCache
f096d44b7d71986a   84 of 262   androidx/compose/ui/platform/GraphicsLayerOwnerLayer
90a4dc0ebe8673e6    4 of   4   androidx/sqlite/db/SupportSQLiteOpenHelper$Configuration$Companion
8ae7fcbad53f62ad   41 of  69   androidx/compose/ui/semantics/SemanticsActions
d173b55c411544e9    2 of   3   kotlin/collections/AbstractMutableList
11848017a868982d   43 of 204   androidx/compose/ui/layout/Placeable$PlacementScope
d7e5f6b78c270cad    6 of  29   kotlin/collections/MutableMapWithDefaultImpl
aef6418469b1671a    4 of   8   kotlinx/coroutines/flow/internal/FusibleFlow
70aefaed86624df8    6 of  10   androidx/constraintlayout/widget/ConstraintLayout$1
fc912fd26cb63e28   15 of 127   kotlinx/coroutines/internal/FastServiceLoader
2b70d455e894566c    1 of  12   androidx/core/view/WindowInsetsControllerCompat$Impl
ee34088243eba4bd    4 of  11   kotlinx/coroutines/DefaultExecutorKt
1cede18d486634e4    2 of   2   kotlinx/coroutines/scheduling/Task
380560fe8137582b    2 of  29   org/totschnig/myexpenses/viewmodel/BaseFunctionalityViewModel$Companion
2d18bf5669a27a05    8 of  22   androidx/work/impl/background/greedy/TimeLimiter
a17ed50f8bc53e5d    2 of   4   kotlinx/coroutines/flow/internal/NoOpContinuation
592cbc8083b447f1    3 of   8   androidx/lifecycle/ViewModelStoreOwnerDefaults
4265c5c08deeeba6   11 of  11   androidx/compose/ui/graphics/colorspace/TransferParametersKt
524b971a8afb2e47    2 of  10   androidx/compose/foundation/gestures/DefaultScrollableState$scrollScope$1
a30c6bd3aab86388   21 of  42   kotlinx/coroutines/flow/SharedFlowKt
b7380bc8eb5af645    5 of   6   androidx/compose/ui/text/font/FontWeightAdjustmentHelper
9c0d1470e6962f1a    7 of  22   org/totschnig/myexpenses/viewmodel/data/Currency$Companion
cff8d53203cd58f4    5 of   8   androidx/compose/foundation/layout/Direction
92ed0420fada0de3    3 of  18   androidx/appcompat/app/AppCompatDelegate$SerialExecutor
6eae27fa55b49d16    1 of   3   androidx/activity/EdgeToEdgeApi28
b9ae6b5e25f9f6ff    6 of  12   kotlinx/coroutines/flow/internal/SubscriptionCountStateFlow
7e37c245e53dd8b7    2 of 216   kotlin/io/FilesKt__UtilsKt
553656e7219ca3b7    2 of   2   androidx/tracing/EmptyThreadTrack
e658a17abf3519ed    8 of  14   androidx/compose/material3/MotionSchemeKt
900bc6e4212d363f    4 of  26   androidx/compose/animation/core/MutatorMutex
8eea4cac98e33b5a    2 of   2   androidx/datastore/preferences/PreferenceDataStoreFile
0737567c640bd741   42 of  98   org/acra/config/CoreConfiguration
a4936c7825276fc8    5 of  17   org/totschnig/myexpenses/databinding/ExchangeRateBinding
3f043de935b1f555    5 of  43   kotlin/collections/CollectionsKt__CollectionsJVMKt
c9c92ce280f967dd  103 of 145   androidx/compose/ui/graphics/ReusableGraphicsLayerScope
45367ec447a51e47    6 of   9   com/google/android/material/textfield/CutoutDrawable$ImplApi18
432cc9efd8e71037    1 of   6   org/totschnig/myexpenses/fragment/OnboardingDataFragment_MembersInjector
11214077138060c0    6 of   9   org/acra/prefs/SharedPreferencesFactory
36233e9d27ad2d0a   21 of 163   androidx/profileinstaller/DeviceProfileWriter
5a2faf28ed1c1a06    1 of  11   ch/qos/logback/core/rolling/helper/IntParser
46e011bdac33b971  265 of 1057   androidx/compose/foundation/layout/FlowLayoutKt
97f83ae742eaedea    1 of   5   androidx/appcompat/widget/LinearLayoutCompat$LayoutParams
a4890dcf458d2eeb   34 of  62   androidx/compose/runtime/snapshots/TransparentObserverMutableSnapshot
b7800cab72634b61   11 of  30   androidx/compose/ui/text/style/LineBreak$Strategy
f34a3b39ea72c02b    1 of  62   kotlin/UnsignedKt
25eb141d3d8f0e53    8 of  18   kotlinx/coroutines/flow/FlowKt__ShareKt$launchSharing$1$2
52ac5b2090c1fb7d    1 of   2   androidx/emoji2/viewsintegration/EmojiKeyListener$EmojiCompatHandleKeyDownHelper
0a23e1cd9ba8f272   41 of  68   ch/qos/logback/core/rolling/helper/FileNamePattern
a610215c24f82181    3 of   4   ch/qos/logback/core/pattern/parser/TokenStream$TokenizerState
445f26722ab20aaa    2 of   2   androidx/compose/ui/text/font/AndroidFontResolveInterceptor_androidKt
f8b3e7cd9550681b    3 of   4   androidx/compose/ui/text/font/PlatformResolveInterceptor$Companion
1e4c1eb1000962c1   28 of  38   androidx/compose/material3/ShapeDefaults
be99811a75968822    2 of   7   androidx/work/impl/StartStopTokens
6e55fdee3ef2af74    1 of  52   androidx/appcompat/app/AppCompatDelegateImpl$PanelFeatureState
472af8da759e0850    1 of   2   androidx/datastore/core/DataStoreImpl$readDataOrHandleCorruption$1
612350a35b6f28af   18 of  48   androidx/core/view/DisplayShapeCompat
498ab9f149d53bea    6 of  48   kotlinx/coroutines/CancellableContinuationKt
5acf2e39110607b5   10 of 158   androidx/work/impl/Processor
55d7b25ccc0de9c3    5 of   5   androidx/compose/ui/platform/WindowRecomposerFactory$Companion
2206ab61e4ec0fcd    2 of  14   androidx/compose/ui/unit/LinearFontScaleConverter
4f9b17bf7f350557    1 of   2   androidx/compose/runtime/Composer$Companion$Empty$1
9d2e67eb823d5ab7   18 of  51   kotlinx/coroutines/android/HandlerContext
a53bc5ae9d505f95    4 of   5   androidx/compose/ui/unit/AndroidDensity_androidKt
ed5edf1f79b969a0    1 of   2   kotlinx/coroutines/flow/FlowKt__ReduceKt$first$3
20b300b5819203cc   60 of 459   org/totschnig/myexpenses/compose/AmountKt
61ef74545258c5bb    6 of  14   androidx/emoji2/viewsintegration/EmojiEditTextHelper$HelperInternal19
663168e818fed47c    1 of  16   androidx/compose/ui/node/NodeCoordinator$Companion$SemanticsSource$1
a2adf74b91f9467f  129 of 602   androidx/recyclerview/widget/RecyclerView$Recycler
88fc68829bb159af    4 of  17   androidx/compose/foundation/shape/DpCornerSize
4b779e144e68596a    5 of  37   androidx/compose/foundation/BorderModifierNodeElement
491c517a8b3cf13e    2 of   3   androidx/compose/ui/graphics/colorspace/Adaptation$Companion$VonKries$1
31c2364bba1b1ffa   34 of  81   androidx/compose/ui/graphics/AndroidPaint_androidKt
0884b2e2dc96449a    6 of  94   okhttp3/internal/platform/Platform
f647311b1470d15e    2 of   7   androidx/compose/ui/layout/OuterPlacementScope
e67c3f04649bdf91    6 of  10   org/totschnig/myexpenses/fragment/OnboardingDataFragment$special$$inlined$viewModels$default$9
f0b096682841aced   20 of  69   androidx/compose/ui/graphics/colorspace/Oklab
6ec68364064e899b    3 of  28   androidx/compose/ui/autofill/AndroidAutofillManager_androidKt
376079e0e7de2b25    4 of  33   kotlinx/coroutines/flow/FlowKt__MergeKt
77f2d303ea884c05    5 of   6   androidx/room/driver/SupportSQLiteDriver
9503f5f55fd67da0    2 of   2   androidx/compose/ui/autofill/AutofillManager
97e11b2ab1535f1a   17 of  82   androidx/compose/foundation/ScrollState
3dab114c8e84a0e4   63 of 115   androidx/compose/ui/text/ParagraphStyleKt
47a486de433cc0ca    8 of   9   androidx/work/impl/utils/taskexecutor/WorkManagerTaskExecutor
819809fb61330bdf    4 of   5   com/squareup/phrase/Phrase$Token
c2a1bd59e7c6faad    1 of   1   kotlinx/coroutines/flow/SharingConfig
d6630983da236754    2 of  10   androidx/datastore/core/Data
34ab4c25073a1d28   50 of  73   androidx/compose/ui/text/AndroidParagraphIntrinsics
a9212c1a74cf3356    2 of  22   ch/qos/logback/core/rolling/helper/RenameUtil
05298ffa7c4b743a    1 of  15   androidx/preference/PreferenceScreen
3853332240510982    1 of   5   androidx/core/view/LayoutInflaterCompat
4a8e2a9ce165e3df   38 of 207   androidx/compose/runtime/composer/gapbuffer/SlotTableKt
2de1fdcb579ae518    1 of   5   androidx/core/view/GravityCompat
98e3872d68dfd5bd    4 of   9   dagger/internal/InstanceFactory
3dd693dc17f57b51   30 of 366   androidx/appcompat/widget/ListPopupWindow
72267ffcc3404c2a    5 of   5   org/acra/config/DialogConfigurationBuilder$special$$inlined$observable$5
