[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ReadYou-_0.16.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
79bf465b676fd85a    2 of   3   androidx/compose/ui/text/PlatformParagraphStyle$Companion
2e797280f0ef2cc5    8 of  10   androidx/room/driver/SupportSQLiteStatement
50ee9b4cb55f7e29    2 of   6   androidx/datastore/preferences/protobuf/ByteString$LeafByteString
3a11fb3654d05522    4 of   4   androidx/compose/ui/layout/PlaceableKt$DefaultLayerBlock$1
4f14183962aeb554   12 of  45   coil/compose/SingletonAsyncImagePainterKt
8e137a17bfe5cb3a    2 of   2   me/ash/reader/infrastructure/rss/RssHelper$queryRssXml$1
56d9e6f669a01953   10 of  16   okio/AsyncTimeout$Watchdog
cfdaf28137ef0a54    4 of  10   androidx/work/WorkManager$Companion
f943f3039aabd00a    3 of  21   androidx/compose/ui/text/input/TextInputService
21ab7039716b601a    6 of  31   androidx/compose/foundation/lazy/layout/LazyLayoutBeyondBoundsInfo
214736582825ffdf    1 of   2   me/ash/reader/infrastructure/android/DaggerAndroidApp_HiltComponents_SingletonC
455513d45fbb89df   74 of 167   androidx/work/impl/background/systemjob/SystemJobScheduler
2131afa6d0649e15    3 of   3   androidx/compose/ui/layout/SubcomposeLayoutState$setCompositionContext$1
dcd7ecd91045a0ad    1 of  10   org/jsoup/parser/TokeniserState$42
a598a2be3a731dbd    1 of   1   androidx/compose/foundation/text/modifiers/TextAnnotatedStringNodeKt
8053029b5c66de47   66 of 115   androidx/compose/runtime/SlotWriter$Companion
404db17920bf9162    1 of   4   androidx/compose/animation/SharedTransitionScopeKt$ParentClip$1
a5fd43f8cf676989   15 of  69   androidx/compose/material3/internal/ProvideContentColorTextStyleKt
b3354fab62789e0b    1 of  17   androidx/compose/animation/core/DecayAnimationSpecKt
da4073b0d3eb5af6   39 of 105   okhttp3/internal/cache/CacheInterceptor
2d7fae748e6c4d96    2 of   4   androidx/compose/ui/semantics/SemanticsProperties$ContentDataType$1
7eb072e9fd7151db    1 of  15   net/dankito/readability4j/processor/ArticleGrabber$clean$1
dc4e1a06c6a6e01b    2 of   7   me/ash/reader/infrastructure/preference/LanguagesPreference$Tamil
ec502117dc7911cb    1 of  40   org/jsoup/parser/HtmlTreeBuilderState$19
954c39f59db9f1f6  366 of 790   kotlinx/coroutines/JobSupport
394192b76222c92e    2 of   2   me/ash/reader/infrastructure/preference/ReadingFontsPreference$Monospace
9584b56c53efb3fc  124 of 225   androidx/compose/runtime/snapshots/SnapshotStateObserver
cb743066ae965579    2 of   2   me/ash/reader/infrastructure/preference/ReadingSubheadAlignPreference$End
415bc4cb0dcd68a0    3 of   3   coil/util/ImmutableHardwareBitmapService
b0bd2372dc920fa3   54 of  73   androidx/work/impl/Schedulers
7bce01297a79c19c   38 of 140   androidx/compose/animation/AnimatedContentMeasurePolicy
5faa00c4516d0f07   23 of  70   androidx/compose/ui/text/font/FontFamilyResolverImpl
e96d0443bb581772    4 of   4   androidx/compose/ui/layout/LookaheadScopeKt$LookaheadScope$1$1
b51657c41a7dd9a9    2 of   2   me/ash/reader/infrastructure/preference/FlowArticleListTonalElevationPreference$Level2
bef802ca3ef6a3c2    4 of   4   androidx/compose/ui/node/ComposeUiNode$Companion$SetModifier$1
7c6f6e0ea63d5554   14 of  26   androidx/datastore/preferences/PreferencesProto$Value$ValueCase
5ab5138b991d512e   16 of  21   androidx/compose/ui/node/NodeCoordinator$updateLayerParameters$1
3193b2fabcde1eba    4 of  48   com/google/gson/internal/reflect/ReflectionHelper
c7cf69ed481b4737    5 of   8   androidx/compose/ui/window/SecureFlagPolicy
a05a24727148d470    2 of   2   me/ash/reader/domain/service/AbstractRssRepository$clearKeepArchivedArticles$1
b321cb865ccae57c    5 of  32   me/ash/reader/infrastructure/preference/ReadingFontsPreference
53b2cfaa52562f5d    6 of  10   me/ash/reader/infrastructure/preference/ReadingImageHorizontalPaddingPreference
e5888fe5b5d21ea7    1 of   2   com/caverock/androidsvg/SVG$Defs
041cc5c6086ac8ac    2 of   7   me/ash/reader/infrastructure/preference/LanguagesPreference$Bulgarian
a097e08cbf64be63    2 of  10   com/google/gson/Gson$FutureTypeAdapter
81e528509cd0347b    4 of   4   androidx/work/impl/model/Dependency
0b4c055b53ba3c8d    5 of   5   androidx/work/impl/WorkManagerImplExtKt$WorkManagerImpl$1
70097e7a95bdbaec   13 of  31   okhttp3/internal/http2/Http2Reader$ContinuationSource
bcdfc7b5da9f80d3    2 of   2   okhttp3/CookieJar$Companion
a8c1a5be96bd9ae4    2 of   4   androidx/compose/animation/EnterExitTransitionKt$TransformOriginVectorConverter$2
96aa32e197255247    1 of  28   coil/map/ResourceUriMapper
61c8efb3f378dc2f   17 of  78   kotlinx/coroutines/internal/ConcurrentLinkedListNode
43d33a8add040570    8 of  12   me/ash/reader/infrastructure/preference/FlowArticleListImagePreference$Companion
a726e5c4cb3688fa    2 of   5   me/ash/reader/infrastructure/db/AndroidDatabase_AutoMigration_5_7_Impl
db2c701c0231482f    6 of  45   kotlin/io/FilesKt__FilePathComponentsKt
