[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/open-event-attendee-android-0.5-_2198_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
d29e7535b28f7277    1 of   2   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$1
3626aa40119e15b2    2 of   9   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$31
6e9aec77177706bc    2 of  17   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$6
d7f21725cbb95a4f    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$11
ae8174148e9cb3f1    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$15
05f8ac69e0870753    2 of   8   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$28
f3227d99e6690182    1 of   2   org/fossasia/openevent/general/event/EventDao_Impl$4
a6173ef2aa1170b1    1 of   4   org/fossasia/openevent/general/event/subtopic/EventSubTopicConverter
ac711a108ba6634e    2 of   9   org/fossasia/openevent/general/notification/NotificationService
cbf4941c98585b94    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$5
7ed9e21b287660d8    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$4
44f4cadc8faac68e    2 of  85   org/fossasia/openevent/general/event/EventService
efb833b4be349b6a    1 of   8   org/fossasia/openevent/general/event/EventsFragment$onCreateView$10
66c9ef115f97dd78    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$10
a1b5b31c8991d7c4   43 of 175   org/fossasia/openevent/general/OpenEventDatabase_Impl
663d82e45afdc7c5    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$8
f3290e99d3cf4966    6 of   6   org/fossasia/openevent/general/di/ModulesKt$networkModule$1$1
9632d1dc17dca124    1 of   2   androidx/navigation/common/R$styleable
31da6430b44539de    2 of   9   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$1
be1e46f9630619b8    2 of   8   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$22
3fab82a99976d58d    2 of  16   org/fossasia/openevent/general/utils/extensions/FragmentExtKt
12274f726a0436f9   11 of  11   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$3
2756cb50c1435715   20 of  69   org/fossasia/openevent/general/welcome/WelcomeFragment
7464683de723c0a6    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$26
a8a0ea317ce73b67    1 of   2   org/fossasia/openevent/general/auth/UserDao_Impl$2
c818af278499e4d2    5 of   5   org/fossasia/openevent/general/di/ModulesKt$commonModule$1$1
f161c7955cc1b882    4 of   4   org/fossasia/openevent/general/data/Preference$sharedPreferences$2
727373dc384d2484   11 of  11   org/fossasia/openevent/general/OpenEventGeneral$onCreate$1
30681803b231d333    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$16
ae501b49df0c4b1e    4 of   4   org/fossasia/openevent/general/StartupViewModel$fetchSettings$2
d582f48420b6d3a4    1 of   6   org/fossasia/openevent/general/event/EventsFragment$onCreateView$6
3536dcf1017ad07d   11 of  11   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$2
27bd9d26e7774742    2 of   7   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$31
10e7bec0d90625c5   19 of  63   org/fossasia/openevent/general/StartupViewModel
561d3f25aff7efd0    1 of   8   org/fossasia/openevent/general/welcome/WelcomeFragment$onCreateView$2
2595fbe812a49348    2 of  10   org/fossasia/openevent/general/common/EventsDiffCallback
f92833c854d2d548    2 of  13   org/fossasia/openevent/general/speakercall/SpeakersCallDao_Impl
b96fca31e59480bc    2 of  12   org/fossasia/openevent/general/settings/SettingsDao_Impl
d8edb541d48d2c7f    1 of   2   org/fossasia/openevent/general/BuildConfig
a22ed6fb194165e8    1 of  12   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$favFabClickListener$1
a3d80ca692753e3a    1 of   8   org/fossasia/openevent/general/ticket/TicketIdConverter
4c471b9218d40b2e   12 of  12   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$21
82b34fbc3badce07    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$7
4371148717fc7597   14 of  14   org/fossasia/openevent/general/di/ModulesKt$networkModule$1$4
ab40c37fd463fca6    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$13
c05cc8537afeff03    1 of   2   com/facebook/shimmer/R$styleable
c0940874a17f4bc7    4 of  24   org/fossasia/openevent/general/event/topic/EventTopicsDao_Impl
b0d2d718380dd6be   18 of 138   org/fossasia/openevent/general/utils/Utils
ef9f2bb6f29a2290    1 of   2   androidx/coordinatorlayout/R$styleable
8b7e7474023c1b38    4 of   4   org/fossasia/openevent/general/event/EventsFragment$$special$$inlined$viewModel$2
7227e287828e66c3    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$18
f1a46e4669528fcf    5 of   8   org/fossasia/openevent/general/MainActivity$onCreate$1
6ed1b19246e12693    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$14
08d4f298d4b49137   14 of  14   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$22
4a6691b571e20f09    5 of   5   org/fossasia/openevent/general/di/ModulesKt$commonModule$1$4
295d7faf682e7a9d    1 of   3   org/fossasia/openevent/general/event/EventsFragment$onCreateView$3
79dcbbfd692fe511    1 of  64   org/fossasia/openevent/general/order/OrderDao_Impl$1
655b19d456696f68    1 of   2   org/fossasia/openevent/general/event/EventDao_Impl$2
dbbe9deca286c7a4    6 of  16   org/fossasia/openevent/general/data/Resource
a8bf41c9e15ed6fc    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$8
d448a3e0dd300a74    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$18
d8725786b8288a65    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$7
20175c28092158d4    4 of   4   org/fossasia/openevent/general/data/Resource$context$2
7238aa055023c296    1 of   2   org/fossasia/openevent/general/event/EventDao_Impl$3
05162b6bde4394ab    1 of   2   org/fossasia/openevent/general/event/topic/EventTopicsDao_Impl$2
4506bdee6c746b9a    2 of   8   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$27
ef52b0ebf350494f    1 of   8   org/fossasia/openevent/general/attendees/ListAttendeeIdConverter
743576459943301b    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$1
48d63fd842a80387   18 of  29   org/fossasia/openevent/general/data/Preference
b89ea945b29e1f5e    2 of   4   org/fossasia/openevent/general/StartupViewModel$fetchSettings$1
0310588c17fe3d50    2 of  13   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$10
f568f8ca4068557d    1 of   2   org/fossasia/openevent/general/welcome/WelcomeFragment$onCreateView$3
e2b33babd77c22c2    3 of   5   org/fossasia/openevent/general/utils/extensions/LiveDataExtensionsKt
4b21416b19062531    1 of   2   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$3
3d6949937199e54f    2 of  10   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$30
b8022bf13ea723ec    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$8
33b9cbb6733e946f    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$10
60a1e8a04ec5b588    1 of   2   androidx/appcompat/R$styleable
8d94c5a0dde8547a    1 of   8   org/fossasia/openevent/general/MainActivity$setupBottomNavigationMenu$1
3c3f389e98e726a0    2 of  11   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$9
15e0dac7e4fb185b    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$32
d85062e72c6ad6c9    2 of  11   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$29
f96f4c34f7d7a230    4 of   4   org/fossasia/openevent/general/welcome/WelcomeFragment$$special$$inlined$viewModel$1
43b849558b2e1fee    2 of   2   org/fossasia/openevent/general/utils/extensions/NonNullMediatorLiveData

