[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Currencies-_1.23.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
25c56ef014ce2eda    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
65830ee121b713f6    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
1b3574f55dc2bb21   52 of 120   com/github/kittinunf/fuel/core/Headers
b67cb2e2cbbaa600   12 of  13   androidx/lifecycle/viewmodel/MutableCreationExtras
420cc8df56645d91    4 of  61   androidx/lifecycle/viewmodel/internal/ViewModelImpl
0627f306b74df34a    2 of   4   kotlinx/coroutines/scheduling/Task
b389eab307bd77a9   53 of 111   androidx/appcompat/view/SupportMenuInflater$MenuState
e1be7d7e0470719f   26 of  32   com/google/android/material/shape/ShapePath$PathArcOperation
de3b26c1a30d9ad8    1 of   4   androidx/core/text/HtmlCompat$Api24Impl
d44e31275dc5d99c    5 of   9   kotlin/collections/AbstractList$IteratorImpl
338f75dd17bb08db    1 of  27   kotlin/reflect/jvm/internal/KClassImpl$Data$supertypes$2
d302552554d99bca    3 of   3   androidx/activity/OnBackPressedDispatcher$addCallback$1
d2bbe45439f09e2a    1 of   4   androidx/core/view/ViewPropertyAnimatorListenerAdapter
0e516aeb9f066a84    7 of  10   androidx/lifecycle/LifecycleRegistry$Companion
b340133ccd4df40d    1 of   1   androidx/lifecycle/SavedStateHandleSupport$special$$inlined$Key$1
2b824669677f33a8   29 of  99   com/google/android/material/snackbar/SnackbarManager
c4f4b20051aef667    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
dece79f46109ff72   76 of 140   androidx/lifecycle/LifecycleRegistry
a428ae983e956d67    7 of  30   kotlin/jvm/internal/CallableReference
f7b375bc175cd415    3 of   9   androidx/activity/ComponentActivity$3
41e48fbe5c9f6383   11 of  56   kotlin/collections/SetsKt___SetsKt
ee9698e7a4c183f7    6 of  10   kotlinx/coroutines/ThreadLocalEventLoop
06303195799ebf71    7 of   9   kotlinx/coroutines/scheduling/CoroutineScheduler$WorkerState
692af2c2998b8332    2 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
23f27b3585b13c25    2 of  11   androidx/lifecycle/ViewModelProvider$NewInstanceFactory
166868c6073dc8c6    3 of   5   androidx/fragment/app/FragmentManager$2
ee219854969c31bf    2 of   3   androidx/lifecycle/viewmodel/CreationExtras$Empty
618b4ccc3885a494    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
f4e61682959ac6a7    5 of   8   androidx/lifecycle/ViewModelProvider$Factory
a929346305f461e2    3 of   6   kotlin/coroutines/intrinsics/CoroutineSingletons
e33cf84b79ca53e2    5 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
c5f1ed406cba8d6b    3 of  53   kotlin/text/CharsKt__CharKt
96d1527b194af484    9 of  29   de/salomax/currencies/viewmodel/main/MainViewModel$2
8e1388c71df8da4a    2 of   8   androidx/lifecycle/Transformations$sam$androidx_lifecycle_Observer$0
203aeebbd7c2582a    1 of   1   androidx/lifecycle/SavedStateHandleSupport$special$$inlined$Key$3
57209eae4379839c    3 of   3   com/google/android/material/progressindicator/DrawingDelegate
3970ce5fb19467d6    6 of   9   com/google/android/material/snackbar/BaseTransientBottomBar$8
224d020298aec18f   49 of 239   androidx/collection/ArraySet
8246fa33d8824187    2 of   5   kotlin/reflect/jvm/internal/CachesKt$CACHE_FOR_BASE_CLASSIFIERS$1
5c387b905c113ac9    1 of   9   kotlin/reflect/jvm/internal/KClassImpl$Data$typeParameters$2
ff2f3bad19123ce1    3 of   3   androidx/lifecycle/SavedStateHandleSupport$savedStateHandlesVM$1
be1287070aecb288    1 of   3   androidx/appcompat/app/WindowDecorActionBar$2
c99d7a5bff135da7    1 of  11   kotlinx/coroutines/MainCoroutineDispatcher
502a403a52a0ebc9    1 of  12   androidx/swiperefreshlayout/widget/SwipeRefreshLayout$1
178a54ba0ded3fa7    2 of 134   kotlin/collections/CollectionsKt__MutableCollectionsKt
bf42e9fb2fa9b06b    5 of  18   androidx/window/layout/adapter/sidecar/SidecarCompat$Companion
5e0226a177ad5672    3 of   5   com/github/kittinunf/fuel/core/DefaultHook
f29ae346c83a409b    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
76de7532fd56f73a   11 of  20   androidx/constraintlayout/core/widgets/ConstraintWidget$1
91e24d2cec592915    1 of   6   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton$1
8db12c2cb5c065d8  358 of 1652   androidx/constraintlayout/core/widgets/ConstraintWidget
b52e0ffe3e343563    3 of  10   androidx/activity/ComponentActivity$2
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
0c3706b71ac229cb   35 of 140   androidx/appcompat/widget/AppCompatButton
482b054e11f4fd1b    9 of 127   kotlin/jvm/internal/Intrinsics
7bc2d61959fe65ae    2 of   5   kotlin/reflect/jvm/internal/CachesKt$CACHE_FOR_GENERIC_CLASSIFIERS$1
656ed771b6f8c56a    3 of  35   kotlin/jvm/internal/PropertyReference
76fba8f974821b0e    8 of  31   androidx/appcompat/widget/AppCompatPopupWindow
747043976dad8bd2   37 of 231   com/github/kittinunf/fuel/core/requests/DefaultRequest
2cd4962217e98485    6 of   7   kotlinx/coroutines/internal/FastServiceLoaderKt
e1f6e446da979687  117 of 311   androidx/constraintlayout/core/ArrayRow
aa711b6d71d1816c    1 of   9   androidx/appcompat/app/ActionBar$LayoutParams
5abac3435530256a    1 of   1   androidx/lifecycle/ViewModelProvider$special$$inlined$Key$1
75792eeb30e612d2    3 of  53   androidx/core/os/BundleKt
919dcba9ff6c5cf0    7 of  34   de/salomax/currencies/viewmodel/main/MainViewModel$currentBaseValue$1
05248db56924281d    5 of  74   de/salomax/currencies/viewmodel/preference/PreferenceViewModel
9ed5522dba687f20    1 of   3   kotlinx/coroutines/channels/ProduceKt$awaitClose$4$1
1cdf2bda0aa17c15   12 of  68   com/google/android/material/resources/MaterialResources
27b37ff40ee31f16    2 of   3   androidx/appcompat/content/res/AppCompatResources
f7130dafc147da48    7 of  11   androidx/lifecycle/LifecycleCoroutineScopeImpl$register$1
c19bc23b82daa8ce   15 of  60   androidx/core/os/LocaleListCompat
8f256bcb68706d2b    1 of   8   androidx/window/layout/WindowMetricsCalculator
2be8882781bcb3cb    5 of  45   kotlinx/coroutines/UndispatchedCoroutine
e1f2a0dcbb88531c    3 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
69c94d974af00f14    5 of   8   kotlinx/coroutines/CoroutineContextKt$hasCopyableElements$1
35036491e229c200    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
fc259e7d2f7cf498    1 of   2   kotlinx/coroutines/StandaloneCoroutine
202e598447752f1e    6 of  13   com/github/kittinunf/fuel/core/FuelManager$socketFactory$2
1fa2e0afa77e29b0    1 of   1   androidx/dynamicanimation/animation/DynamicAnimation$MassState
a8265a8263c1a8a3    2 of   3   kotlin/Unit
5a5a43cebee8b6b0    1 of   7   com/google/android/material/snackbar/BaseTransientBottomBar$4
cead0785142034c5    1 of   2   androidx/fragment/app/FragmentManager$4
618f129b72efd036    4 of   6   kotlinx/coroutines/scheduling/TaskImpl
b78291bde6d1e13e    7 of   7   com/google/android/material/progressindicator/IndeterminateAnimatorDelegate
ddd8208912006683    7 of 137   androidx/core/view/WindowInsetsCompat$Impl20
288d69cb4e7a5eee   85 of 1703   kotlinx/coroutines/channels/BufferedChannel
