[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Breezy-Weather-_v5.2.8-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
d192cd176ba9500e   48 of  81   androidx/compose/ui/graphics/colorspace/ColorSpaces
474664588b9736da    2 of   4   androidx/compose/ui/text/SaversKt$LocaleSaver$1
a8f5e83cfcbfee0d    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
52f78c5da5659672   23 of  85   androidx/compose/ui/graphics/SimpleGraphicsLayerModifier
1ce3281c5b359a59    2 of   5   androidx/compose/runtime/SnapshotMutableIntStateImpl$IntStateStateRecord
44c4f7b3df4cddd5    1 of   4   androidx/compose/foundation/layout/PaddingKt$padding$4
9898a7371ee3093d    1 of   2   io/requery/android/database/sqlite/CloseGuard$DefaultReporter
6e75d601d918a797   91 of 196   androidx/compose/material3/ScaffoldKt
3ecea90b11180ba3    2 of  11   androidx/compose/ui/text/SaversKt$TextRangeSaver$2
26697c5ee80a8204    5 of   9   androidx/lifecycle/SavedStateHandleAttacher
bb0b8899553af8fe    4 of   4   androidx/compose/ui/layout/ComposableSingletons$SubcomposeLayoutKt
523c0fef14d0361f    2 of   2   androidx/compose/foundation/AbstractClickableNode$TraverseKey
63316b066cf18db8    7 of  56   androidx/compose/ui/text/font/PlatformTypefacesApi
d6ef9a79b103fb97    4 of  78   androidx/compose/ui/graphics/vector/VectorGroup
41723388b4c07fb9   12 of  15   androidx/fragment/app/FragmentManager$FragmentLifecycleCallbacks
85c21644da80954c    6 of   7   androidx/compose/ui/node/LayoutNode$UsageByParent
b0471afe2d762f68   10 of  71   androidx/compose/foundation/layout/RowColumnImplKt
a0d7fee22feac762    2 of   3   androidx/compose/ui/node/LayoutModifierNodeCoordinator$Companion
7d28a17293505db6   23 of  42   androidx/compose/runtime/internal/ComposableLambdaKt
4db21418095c7349    3 of  26   androidx/compose/runtime/collection/ScatterSetWrapper
371cbffb551935fc   61 of 182   androidx/compose/ui/node/LayoutNodeLayoutDelegate
c51151bddcf092c1    3 of  16   androidx/compose/animation/core/AnimationKt
c57475b31f4512c8    3 of   3   kotlinx/coroutines/ChildContinuation
42257cda54693a89   10 of  14   androidx/work/impl/utils/CancelWorkRunnable$3
a94eb161ad8d6eb1    2 of   6   kotlin/jvm/internal/FunctionReferenceImpl
e915d5badca206a8    1 of   3   androidx/compose/ui/platform/AndroidComposeViewAccessibilityDelegateCompat$onSendAccessibilityEvent$1
