[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Orgzly-Revived-_v1.8.27beta.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
0222c6b2640d4277   11 of  43   org/joda/time/field/DividedDateTimeField
d0cf11d2eac9faae    7 of   7   kotlinx/coroutines/internal/SystemPropsKt
57972f3aa49b5ea5    5 of   5   com/orgzly/android/prefs/IntegerPreference$parseAttrs$1
25cad9931e7defb6   29 of  95   androidx/appcompat/widget/AppCompatAutoCompleteTextView
2df85dbc98dc2f22    1 of  15   com/orgzly/android/db/dao/OrgRangeDao_Impl$2
32ca22431f673b59    4 of   5   androidx/work/impl/utils/futures/SettableFuture
ac060493aafbb2c6    2 of   3   com/orgzly/android/db/dao/NoteDao$Companion
3c2092397f4f455c    2 of  10   androidx/swiperefreshlayout/widget/SwipeRefreshLayout$SavedState
2d673da3addb391f    1 of   5   org/joda/time/DateTimeZone$LazyInit$1
ab8ea9346ed345e2    1 of   1   androidx/lifecycle/HasDefaultViewModelProviderFactory
85ba67c0fb681ec9    7 of   7   com/orgzly/android/ui/notes/query/search/SearchFragment$Companion
fdef7c77f9b6db85    9 of 145   kotlinx/coroutines/intrinsics/UndispatchedKt
ff84b55d7b1e8369    7 of   7   androidx/recyclerview/widget/DefaultItemAnimator$5
bf64fd00cbe440e5    1 of   4   com/orgzly/android/db/dao/DbRepoBookDao_Impl$3
13670c9ed5178b4a   18 of  38   androidx/work/impl/model/WorkTagDao_Impl
19c71321b83eae16    2 of   9   androidx/recyclerview/widget/RecyclerView$SavedState
1730337b296df7ef   20 of  71   androidx/core/content/res/TypedArrayUtils
a8977f42cbb475ba   28 of  94   androidx/swiperefreshlayout/widget/CircularProgressDrawable$Ring
231ab3730469f1a8   17 of  60   androidx/work/impl/model/WorkSpecDao_Impl$13
843693fc02557de0    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
0478a8fc32b28d57   14 of  15   androidx/work/impl/constraints/trackers/Trackers
6fa48354ed004df3    1 of   1   com/orgzly/android/query/user/InternalQueryParser
5e93141fdc4bdcdc    4 of  11   kotlin/coroutines/AbstractCoroutineContextKey
88169bb4614f6af5    5 of   7   androidx/core/content/pm/ShortcutInfoCompatSaver$NoopImpl
fc10357a4f938900    7 of   8   org/mozilla/universalchardet/prober/statemachine/CodingStateMachine
a6ebdb99bc0da994    2 of   3   com/orgzly/android/ui/views/richtext/RichTextView$Companion
f2ff776f2092bf64   19 of  35   androidx/preference/EditTextPreference
570acf85dfe8d2ab   71 of 127   androidx/localbroadcastmanager/content/LocalBroadcastManager
e9ab4ec2375be82a    8 of  26   kotlinx/coroutines/JobCancellationException
0d6239a542c2cea2    4 of   8   com/google/android/material/progressindicator/AnimatorDurationScaleProvider
a6e9dba88a644a90    3 of  19   kotlin/collections/CollectionsKt__MutableCollectionsJVMKt
