[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Droid-ify-_v0.7.6-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
8bf111f70d373663    2 of   2   okhttp3/internal/http2/Http2Connection$Listener$Companion
8fa00bd8cf74ba5f    2 of   2   kotlinx/coroutines/flow/FlowKt__ReduceKt$first$1
1487067747914432   28 of  43   kotlinx/coroutines/flow/internal/CombineKt$combineInternal$2
e73822da527806ce    4 of  19   kotlinx/coroutines/internal/MainDispatchersKt
15f6e605d928db8f    6 of   7   androidx/fragment/app/SpecialEffectsController$Operation$LifecycleImpact
362cb7cec000d0b4    8 of 119   com/google/android/material/drawable/DrawableUtils
4b286ca38d3e3be3    1 of   2   androidx/room/util/DBUtil__DBUtil_androidKt$performSuspending$1
618b4ccc3885a494    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
64c913e386f19083    9 of  11   com/looker/droidify/utility/common/extension/FlowKt
12fe8784cd664945    4 of   5   com/fasterxml/jackson/core/util/JsonRecyclerPools$ThreadLocalPool
e1c709ee9c9125e3    2 of   6   kotlinx/coroutines/internal/Concurrent_commonKt
d6deb322401d54ba   12 of  32   kotlinx/coroutines/flow/StartedWhileSubscribed
414f09936beb426c   20 of  27   androidx/coordinatorlayout/widget/ViewGroupUtils
9a6dfaf2d8b46974    3 of   3   kotlinx/coroutines/scheduling/NanoTimeSource
e33cf84b79ca53e2    6 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
794b696c13abd2ee    2 of  17   com/google/android/material/floatingactionbutton/ExtendedFloatingActionButton$ShowStrategy
4a98e1e51988e397   23 of  77   androidx/loader/content/AsyncTaskLoader
939c83091985e87c   10 of  49   androidx/emoji2/viewsintegration/EmojiTextWatcher
a940726f4f5c4503    1 of   3   androidx/appcompat/widget/ActionMenuView$ActionMenuPresenterCallback
671dfe9e8b5783a6    4 of   4   com/looker/droidify/database/Database$RepositoryAdapter$getAll$1$1
be69438d40e62c70    2 of   2   com/looker/droidify/data/PrivacyRepository$upsertRBLogs$1
b5b25aab3c28e245    3 of   4   kotlinx/coroutines/flow/DistinctFlowImpl
6006dd3e388494ca    2 of   7   kotlinx/coroutines/Unconfined
d393c69d21d9c5a0  136 of 382   kotlinx/coroutines/CancellableContinuationImpl
f5f0635ba8bfaf63    1 of   5   com/looker/droidify/model/ProductItem$Section$Repository$Creator
c2aa9bd4f0d658d0    1 of   2   com/looker/droidify/index/RepositoryUpdater$init$1$invokeSuspend$$inlined$map$1$2$1
928eb0519fc1fc64    3 of   3   androidx/datastore/core/State
b3912c84a0420e2d   11 of  66   com/fasterxml/jackson/core/StreamReadConstraints
4641e409c4e327d7   17 of  22   com/looker/droidify/network/OkHttpDownloader$copyTo$2
0341aa4ddec3e6b2    9 of   9   androidx/work/OverwritingInputMerger
552e70d1de4deacc    6 of   8   okhttp3/internal/connection/RouteSelector$Selection
864b2e698729ce8b    1 of   5   androidx/appcompat/widget/SearchView$2
aff45d334c126f56    1 of   3   kotlinx/coroutines/flow/StartedEagerly
8db12c2cb5c065d8  223 of 1652   androidx/constraintlayout/core/widgets/ConstraintWidget
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
8a7c85d92ed460f9    6 of   9   kotlin/jvm/internal/ArrayIterator
482b054e11f4fd1b   19 of 127   kotlin/jvm/internal/Intrinsics
697e4a2b49ed2b33    4 of   5   androidx/datastore/core/DataStoreImpl$data$1$invokeSuspend$$inlined$map$1
b475a0f8997e4c7f   41 of 154   okhttp3/internal/url/_UrlKt
327a76f3745e8159    5 of  16   okhttp3/internal/platform/android/AndroidSocketAdapter$Companion
028eb6a418e3cd47   42 of  68   com/google/android/material/appbar/HeaderScrollingViewBehavior
8a56fad03d431c4b    4 of   4   okhttp3/internal/http2/FlowControlListener$None
7a18dd562049a697    3 of   3   androidx/work/impl/model/RawWorkInfoDao_Impl$Companion
067787285590155f   37 of  73   androidx/sqlite/driver/SupportSQLiteStatement$Companion
fd61e74fdf16d4ad   16 of  20   androidx/work/impl/WorkerWrapper$Builder
33be0b39c01d190c   17 of  80   com/looker/droidify/utility/common/extension/ContextKt
cd8e2aded87e5eb6   12 of  22   com/looker/droidify/model/Repository$Companion
517fed9a9e454338    3 of  12   kotlinx/coroutines/flow/SharedFlowSlot
911155f3d7f23288   14 of  27   okhttp3/internal/http1/Http1ExchangeCodec$AbstractSource
b6d22534893c5b43   17 of  57   androidx/datastore/preferences/core/PreferenceDataStoreFactory
8abe5bf308a5d871   13 of  39   kotlin/sequences/SequenceBuilderIterator
40772be6b237c83c   44 of 126   androidx/work/impl/utils/ForceStopRunnable
221098f246344d4c  188 of 760   com/google/android/material/button/MaterialButton
efdd25a140e45b02    4 of  15   com/looker/droidify/model/Product$Donate$OpenCollective
e91c84c1615dad1b    2 of   5   com/looker/droidify/installer/InstallManager$special$$inlined$get$2
1c31d3b8a64eb859    6 of   7   com/looker/droidify/ui/appList/AppListViewModel$state$1
0777489898612611    8 of  49   com/fasterxml/jackson/core/json/JsonGeneratorImpl
cfa78d22f4c887ed   12 of  18   androidx/room/coroutines/RunBlockingUninterruptible_androidKt$runBlockingUninterruptible$1$1
3858c61db80ba7ef    4 of   4   androidx/sqlite/db/SupportSQLiteCompat$Api21Impl
aa711b6d71d1816c    1 of   9   androidx/appcompat/app/ActionBar$LayoutParams
566dedc30819a216    2 of  10   androidx/core/os/ConfigurationCompat
09636526383135d6  113 of 465   androidx/fragment/app/FragmentStateManager
d4b760ab08ce8d70    1 of   3   kotlinx/coroutines/flow/StartedLazily
f30e6af10746ff1a    4 of   5   com/looker/droidify/ui/tabsFragment/TabsViewModel$special$$inlined$get$2
4e8a3dbfe70d059b    6 of  23   okhttp3/internal/http/DateFormattingKt
61b576785065360d    4 of   7   com/looker/droidify/datastore/model/InstallerType$Companion
7627f9f3d8a206de    2 of  18   kotlin/internal/PlatformImplementations
a1b4e35a116ec22f    3 of  13   androidx/emoji2/viewsintegration/EmojiKeyListener
ea642db9f3e7558a    6 of  84   androidx/fragment/app/FragmentViewModelLazyKt
2627f69ad77bd675    7 of  29   androidx/recyclerview/widget/RecyclerView$AdapterDataObservable
88e17eeab85e4fe1    1 of   2   androidx/recyclerview/widget/RecyclerView$StretchEdgeEffectFactory
8d6784b25699def9    3 of   4   androidx/fragment/app/FragmentLifecycleCallbacksDispatcher$FragmentLifecycleCallbacksHolder
f692665431bcc0cd    1 of   2   com/looker/droidify/ui/favourites/FavouritesViewModel_HiltModules_KeyModule_Provide_LazyMapKey
0fd2fd0106283543    5 of   7   androidx/work/InputMergerKt
514d2bc6a6573d65   46 of 522   com/fasterxml/jackson/core/base/ParserBase
265bcedf8fc836f7    1 of   4   okio/Timeout$Companion$NONE$1
7edf471b24a2dcdb    4 of  17   androidx/work/impl/constraints/NetworkRequestConstraintController
9a402fc3500d5430   69 of 183   kotlinx/coroutines/sync/SemaphoreAndMutexImpl
b636a817436f4cf0   27 of 108   okhttp3/internal/cache/CacheInterceptor
bb916d1f56be418f    4 of  18   dagger/hilt/android/EntryPointAccessors
581a7a77872e2481    2 of  10   com/fasterxml/jackson/core/util/JsonRecyclerPools
19b0c8b7aaacda62    5 of   7   kotlin/sequences/TransformingSequence
e65e79a0f79459a0   16 of  26   kotlin/sequences/FilteringSequence$iterator$1
81059459ef5a2bcd    2 of   2   androidx/work/impl/model/WorkSpecKt
fa6b954937772999    2 of  15   androidx/appcompat/view/menu/ActionMenuItemView$ActionMenuItemForwardingListener
df971add4e637af9    6 of  90   androidx/lifecycle/Lifecycling
74d94e450af371bd    4 of   5   kotlinx/coroutines/flow/FlowKt__ReduceKt$first$$inlined$collectWhile$1
4a6f8f7cef0c8bcd   52 of 128   androidx/dynamicanimation/animation/DynamicAnimation
