[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Vanilla-Music-_1.3.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
995a2f2c10e34765    4 of  25   androidx/emoji2/text/EmojiCompat$CompatInternal19
b6b94c1d4e1b784e    1 of   2   ch/blinkenlights/android/vanilla/SlidingView$GestureListener
335560da12145769    1 of   2   ch/blinkenlights/android/vanilla/R$styleable
6a5df192f8801fbc    1 of   4   androidx/lifecycle/ProcessLifecycleOwner$2
cb2db4893251e601    1 of   3   androidx/viewpager/widget/ViewPager$3
7733729d0a857cdf    5 of  43   ch/blinkenlights/android/vanilla/PermissionRequestActivity
bf044a46baf80c4f   14 of 106   android/support/v4/media/session/PlaybackStateCompat
14980ba6e39d4754    1 of   3   androidx/viewpager/widget/ViewPager$1
53ba9f15cef83fa0    1 of   3   android/support/v4/media/session/PlaybackStateCompat$Api22Impl
b2ee227991381157    3 of   3   androidx/lifecycle/ProcessLifecycleOwner$3$1
3ffd3546df853ac4    2 of  38   androidx/core/view/ViewCompat$AccessibilityPaneVisibilityManager
1ace9f50706d6208   13 of  40   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigFactory
6f6325cccaf4f9a7    5 of   7   ch/blinkenlights/android/vanilla/NotificationHelper

