[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Cofi-_v1.21.5-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
f324f6ca3b63be6b    4 of   6   androidx/compose/ui/geometry/Size$Companion
808b4a569c7bb641    6 of  59   androidx/core/app/ComponentActivity
9b1cfe367c43b980    8 of   8   com/google/android/gms/common/internal/service/zao
73fc166e1cdf59a1    1 of   5   kotlin/TuplesKt
064a7f22fe2c67a9    1 of  12   androidx/core/view/WindowInsetsControllerCompat$Impl
513975496b724ff3   39 of  45   androidx/compose/material3/AppBarKt$TwoRowsTopAppBar$actionsRow$1
f00c612fd7bf066b    3 of   4   androidx/compose/ui/text/style/TextMotion$Companion
916d1a6f7e3b75c1    2 of  12   androidx/compose/runtime/ComposableSingletons$CompositionKt$lambda-2$1
550e9bd093f1ddd0    1 of   6   androidx/compose/ui/text/caches/ContainerHelpersKt
504eae027cca6384    4 of   4   androidx/compose/ui/platform/RenderNodeLayer$Companion$getMatrix$1
0b5608634a4a487a    1 of   5   kotlinx/coroutines/internal/Symbol
0239064f0cb889c8    6 of   7   androidx/compose/ui/node/NodeCoordinator$drawBlock$1
946a3a1e714a9e38    4 of   4   androidx/compose/runtime/livedata/LiveDataAdapterKt$observeAsState$1$1$invoke$$inlined$onDispose$1
8f12de1fa6863683   11 of  40   com/kieronquinn/monetcompat/core/MonetCompat$Companion
1c8fbc4148470983    4 of  24   androidx/navigation/compose/DialogNavigator
d258e034ec8d5fea    2 of   3   com/google/android/gms/internal/wearable/zzai
7f07511fed9aa28e   10 of  14   kotlinx/coroutines/scheduling/TasksKt
f97bccbe97bbc371   10 of  16   androidx/compose/foundation/lazy/grid/LazyGridMeasuredItemProvider
64ca5aa35a11456b    7 of   7   androidx/compose/foundation/lazy/layout/LazyLayoutNearestRangeState$Companion
6a44c7803d9a9144    2 of   3   androidx/compose/ui/graphics/colorspace/Adaptation$Companion$Bradford$1
0eb047c7a1a9c9c4    1 of   4   kotlinx/coroutines/CancellableContinuationImplKt
c42214f5963b87f1   17 of  21   androidx/compose/animation/SplineBasedFloatDecayAnimationSpec_androidKt
82ec071369752d95  130 of 184   androidx/compose/material3/tokens/PaletteTokens
baafee29da642ffd   10 of  39   androidx/compose/ui/text/font/TypefaceRequest
1b069f3ae60ba317    5 of   9   androidx/navigation/NavArgument$Builder
36ddbfbec8b0a0ff    8 of  12   androidx/compose/foundation/lazy/layout/LazySaveableStateHolderKt$LazySaveableStateHolderProvider$1
8750b9a0bb83445d    2 of   5   androidx/compose/ui/platform/ViewLayer$Companion$getMatrix$1
