[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/SkyTube-_v2.999-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
6df83397e640a349    2 of  10   shark/AndroidReferenceMatchers$IMM_CURRENT_INPUT_CONNECTION$add$1
ada0a9397e1f0d23   11 of  88   okhttp3/OkHttpClient$Builder
096cfa8a1f7c8465    2 of  29   androidx/collection/MapCollections$KeySet
de65423424571aa9    1 of   9   com/google/android/gms/internal/cast/zzpt
4de20e8345dd7d85    3 of  26   kotlin/collections/CollectionsKt__IterablesKt
1476fb7f159aec29    8 of  23   com/google/android/gms/common/internal/GmsClientSupervisor
5d045ba1d1d412e8    4 of  14   com/bumptech/glide/load/engine/DecodeJob$DeferredEncodeManager
20c2e65632b38f86    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/az
3707ffcd01c3affc   16 of  25   androidx/savedstate/SavedStateRegistryController
a85c2bfa2eee7918    2 of   2   com/bumptech/glide/GeneratedRequestManagerFactory
38601db6d9e5b352    1 of   2   io/reactivex/rxjava3/android/schedulers/AndroidSchedulers$MainHolder
b56bfcccb0026b7c    5 of  53   androidx/activity/FullyDrawnReporter
1245cd9c0c07f449    1 of   4   androidx/appcompat/widget/ActionMenuPresenter$ActionMenuPopupCallback
73e85755a8694898    6 of  28   androidx/viewpager/widget/PagerAdapter
883ef0967e211d93    4 of   4   com/bumptech/glide/load/resource/bytes/ByteBufferRewinder
3a5a01100f79ff5c    3 of   4   androidx/constraintlayout/core/widgets/ConstraintAnchor$Type
a138c78e316e8eb3    2 of   2   shark/ReferencePattern$Companion
5d9f828be43c22a1    8 of  21   com/google/android/gms/internal/common/zzb
320a51f4b07c2684   33 of  87   okhttp3/Address
75a478325a96c440    1 of   3   androidx/arch/core/internal/SafeIterableMap$AscendingIterator
a1e56ff75fce2f85    3 of   3   androidx/lifecycle/ReflectiveGenericLifecycleObserver
fe6778126b6c8c24    1 of  77   com/google/android/gms/cast/framework/media/zzab
