[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Diary-_v1.105-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
5ccb8d86f04b02a1    9 of  16   org/commonmark/internal/Delimiter
b246689efc690d19    1 of   1   org/commonmark/internal/inline/UnderscoreDelimiterProcessor
a7fb4748412a9335    2 of   6   org/commonmark/node/StrongEmphasis
bbde6d5f25183d34    4 of   8   org/commonmark/node/Link
18cca8d328f5c045   22 of  28   org/commonmark/renderer/html/HtmlRenderer
9bfafbccc3c4a043    2 of  51   org/billthefarmer/diary/Diary$GestureListener
72f83ed4d8377aa8  241 of 373   org/commonmark/internal/InlineParserImpl
f9808f3784c233c1    9 of  25   org/commonmark/node/SourceSpans
bdfef4a06b6adc82    1 of   1   org/commonmark/internal/inline/AsteriskDelimiterProcessor
33a836550d95abd0   36 of 101   android/support/v4/content/FileProvider
6f8e60a4af91e303    1 of   1   org/commonmark/parser/block/AbstractBlockParserFactory
a19db4118381c3b6    2 of  11   org/commonmark/internal/inline/BackslashInlineParser
2d74d8226237e4a1   14 of  35   org/commonmark/internal/inline/EntityInlineParser
a6f4d96ceecfa095    4 of   5   org/commonmark/ext/gfm/tables/TablesExtension
d51014d820f265f8    7 of   8   org/commonmark/internal/BlockStartImpl
929b312cbe64fc17    9 of  11   org/commonmark/node/Nodes$NodeIterator
b8379f91b43a565a    9 of 112   org/commonmark/internal/inline/HtmlInlineParser
9abd6be0f700f49a    3 of  20   org/commonmark/ext/task/list/items/internal/TaskListItemHtmlNodeRenderer
0c3eee2e0d882053    2 of   2   org/commonmark/ext/sub/SubExtension$1
9dec14b829ea3772    4 of   5   org/commonmark/ext/sup/SupExtension
3e95f9682a0c6b3f  267 of 1290   org/billthefarmer/diary/Diary
5e572964126a5197    1 of   5   org/commonmark/internal/util/Escaping$1
d9d748fcc1e13305    1 of   1   org/commonmark/internal/ListBlockParser$ListData
53e7885925c89ca4    2 of   2   org/commonmark/ext/sup/internal/SupNodeRenderer
f73da69696fb0283    4 of   6   org/commonmark/parser/IncludeSourceSpans
dd1682d65d47b554    3 of  12   org/commonmark/ext/sub/internal/SubHtmlNodeRenderer
57004099826eaf21    5 of   7   org/commonmark/internal/IndentedCodeBlockParser$Factory
b33ef77f44ab0232   89 of 130   org/commonmark/renderer/html/CoreHtmlNodeRenderer
42d29c920dd4da4d    5 of  19   org/commonmark/ext/gfm/tables/internal/TableBlockParser$Factory
0fbd24ca3461fecc    3 of  19   org/commonmark/ext/ins/internal/InsDelimiterProcessor
9d3e5afa56e9a2f7    3 of   3   org/commonmark/node/Nodes$NodeIterable
68f7ecd9f5954960    8 of   8   org/commonmark/ext/autolink/internal/AutolinkPostProcessor$AutolinkVisitor
82aa7ab2de7e84bb    2 of   2   org/commonmark/ext/sub/internal/SubNodeRenderer
7cf8a79a489f671f    2 of   2   org/commonmark/ext/heading/anchor/HeadingAnchorExtension$1
a046aa207f037e86   24 of  28   org/commonmark/renderer/html/HtmlRenderer$RendererContext
a87e0c42b80c15d4   26 of  56   org/billthefarmer/markdown/MarkdownView
c21df254ba5233ff   12 of  53   org/billthefarmer/diary/JacocoInstrument/JacocoInstrumentation
c1966fe5087084e4    6 of  21   org/commonmark/internal/BlockQuoteParser
9aa9c978ad855bbe    2 of   2   org/commonmark/ext/ins/InsExtension$1
40d1631cd8bf7f98    3 of   3   org/commonmark/internal/inline/ParsedInlineImpl
4a77a798bf24bf20    6 of   6   org/commonmark/internal/util/AsciiMatcher
3530def900caa8ef    2 of   3   org/commonmark/internal/InlineParserContextImpl
9dbd642d022db351   24 of  44   org/commonmark/node/Node
ee11175dd76f74d6   17 of  21   org/commonmark/internal/ParagraphParser
865dad1d909f9d29    2 of   2   org/nibor/autolink/LinkExtractor$2
dfa0274f60c3fddb    4 of   4   org/commonmark/ext/task/list/items/TaskListItemsExtension
3f78ec32d96b29d9    4 of   5   org/commonmark/ext/ins/InsExtension
6e050c32f370e6bd    2 of   2   org/commonmark/node/Document
4a8f7c2e01ad4cf6   16 of  29   org/commonmark/internal/ThematicBreakParser
b2f852d486e8d83f    6 of  55   org/commonmark/ext/front/matter/internal/YamlFrontMatterBlockParser
40c43e79fc665126   30 of  54   org/commonmark/internal/HeadingParser
d8b083e3747aead4    2 of   2   org/commonmark/node/SoftLineBreak
a7f54daf2fa63003    8 of  18   org/commonmark/ext/task/list/items/internal/TaskListItemPostProcessor$TaskListItemVisitor

