[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/FirefoxLite-2.1.20-_5085-rebuilt_/coverage.ec.
9b08a1281c79fc8c    2 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvideDefaultBrowserRepositoryFactory
f35d247388a1af59    4 of  68   org/mozilla/rocket/preference/PreferencesContentProvider
e23dee9c9f92a5e5    6 of   9   org/mozilla/focus/provider/DownloadInfoDbHelper
27643ded81e19bbe    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideSetShoppingSearchOnboardingIsShownUseCaseFactory
dded9a2c7c99fb83    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideLoadNewsSettingsUseCaseFactory
a3fafa12a2eaf5d9    2 of  13   org/mozilla/rocket/content/travel/di/TravelModule_ProvideTravelCitySearchViewModelFactory
3554b85c73d0b204    2 of   8   org/mozilla/rocket/content/game/di/GameModule_ProvideGameLocalDataSourceFactory
e69b34647ad76ef6    2 of  17   org/mozilla/rocket/content/news/di/NewsModule_ProvideNewsSettingsViewModelFactory
c363d275dc181be6    8 of  42   org/mozilla/focus/utils/IOUtils
7e1d75ca59fc16c2    3 of   8   org/mozilla/rocket/content/ecommerce/di/ShoppingModule_ProvideShoppingRemoteDataSourceFactory
c189f887eea4c743   36 of  73   org/mozilla/focus/search/SearchEngineManager
b42a16c66ed01ed0    2 of   6   org/mozilla/focus/history/BrowsingHistoryManager$BrowsingHistoryContentObserver
f1ec8201dd512651    2 of  10   org/mozilla/rocket/content/news/di/NewsModule_ProvideShouldShowNewsLanguageSettingPageUseCaseFactory
d9c07510e13b4505    6 of 146   org/mozilla/focus/download/DownloadInfoManager
ddc2d1ee8e71b4b2    2 of  10   org/mozilla/rocket/content/news/di/NewsModule_ProvideNewsDataSourceFactoryFactory
9b100f9cdc387a47    9 of  45   org/mozilla/focus/locale/Locales
eb7c8d26ee557cfc    2 of  10   org/mozilla/rocket/content/news/di/NewsModule_ProvideNewsLanguageSettingViewModelFactory
c90a926e03c7c450    2 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvideLocaleDataSourceFactory
659e71118e45303f    2 of  10   org/mozilla/rocket/home/di/HomeModule_ProvideGetLogoManNotificationUseCaseFactory
5a296a982993f1d7    2 of   8   org/mozilla/rocket/content/ecommerce/di/ShoppingModule_ProvideGetCouponsUseCaseFactory
927d0324110d8ca2    2 of   8   org/mozilla/rocket/content/ecommerce/di/ShoppingModule_ProvideGetDealsUseCaseFactory
e8c5eb9bf3fee9a1    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideIsNewUserUseCaseFactory
2e23934127088b68    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideTravelOnboardingRepositoryFactory
fdb709323d0b4282    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideTopSitesRepoFactory
f0672b647d54535b    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideGetTopSitesUseCaseFactory
c1ce0a11515c0f8c   10 of  13   org/mozilla/rocket/persistance/History/HistoryDatabase
e03369cd7dfb250a   25 of  26   org/mozilla/focus/utils/Browsers$KnownBrowser
d09bc460b8294dc1    2 of   8   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideFetchKeywordSuggestionUseCaseFactory
d98f51b78bd366f3    6 of   6   org/mozilla/focus/telemetry/TelemetryWrapper$isTelemetryEnabled$2
d7e4902c7e54b687    9 of  38   org/mozilla/focus/history/BrowsingHistoryManager
2f8f4c67242082d5    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvidePinSiteManagerFactory
75e8f6727d147593    2 of  10   org/mozilla/rocket/content/travel/di/TravelModule_ProvideShouldShowChangeTravelSearchSettingUseCaseFactory
fe30605e05a43ad7    1 of   3   org/mozilla/focus/telemetry/TelemetryWrapper$createDefaultSearchProvider$1
5569b9bf9a45ddb1    2 of  12   org/mozilla/rocket/msrp/di/MissionModule_ProvideMissionViewModelFactory
10b634e5882a395f    2 of   2   org/mozilla/focus/telemetry/TelemetryWrapper$ThemeToyMeasurement$Companion
281b84c3f0c4493b    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideShouldEnablePersonalizedNewsUseCaseFactory
c52c118eb3b0663a    5 of   5   org/mozilla/focus/telemetry/TelemetryWrapper$init$1
fee55a35d4cb6f32    3 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideMissionRemoteDataSourceFactory
cf584d81ee033df0    2 of   8   org/mozilla/rocket/content/ecommerce/di/ShoppingModule_ProvideVoucherViewModelFactory
67b863f7ecd459b1    6 of  10   org/mozilla/rocket/partner/PartnerActivator$1
83b78dcdbb771c3e    2 of   8   org/mozilla/rocket/content/game/di/GameModule_ProvideBitmapFromImageLinkUseCaseFactory
496b1bfa61adc40a    1 of   2   org/mozilla/focus/provider/ScreenshotContract
bcb3eb4c25f9dd31    1 of  25   org/mozilla/focus/widget/DataSavingPathPreference
ffa36012e86998e5    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideTravelExploreViewModelFactory
d479cd97cfd7a507    2 of  14   org/mozilla/rocket/content/news/di/NewsModule_ProvideNewsPageStateViewModelFactory
875eca1535e5f3ee    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideRequestContentHubClickOnboardingUseCaseFactory
1c1648aed48bbd72    2 of   8   org/mozilla/rocket/di/AppModule_ProvideSettingsFactory
5e42f956749134c4    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideGetMissionsUseCaseFactory
67c734446d2e89ee    2 of  10   org/mozilla/rocket/chrome/di/ChromeModule_ProvideQuickSearchRepositoryFactory
3aacef3e9d256ff4    1 of   2   org/mozilla/focus/provider/ScreenshotContract$Screenshot
000e931e2203bc55    2 of  10   org/mozilla/rocket/msrp/di/MissionModule_ProvideGetCouponUseCaseFactory
ae8278b70693ebee    2 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvideBookmarkViewModelFactory
2ebd43cc25232d1e    2 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvideDefaultBrowserPreferenceViewModelFactory
02edc330b2d63c46    2 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvideBrowsersFactory
27b44626339a8f47    7 of  33   org/mozilla/rocket/theme/ThemeManager
0699505315904e0b    2 of  16   org/mozilla/focus/telemetry/TelemetryWrapper$updateFirebaseUserPropertiesAsync$1
dc2feefa68396bbd    8 of  89   org/mozilla/focus/screenshot/ScreenshotManager
aac4a67a6b5a6cb6    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideHasUnreadMissionsUseCaseFactory
db944be93b82fca8    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideIsNeedJoinMissionOnboardingUseCaseFactory
e53deeaf977cb9b7   39 of  83   org/mozilla/focus/FocusApplication
55f344883f0aff2c    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideCompleteJoinMissionOnboardingUseCaseFactory
8a4696fbe5e13602    1 of   6   org/mozilla/focus/FocusApplication$engineSettings$2
aeb840ee37303639    2 of   8   org/mozilla/rocket/content/game/di/GameModule_ProvideGetMyGameListUseCaseFactory
8135176c7c8061b9    2 of  10   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideShoppingSearchRepositoryFactory
c6839a93e1001673    2 of  10   org/mozilla/rocket/content/news/di/NewsModule_ProvideShouldUserEnabledPersonalizedNewsUseCaseFactory
c6e59d77f33369c5    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideShouldShowOnboardingUseCaseFactory
