[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Binary-Eye-_1.63.12-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
ba9ef655f5478e51    1 of  18   android/support/v4/util/ArrayMap
29f2a1455142702a   44 of 224   android/support/v4/util/SimpleArrayMap
7fa25f466cc125fa    1 of   6   android/support/v4/view/ViewCompatKitKat
d24429d0c5c0998b   30 of  62   android/support/v7/view/menu/BaseMenuPresenter
5df44510f12bf02f    1 of   3   android/support/v4/view/LayoutInflaterCompat$LayoutInflaterCompatImplBase
e6a2e2cb56de2156    2 of  15   android/support/v4/os/BuildCompat
644cdcc4fc42c729    2 of   7   android/support/v7/app/AppCompatDelegateImplV11
c51cf16ecc71e9e0    2 of   3   android/support/v4/view/animation/FastOutSlowInInterpolator
2ab82ebce04681a7   14 of  32   android/support/v7/widget/AppCompatImageHelper
af725c5e9a7fa8b6    4 of  31   android/support/design/widget/CoordinatorLayout$Behavior
349b2cff3c4435c8   24 of  52   android/support/v7/app/AppCompatDelegateImplBase
948a8fdf36aa1815    1 of  20   de/markusfisch/android/binaryeye/view/SystemBarsKt$systemBarListViewScrollListener$1
510955755212a180    1 of   4   android/support/design/widget/ValueAnimatorCompat$AnimatorListenerAdapter
688368fa00a7c72e   27 of  66   android/support/v7/view/SupportMenuInflater
59053c7088b3c634    1 of   2   android/support/design/widget/FloatingActionButtonGingerbread$ElevateToTranslationZAnimation
ad0f4f41af8ede33    2 of   2   android/support/design/widget/CoordinatorLayout$1
3d10c60c75c68b22    6 of   8   android/support/v4/util/Pools$SynchronizedPool
2868072850685ed2   60 of 303   android/support/v7/widget/AppCompatDrawableManager
c1c0bad56100cdee    3 of   9   android/support/v4/view/MarginLayoutParamsCompat$MarginLayoutParamsCompatImplJbMr1
9400ce8c9c32d542    4 of   4   android/support/v4/content/res/ConfigurationHelper$HoneycombMr2Impl
24d03e8937cdca69    4 of  56   android/support/v4/view/ViewCompatHC

