[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/LibreTorrent-_3.5.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
dd88ed6889d3dfcf    1 of   1   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion$APPLICATION_KEY$1
ffcb5cd392e1f7f8   39 of 113   androidx/coordinatorlayout/widget/CoordinatorLayout$LayoutParams
15d86f825e752078    1 of   3   androidx/work/impl/AutoMigration_19_20
6000fa92b015aa9a    1 of   6   com/leinardi/android/speeddial/FabWithLabelView$2
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
e125562e53de55bf    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$4
860d1968a08f6b4f    6 of  44   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions
b84cdfcf629f6683    3 of  27   org/libtorrent4j/swig/incoming_connection_alert
01808ac0cc6032ad    1 of   2   org/proninyaroslav/libretorrent/core/storage/DatabaseMigration$4
a8f5e83cfcbfee0d    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
e58de039a17b5755    1 of   1   androidx/fragment/app/FragmentManagerImpl
416afcab286d89e3    1 of   5   com/leinardi/android/speeddial/SpeedDialView$InstanceState$1
97789d5f9aeff50c   10 of  31   androidx/appcompat/widget/SearchView$UpdatableTouchDelegate
9d0f6788f454af40    3 of  24   org/libtorrent4j/swig/peer_ban_alert
acd398bb0d120e3f    1 of   6   androidx/appcompat/app/ToolbarActionBar$ActionMenuPresenterCallback
26697c5ee80a8204    5 of   9   androidx/lifecycle/SavedStateHandleAttacher
07c506f5ac29b601   20 of  44   androidx/lifecycle/ProcessLifecycleOwner
d34332dbd9fadd7d    1 of   2   org/proninyaroslav/libretorrent/core/storage/dao/TorrentDao_Impl$6
f1c1fc0338d77fb2    7 of   7   androidx/sqlite/db/framework/FrameworkSQLiteDatabase$query$cursorFactory$1
e604f61ef8f3b6e5   17 of 116   androidx/fragment/app/FragmentTransaction
c4006747935bf43f    2 of  11   kotlin/LazyKt__LazyJVMKt
066028cc3e0eb7ff    1 of   2   com/leinardi/android/speeddial/SpeedDialView$4
26fd948ea0002963    3 of  26   org/libtorrent4j/swig/unwanted_block_alert
5e5f703bf306ad0b    2 of  13   androidx/recyclerview/widget/RecyclerView$4
f3c364d76b790d5d   10 of  24   androidx/room/RxRoom
58569f579e4de46f    1 of   2   io/reactivex/internal/operators/observable/AbstractObservableWithUpstream
3d47559c1a76fc5a    1 of  16   org/acra/file/CrashReportFileNameParser
97de6f7d5571872b    2 of  53   kotlin/text/CharsKt__CharJVMKt
eabe89640a447574    1 of   7   androidx/recyclerview/selection/ViewAutoScroller$RuntimeHost
a94eb161ad8d6eb1    2 of   6   kotlin/jvm/internal/FunctionReferenceImpl
37286d17d2f75e5c    1 of   6   androidx/work/impl/AutoMigration_14_15
8fe4d040873270f4    3 of  34   io/reactivex/internal/schedulers/ExecutorScheduler
8977cd2d8000bdca   23 of  45   org/proninyaroslav/libretorrent/ui/main/drawer/DrawerExpandableAdapter
466767be123ccabb    2 of   2   org/libtorrent4j/alerts/Alerts$86
a89db409a2fc4b79  109 of 112   org/libtorrent4j/alerts/Alerts
2378cd71b00f0021   65 of  75   org/libtorrent4j/swig/settings_pack$bool_types
c6cc0200423e6cd2    3 of   6   org/acra/collector/Collector$Order
f87b0e08a6a5ebf3    2 of  81   kotlin/comparisons/ComparisonsKt__ComparisonsKt
6624b1fa6af3b4b7    2 of  55   androidx/drawerlayout/widget/DrawerLayout$AccessibilityDelegate
754ea75c156db527   21 of 318   io/reactivex/Single
abe50e6cd8aa338e   29 of  84   androidx/cardview/widget/CardView
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
315c729e6bbf4103    1 of  28   org/libtorrent4j/swig/remove_flags_t
e8993f9a9aabd3e7    4 of   7   io/reactivex/internal/operators/flowable/FlowableToListSingle
880256131e495dc0    3 of  25   org/libtorrent4j/swig/trackerid_alert
53d04dffce4f2763    9 of  17   io/reactivex/internal/operators/single/SingleObserveOn$ObserveOnSingleObserver
a8c0b07578181b31    4 of  23   androidx/work/impl/constraints/trackers/NetworkStateTracker24
0e10b352c905f131    2 of   2   io/reactivex/internal/operators/flowable/FlowableFlatMapSingle
