[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/CPU-Info-_android6.6.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
2b017aafed1b3ea2   32 of  38   androidx/compose/animation/AnimatedContentKt$AnimatedContent$6$1$5
ffc1fce46896c9aa    2 of   2   com/kgurgul/cpuinfo/shared/Res$string
36233e9d27ad2d0a   21 of 163   androidx/profileinstaller/DeviceProfileWriter
2aa2f37f5096eb56    3 of  50   kotlin/time/LongSaturatedMathKt
48194a187e0a9e2b    4 of   5   kotlinx/coroutines/channels/Channel$Factory
af2d4ff8c64844ba    2 of  67   kotlinx/coroutines/channels/ChannelsKt__Channels_commonKt
39a5c64e5d454083   13 of  34   kotlinx/coroutines/internal/LockFreeTaskQueue
79adcf9e31d6e5c8   10 of  38   androidx/compose/ui/graphics/colorspace/ColorSpace
929be1e803c1b283    6 of  29   androidx/compose/ui/FrameRateCategory
365b45e2d77806f2    2 of   2   kotlinx/coroutines/BlockingEventLoop
92a968151f7087ff    2 of   2   androidx/compose/ui/layout/AlignmentLine$Companion
1e4c1eb1000962c1   28 of  38   androidx/compose/material3/ShapeDefaults
1f311f32a7ada59b   18 of  55   androidx/compose/foundation/lazy/layout/LazyLayoutPinnableItem
6fca98b1ab6e1e22   35 of 142   androidx/compose/foundation/gestures/ScrollableNode
863478a8e7851b22    1 of   5   androidx/compose/foundation/lazy/layout/TraversablePrefetchStateNode
472af8da759e0850    1 of   2   androidx/datastore/core/DataStoreImpl$readDataOrHandleCorruption$1
920cf7cb1f5158a9    5 of   8   com/kgurgul/cpuinfo/ui/HelpersKt$WhenMappings
0efbee07c45766ea    4 of 420   androidx/collection/FloatSet
880a1aac1a2e8acd    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalPointerIconService$1
32d2de18862f68a3   40 of  46   androidx/compose/material3/ScaffoldKt$ScaffoldLayout$fabContent$1$1
e617de9f061a9cd4   28 of  79   androidx/compose/foundation/layout/ColumnKt
3397f13b31e9b10c    3 of  16   org/koin/core/registry/PropertyRegistry
