[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AlarmClock-_3.15.04-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
ab2d304f19080ac8    5 of   5   kotlin/sequences/GeneratorSequence
29c9613e994e011d    2 of  14   org/acra/collector/ThreadCollector
36fa1cbbd809caec    1 of   5   androidx/core/widget/ImageViewCompat$Api21Impl
3e4d9bf896815391    1 of   5   kotlinx/coroutines/flow/internal/DownstreamExceptionContext
faff65cdd780c003    2 of   4   kotlin/jvm/internal/ByteCompanionObject
d91f9d2d396f8def   40 of 136   kotlinx/coroutines/internal/ThreadSafeHeap
92cc74b050e07e2e    3 of   3   kotlinx/serialization/protobuf/internal/RepeatedEncoder
a0de2ceff25b86dc    7 of  11   ch/qos/logback/classic/pattern/EnsureExceptionHandling
5befc2b68cc38523    2 of  23   kotlin/enums/EnumEntriesList
49e941fb8b60c3cb   14 of  27   com/melnykov/fab/AbsListViewScrollDetector
f622755583ae0062    7 of  20   androidx/core/view/ViewCompat$Api16Impl
cd900286d477a3dd    1 of   2   androidx/datastore/core/SingleProcessDataStore$writeData$1
8663126e1590d920    8 of  20   kotlin/text/Charsets
fad1720a97579f31    1 of   1   kotlinx/coroutines/EventLoopImplBase$DelayedTaskQueue
5e7311534b9dcc03    2 of   3   com/better/alarm/model/DaysOfWeek$Companion
bbc65e86b52f90d0    2 of   2   io/reactivex/internal/operators/observable/ObservableMap
a4336d78bbb0f23b    1 of   6   androidx/appcompat/app/AppCompatDelegateImpl$ActionMenuPresenterCallback
4bfdb16dddf84fa9    2 of   2   ch/qos/logback/classic/pattern/LoggerConverter
e0e62aafe795fd18    1 of   1   androidx/fragment/app/Fragment$AnimationInfo
f23cd0c5963efc01    2 of   4   androidx/lifecycle/Lifecycle
54af14580dddddec    2 of  36   org/acra/collector/SettingsCollector
36b608dc06fa8057   10 of  25   ch/qos/logback/core/UnsynchronizedAppenderBase
2028c285b3bcd9d9   33 of 140   androidx/appcompat/app/AppCompatActivity
4fdb9b08b6f5b2ef    4 of   4   com/better/alarm/stores/SharedRxDataStoreFactory$stringDataStore$1$observe$1
b95401b2a4e6c4cb   12 of  45   ch/qos/logback/classic/util/ContextInitializer
a1fcb877481c415c    7 of  49   com/better/alarm/wakelock/WakeLockManager
1b1e5c244a3b9dce    1 of   5   org/acra/file/ReportLocator$special$$inlined$sortedBy$1
1d85572ed8f1928a    4 of   4   com/better/alarm/presenter/AlarmsListActivity$special$$inlined$globalInject$default$3
f4d8264c260b5c4e   17 of  53   io/reactivex/internal/disposables/DisposableHelper
34c74cf48a0e7aec    8 of  93   kotlinx/coroutines/JobKt__JobKt
279b41c45686680b    1 of   3   ch/qos/logback/core/rolling/helper/RegexPathPart
d085681396008645    4 of   5   androidx/datastore/core/SingleProcessDataStore$data$1$invokeSuspend$$inlined$map$1
8e15e8ecb1b33f9e    1 of  33   kotlinx/coroutines/flow/FlowKt__EmittersKt
1efd54842154ebf9    4 of  33   androidx/core/view/MarginLayoutParamsCompat
a9b2f06ae40dad00    1 of  15   androidx/preference/PreferenceScreen
afba797205d273cc    2 of   2   kotlin/SafePublicationLazyImpl$Companion
d8dedfd97f439092    4 of  44   io/reactivex/internal/util/NotificationLite
4275b441d6b1885d    9 of   9   com/better/alarm/configuration/ContainerKt$startKoin$module$1$7
cefc236bfe95bbda   42 of  98   org/acra/config/CoreConfiguration
1b89010753bb01ef    2 of  45   kotlin/collections/AbstractList$Companion
83cf3c950c56abd0    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$21
91dfb4c40af73733   31 of  90   kotlinx/coroutines/DispatchedTask
fc50fe2f3c8c7e13    2 of   2   com/better/alarm/wakelock/WakeLockManager$Companion
a67640656c3542c5    8 of  30   ch/qos/logback/core/pattern/parser/Token
cc668ed019f953ab    5 of 145   org/acra/collector/ConfigurationCollector
cda63ea568a5ab4f    3 of   4   kotlinx/coroutines/flow/internal/AbortFlowException
7a2031bbf062bb13    9 of  95   androidx/lifecycle/Lifecycling
f9218bf93cde9eec    2 of   3   com/better/alarm/logger/Logger$Companion
73fc166e1cdf59a1    1 of   5   kotlin/TuplesKt
5df8ccd6d14de88d    6 of   6   io/reactivex/internal/operators/observable/ObservableWithLatestFrom
3a26374f44e17166    3 of   3   kotlinx/coroutines/scheduling/TaskContextImpl
5be2d9cd1366c1b9    6 of   8   com/better/alarm/configuration/Layout
4331d14d4780d50d    7 of  12   ch/qos/logback/core/pattern/parser/TokenStream$1
c6fe8785cc3f2db5    2 of   3   com/better/alarm/model/AlarmValue$Companion
7b63312d98975a28   18 of  25   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton
47b1ed78a007123c    5 of   5   org/acra/config/MailSenderConfigurationBuilder$special$$inlined$observable$1
ed7819eb5bcb27ab   13 of  53   ch/qos/logback/core/recovery/ResilientOutputStreamBase
76529b3f2a05a79d    2 of   2   com/better/alarm/model/Create
b5bd5419ff341e66    5 of  28   ch/qos/logback/core/util/CharSequenceToRegexMapper
6fc7325f2b7c3e13    5 of   5   com/better/alarm/statemachine/StateMachine$branchToRoot$2
8d4b1fb378704a7f   13 of  53   androidx/core/view/MenuHostHelper
0347239d1189e1a4    2 of   7   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion
32754ac55b68132f    2 of   2   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion$ApplicationKeyImpl
e1d3f01f219ed0aa    5 of  52   androidx/appcompat/app/AppCompatDelegateImpl$PanelFeatureState
20bd3e2aa005a66b  169 of 282   org/acra/config/CoreConfigurationBuilder
cb813a4647236e1e    6 of  10   androidx/fragment/app/FragmentStateManager$2
7e6e165c390d49c3   10 of  10   com/better/alarm/configuration/ContainerKt$startKoin$module$1$22
7f3ffd75162e0499    5 of  11   com/google/android/material/animation/AnimationUtils
e002f42cf51389c2    6 of   6   org/koin/core/instance/SingleInstanceFactory$get$1
72df4afb0feb5730    2 of   2   kotlinx/serialization/descriptors/PrimitiveKind$INT
096cfa8a1f7c8465    2 of  29   androidx/collection/MapCollections$KeySet
fc017ece73550165    1 of   5   androidx/appcompat/widget/ActionBarOverlayLayout$3
