[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ClockYou-_v11.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
aba91ace40f2c13d   11 of  12   kotlinx/coroutines/flow/SharingStarted$Companion
8c0d3f58dd8cee73  199 of 631   androidx/compose/ui/node/MeasureAndLayoutDelegate
224ef42c25d9a310    2 of  29   androidx/collection/LongSetKt
faa8fe01d4d950dc    3 of  16   androidx/compose/runtime/internal/AtomicInt
3876ba4ab3fa5169    7 of   9   androidx/lifecycle/ViewModelKt
6764c74a3e5f3ec4   18 of  45   androidx/compose/animation/EnterTransition
63a62791429ac61b    3 of  10   androidx/compose/ui/autofill/AutofillTree
e77116abf9af08ce    5 of   5   androidx/compose/ui/text/style/TextForegroundStyle$Unspecified
8cad4aa66e6998de    2 of   2   androidx/compose/foundation/lazy/layout/LazyLayoutBeyondBoundsProviderModifierNode$Companion
09394c2762cec76e    3 of   3   androidx/compose/ui/graphics/drawscope/CanvasDrawScopeKt
8bfc3af2ef83ae32    2 of   2   androidx/compose/ui/graphics/colorspace/ColorSpace$Companion
69160b0fb2f45052    4 of  12   com/bnyro/clock/domain/repository/AlarmRepository
d157ece13ecf63bb    9 of  10   androidx/compose/runtime/snapshots/GlobalSnapshot$takeNestedMutableSnapshot$1$1
5318891a90111ad0   56 of 125   androidx/compose/ui/text/platform/extensions/TextPaintExtensions_androidKt
18ff2f3d6968ce6e    9 of  54   androidx/compose/material/ripple/StateLayer
474895bf1f344d06    5 of  59   androidx/core/app/ComponentActivity
8121b81326894f7d   32 of  61   androidx/compose/foundation/layout/ColumnMeasurePolicy
1c7121d38ca3e1cd    5 of  13   androidx/compose/runtime/changelist/Operation$Remember
37920e7e56dadffb    4 of   6   androidx/compose/animation/AnimatedVisibilityScopeImpl
e9ff3be49ed19c04    5 of  84   androidx/compose/ui/layout/SubcomposeSlotReusePolicy$SlotIdsSet
10094f50ee87f110    5 of  12   androidx/compose/ui/platform/InvertMatrixKt
f5d94284f1892604    4 of  19   androidx/compose/ui/text/font/AndroidFontResolveInterceptor
79bf465b676fd85a    2 of   3   androidx/compose/ui/text/PlatformParagraphStyle$Companion
bf8c150ddfaca5f9   12 of 1572   androidx/compose/ui/focus/FocusOwnerImpl
3a11fb3654d05522    4 of   4   androidx/compose/ui/layout/PlaceableKt$DefaultLayerBlock$1
33d534b393a8741b    5 of   7   com/bnyro/clock/presentation/screens/settings/model/SettingsModel$FabAlignment
cb56bd4f8185a74b   22 of  44   androidx/compose/runtime/SnapshotMutableStateImpl
d8a938adb86b98b8    3 of   3   kotlin/coroutines/jvm/internal/DebugProbesKt
cc1f279caf517405    4 of 118   androidx/compose/ui/unit/DpKt
fe5faf93f09f7188    1 of   2   kotlinx/coroutines/StandaloneCoroutine
f943f3039aabd00a    3 of  21   androidx/compose/ui/text/input/TextInputService
9a34f4aa72a97cd4    4 of   8   com/bnyro/clock/domain/model/TimeZoneSortOrder
21ab7039716b601a    6 of  31   androidx/compose/foundation/lazy/layout/LazyLayoutBeyondBoundsInfo
cdb7890971d6c58e   13 of  21   kotlinx/coroutines/JobImpl
2131afa6d0649e15    3 of   3   androidx/compose/ui/layout/SubcomposeLayoutState$setCompositionContext$1
43ab64e10910beb2    4 of   5   androidx/compose/ui/layout/AlignmentLineKt
8053029b5c66de47    2 of 115   androidx/compose/runtime/SlotWriter$Companion
43e23180757f97f0    5 of   7   androidx/compose/ui/unit/LayoutDirection
b3354fab62789e0b    1 of  17   androidx/compose/animation/core/DecayAnimationSpecKt
b837772821815e70   14 of  20   androidx/compose/ui/node/MeasurePassDelegate$placeOuterCoordinatorBlock$1
2d7fae748e6c4d96    2 of   4   androidx/compose/ui/semantics/SemanticsProperties$ContentDataType$1
a0719fc9d710b859    7 of  22   com/google/android/material/color/utilities/MathUtils
3a90d6be528dfe56    4 of  24   androidx/navigation/compose/DialogNavigator
954c39f59db9f1f6  161 of 790   kotlinx/coroutines/JobSupport
a42d54ab102ce053   30 of  52   com/google/android/material/color/utilities/ColorUtils
d404e4cacbf58bc5    3 of   5   kotlinx/coroutines/flow/ReadonlyStateFlow
2b27d4ab450bcb87   13 of  15   androidx/lifecycle/viewmodel/compose/LocalViewModelStoreOwner
7bce01297a79c19c   35 of 140   androidx/compose/animation/AnimatedContentMeasurePolicy
5faa00c4516d0f07   24 of  70   androidx/compose/ui/text/font/FontFamilyResolverImpl
1b27f7176a763742    8 of   8   androidx/compose/foundation/HorizontalScrollableClipShape
baafa6131c45d1ff   33 of  47   androidx/lifecycle/SavedStateHandleSupport
bef802ca3ef6a3c2    4 of   4   androidx/compose/ui/node/ComposeUiNode$Companion$SetModifier$1
b67145ce9692d426    1 of   3   androidx/compose/ui/platform/AndroidUiFrameClock$withFrameNanos$2$1
90278dfd6c1340c5    1 of   7   androidx/compose/material3/SurfaceKt$Surface$1$3
4da7341b5711ffa0   13 of  80   androidx/savedstate/SavedStateWriter
5ab5138b991d512e   16 of  21   androidx/compose/ui/node/NodeCoordinator$updateLayerParameters$1
ef5202fac46c18ca    4 of  15   kotlin/collections/EmptyIterator
ef0825c71a15e1cb    1 of   2   androidx/lifecycle/ViewModelProvider$OnRequeryFactory
616a3e234a3ff464   15 of  27   com/bnyro/clock/navigation/MainNavContainerKt
a4f45af59a12b506   14 of  37   androidx/compose/ui/text/platform/AndroidParagraphIntrinsics_androidKt
bb79deaec7f51335    6 of  12   androidx/compose/foundation/gestures/DefaultFlingBehavior
3432667d01e0e2b7   19 of  78   androidx/compose/foundation/layout/UnspecifiedConstraintsNode
e42cde82ec4457f1    7 of  17   androidx/activity/SystemBarStyle
fadd9cb0e3057475    8 of   8   androidx/compose/foundation/layout/FillElement$Companion
4d991a58757fb3a1    3 of  16   androidx/navigation/NavArgumentBuilder
40ad9d0ff3bbff39    2 of  43   com/bnyro/clock/data/database/dao/AlarmsDao_Impl$3
35670c52260fce1b    4 of  22   androidx/compose/ui/BiasAlignment$Vertical
46e0799db47bfa25   11 of  20   androidx/activity/compose/LocalOnBackPressedDispatcherOwner
420cc8df56645d91   15 of  61   androidx/lifecycle/viewmodel/internal/ViewModelImpl
61c8efb3f378dc2f   13 of  78   kotlinx/coroutines/internal/ConcurrentLinkedListNode
0a76aa1c7214f350    3 of   4   androidx/compose/runtime/saveable/SaverKt$Saver$1
6968dbe6fd983e38    1 of   2   kotlinx/coroutines/flow/SharedFlowImpl$collect$1
4a4f0c237630c173    1 of   3   androidx/compose/ui/platform/ComposeView$Content$1
931d67ce2887dd66    1 of   6   androidx/compose/ui/node/LayoutNode$Companion$DummyViewConfiguration$1
0baea7771673fb98   10 of  14   androidx/compose/foundation/lazy/layout/AndroidPrefetchScheduler$Companion
2072d6349e9a69e8  133 of 1770   kotlinx/coroutines/channels/BufferedChannel
14c32501a8f41800    3 of 164   kotlin/math/MathKt__MathJVMKt
