[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/TranslateYou-_v19.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
2072d6349e9a69e8  196 of 1770   kotlinx/coroutines/channels/BufferedChannel
ffaa6cd66abd18f8    2 of   4   androidx/compose/ui/semantics/SemanticsProperties$ContentType$1
30610fc15dce6354    3 of   3   kotlin/random/FallbackThreadLocalRandom$implStorage$1
b3d469ec840e7f0a    3 of  25   androidx/compose/foundation/text/contextmenu/modifier/TextContextMenuToolbarHandlerElement
8fe6708ff76cc93a   10 of  23   androidx/compose/ui/layout/ContentScale$Companion
e18b25be29fd8c89    1 of   3   androidx/compose/animation/AnimatedVisibilityKt$AnimatedEnterExitImpl$4
956a1c05c841c066    3 of   3   androidx/compose/foundation/text/TextFieldScrollerPosition$Companion
1f8c3d175c4e1f9c   19 of 236   androidx/collection/ObjectList
e532faed61755fe6    7 of  26   androidx/compose/ui/platform/LifecycleRetainedValuesStoreOwner$RetainedValuesStoreEntry
36de0bb2c4369816   72 of 111   androidx/compose/foundation/text/TextDelegate
271c501621b997ff    6 of  78   androidx/compose/foundation/lazy/layout/LazyLayoutBeyondBoundsProviderModifierNode
818b0fa732001d7e    6 of  10   androidx/lifecycle/viewmodel/InitializerViewModelFactoryBuilder
4bb8f57d74364ba8    3 of   5   androidx/compose/ui/unit/TextUnit$Companion
d7f43b8d1cc571e0    3 of   4   androidx/compose/ui/text/intl/AndroidPlatformLocale_androidKt
a8fe6d992126051c    1 of   3   androidx/compose/foundation/FocusableNode$applySemantics$1
86d5096ef5abfb72   16 of  29   androidx/compose/runtime/SnapshotStateKt
6d9f99b1539726db   11 of  24   androidx/compose/ui/input/InputMode
02768ba70e22c697    8 of  22   androidx/compose/ui/text/input/KeyboardType$Companion
71127225d1d47389   17 of  32   androidx/compose/material3/ShapesKt$WhenMappings
b703811aaf27b853    2 of  15   androidx/compose/foundation/text/DeadKeyCombiner
9938657df5320819    4 of   4   androidx/compose/animation/AnimatedVisibilityKt$AnimatedVisibility$3$1
56c9d459b51716f5    3 of   3   androidx/compose/ui/text/android/StaticLayoutFactory26
0918389e00601093    9 of  94   androidx/compose/runtime/Recomposer$Companion
ba510e1c3c16092e    5 of  12   androidx/compose/runtime/composer/gapbuffer/changelist/Operation$EnsureGroupStarted
ba03aa27376ce63f  311 of 1155   androidx/navigation/compose/NavHostKt
7e6cbd775fca7d51    6 of  21   androidx/compose/foundation/lazy/LazyItemScopeImpl
c93d51d0dbe96285    5 of  10   retrofit2/Retrofit$1
e1878f6e18d457bc    1 of   2   androidx/compose/runtime/internal/Thread_jvmKt
112e767a8ca00a76   24 of  83   androidx/compose/runtime/composer/gapbuffer/PrioritySet
3a96ccc4a30f54db    6 of  29   androidx/compose/ui/FrameRateCategory
ad26ebde2d56ea29    3 of   3   androidx/compose/runtime/DerivedSnapshotState$ResultRecord$Companion
1bfe3dc2716b96d0    2 of  70   androidx/core/view/DisplayCompat
85c43a7da46a9a54   16 of  61   androidx/compose/foundation/lazy/LazyListScrollPosition
482b054e11f4fd1b   19 of 127   kotlin/jvm/internal/Intrinsics
df537fc11843f95d    2 of   4   com/bnyro/translate/db/AppDatabase_AutoMigration_2_3_Impl
656ed771b6f8c56a   11 of  35   kotlin/jvm/internal/PropertyReference
f51dadff61ee9881   17 of  20   androidx/compose/animation/core/AnimatableKt
f17634dfe4edc0cb    5 of   5   androidx/compose/runtime/composer/GroupKind$Companion
067787285590155f   32 of  73   androidx/sqlite/driver/SupportSQLiteStatement$Companion
e34ff677975703fe   13 of  22   androidx/navigation/NavController$NavControllerNavigatorState
12197ec1b297ffd7    6 of  12   com/bnyro/translate/ui/views/TranslationComponentKt$TranslationComponent$2$1
db2cae7088e65c23   13 of  18   androidx/lifecycle/LifecycleRegistryKt
8f24cc46f476f68f    2 of  21   androidx/compose/runtime/Composer
b0a97c18f5c638df    3 of   3   androidx/compose/runtime/external/kotlinx/collections/immutable/implementations/immutableMap/TrieNode$Companion
99ea69526b4dda5d   57 of  95   androidx/compose/foundation/lazy/LazyListKt$rememberLazyListMeasurePolicy$1$1
3acdee8d90a7c54e    6 of 157   androidx/collection/MutableLongList
4c111466c69d7f43   17 of  47   androidx/compose/material/ripple/RippleNode
f4180665064dd59c   16 of  21   androidx/compose/ui/node/AlignmentLines$recalculate$1
d38ad94132b199d7  113 of 202   androidx/compose/ui/draw/PainterNode
24cb66490c25cf0a   14 of 333   kotlin/time/Duration
7b3cb3e6109eb9f5    2 of   8   androidx/compose/ui/platform/InspectorValueInfo
6e28de97c3473249    1 of   2   androidx/compose/ui/autofill/ContentDataType_androidKt
8f1856f43713cf4c    2 of   5   androidx/compose/ui/semantics/SemanticsProperties$IsPopup$1
a901273d53529cdd    2 of   4   androidx/compose/ui/semantics/SemanticsProperties$TestTag$1
9178412127cab626  132 of 449   androidx/compose/runtime/snapshots/MutableSnapshot
ef29f3626c5471aa   25 of  62   androidx/compose/ui/graphics/AndroidGraphicsContext
f1cc0054a15e3170   31 of 11164   kotlin/collections/ArraysKt___ArraysKt
3cb325762119d91c    2 of   4   androidx/compose/ui/layout/ScaleFactor$Companion
65ff4f796f254462   16 of  57   androidx/compose/ui/text/font/TypefaceRequestCache
b03b0c7e81663ce1    4 of   4   androidx/compose/ui/focus/FocusPropertiesImpl$onEnter$1
a446add44af282a7    5 of   9   androidx/compose/animation/AnimatedContentKt$AnimatedContent$6$1$4$1
3bfdbfd8fcf97914    9 of  24   kotlinx/coroutines/DispatchedCoroutine
3ad09f9f78105c96   17 of  69   androidx/compose/foundation/layout/BoxMeasurePolicy
fcdf0b58936b0521    8 of  58   androidx/compose/ui/input/nestedscroll/NestedScrollDispatcher
79a1f331a3156857   67 of 153   okhttp3/Dispatcher
d173b55c411544e9    2 of   3   kotlin/collections/AbstractMutableList
5e1b8e361e68cf92    3 of  10   androidx/compose/ui/text/style/BaselineShift$Companion
eebe0129a88886c6    7 of   7   androidx/compose/runtime/StaticProvidableCompositionLocal
3d1451b80e4de338    1 of   1   androidx/compose/foundation/MarqueeSpacing
f09be23cf933ea48    5 of   8   kotlinx/coroutines/EventLoopImplPlatform
833e3b4e5d1fc4b3    6 of   7   kotlinx/coroutines/internal/FastServiceLoaderKt
2b70d455e894566c    1 of  12   androidx/core/view/WindowInsetsControllerCompat$Impl
b1c7af478461bb3c    1 of  11   kotlinx/coroutines/channels/ProducerCoroutine
39e2ded45b91bd44   13 of  15   androidx/compose/runtime/SnapshotFlowManagerImpl
4aaa7e476c2c9922    2 of   5   androidx/compose/animation/core/AnimationResult
1e6c6ebacc6bfd54   26 of  51   retrofit2/Retrofit$Builder
592cbc8083b447f1    6 of   8   androidx/lifecycle/ViewModelStoreOwnerDefaults
d487bdb5c55b6d80   31 of  84   okhttp3/Address
73022414ee32d8c8   23 of 468   androidx/collection/ObjectIntMap
a7fb4738afb2ce9d    5 of   8   androidx/compose/ui/graphics/ColorFilter$Companion
a5120f58f442fff8    4 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalProvidableScrollCaptureInProgress$1
31b5fa094a4e0003    3 of   3   androidx/compose/animation/AnimatedContentKt$AnimatedContent$6$1$3$1
9f4dd696f2023a2b   81 of 412   androidx/compose/ui/text/MultiParagraph
6eae27fa55b49d16    1 of   3   androidx/activity/EdgeToEdgeApi28
647cf0c63dcca880   53 of  96   androidx/compose/ui/text/android/TextLayout_androidKt
