[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Calendar-_1.10.3-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
27cd8b40daf9d6fe    3 of   4   androidx/fragment/app/FragmentStateManager$1
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
7945bf38b8b19641    1 of  12   com/google/gson/internal/bind/TypeAdapters$21
a8fb22d2f3b3e915   10 of  15   androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement$ensureCursor$1
d48599621075951d  107 of 282   androidx/appcompat/widget/ActionMenuPresenter
dcdfb7476bff90e8   10 of  14   androidx/core/view/WindowInsetsCompat$TypeImpl30
3a71f3599d5acce3    2 of   3   androidx/lifecycle/SavedStateHandlesVM
48a5d8ebf4fd9427    1 of   4   androidx/core/os/LocaleListCompat$Api24Impl
4afc1bf3e97120e8    6 of  42   androidx/room/RoomDatabaseKt__RoomDatabase_androidKt
f5d7a570c7699f59    1 of   2   com/google/gson/FieldNamingPolicy$4
4e0de26bd373cf82    1 of  15   com/google/gson/internal/bind/TypeAdapters$22
a9e083d94cb4961a    2 of  15   org/fossify/commons/extensions/EditTextKt
62a1ade9dfe8c038    1 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
60aa95ca43c5a63f    3 of   5   androidx/work/OneTimeWorkRequest
d22fe63e455629d9    2 of  17   androidx/work/impl/constraints/controllers/NetworkConnectedController
450fcbdfb8d24e9d    1 of  10   kotlin/jvm/internal/MutablePropertyReference0
b745d837bdd5aa38   12 of  39   org/fossify/commons/helpers/AppLockManager
206dbfc2304c7743    2 of  11   org/joda/time/chrono/GJDayOfWeekDateTimeField
28e2e60e98dd7692  222 of 1298   androidx/appcompat/app/AppCompatDelegateImpl
a520c0e95a78e712   16 of  71   org/fossify/commons/helpers/FontHelper
ac39ff3a3b7d10dd    8 of  41   com/duolingo/open/rtlviewpager/RtlViewPager$ReversingAdapter
1b569d660d5d03c9    6 of   7   org/fossify/commons/extensions/ViewKt$onGlobalLayout$1
f3aec13ad35d496f   25 of  93   androidx/work/WorkRequest$Builder
8724e8df7f2fe87c    4 of   4   androidx/sqlite/db/SupportSQLiteOpenHelper$Configuration$Companion
74f0c89b7522a1e1   27 of  51   androidx/appcompat/view/ContextThemeWrapper
2fbae065d6c191b4    1 of   2   androidx/room/coroutines/PassthroughConnection$transaction$1
b51f73a7d16c4778    1 of   2   androidx/room/TriggerBasedInvalidationTracker$createFlow$1$2$emit$1
9194713efa0fda0a    2 of  10   com/google/gson/TypeAdapter$NullSafeTypeAdapter
920323eba0f2a9b5   30 of 868   org/fossify/commons/activities/BaseSimpleActivity
3697ac007206c024    1 of  80   androidx/savedstate/SavedStateWriter
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
b6c23595800653e8    9 of  16   androidx/lifecycle/Lifecycle$Event$WhenMappings
d5f2c85934776967    2 of   5   androidx/core/view/GravityCompat
e628ec2045a56710   35 of 163   androidx/work/impl/WorkManagerImpl
030ffd29b99e8f07    3 of  22   com/google/gson/TypeAdapter
f5206d701784ef15    7 of  32   org/joda/time/field/RemainderDateTimeField
f307b250dd5084c5   16 of  29   androidx/core/view/WindowCompat
0c32d925b965e4b1    7 of   7   androidx/work/WorkRequest
e0e62aafe795fd18    1 of   1   androidx/fragment/app/Fragment$AnimationInfo
9bb6b140e223e010    2 of  15   androidx/work/impl/Migration_16_17
beb940e8ba9d0404    1 of   5   com/google/gson/internal/sql/SqlDateTypeAdapter$1
464c447cbbe4811e    3 of 101   androidx/core/view/NestedScrollingChildHelper
376e755630e49a17   19 of  33   androidx/work/impl/WorkerWrapperKt
69572dd5c24fa600   41 of 107   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper
ef20ba470ff92253   42 of  43   org/joda/time/DateTimeZone$LazyInit
91278e68fc2393a2  133 of 265   androidx/room/TriggerBasedInvalidationTracker
080c10a8d47cbc16    2 of  28   androidx/work/impl/constraints/trackers/BatteryNotLowTracker
ae29f0f31e6f507b    3 of  23   org/fossify/calendar/helpers/SmartSwipeRefreshLayout
90003fb490223759    6 of  11   kotlin/LazyKt__LazyJVMKt
52fdedf8fb18acc8    2 of  13   androidx/work/impl/constraints/controllers/BaseConstraintController
23a78fe230c86458    1 of   3   androidx/work/WorkContinuation
9fd3ec392b5d0061   25 of  87   androidx/navigationevent/NavigationEventHandler
8ef4c5f824be9764    1 of   1   androidx/appcompat/view/menu/ActionMenuItemView$PopupCallback
d8a938adb86b98b8    3 of   3   kotlin/coroutines/jvm/internal/DebugProbesKt
3f39e153585abee7    2 of  11   androidx/savedstate/ViewTreeSavedStateRegistryOwner
2fb6cbd54c2da096    6 of   7   kotlin/collections/builders/MapBuilder$KeysItr
ea5a9813bfbef52f    6 of   6   androidx/room/RoomMasterTable
bf4e7517d45dd6dc   16 of 241   androidx/collection/LongSparseArray
d6c708d638a09e68    1 of   3   androidx/work/impl/WorkDatabase_AutoMigration_22_23_Impl
2527ce33b555d698    1 of   4   org/fossify/calendar/databases/EventsDatabase$Companion$MIGRATION_4_5$1
4e2b2c2951232bf8    1 of   7   org/fossify/calendar/fragments/MyFragmentHolder
818e8505dd9d49cc    3 of   7   androidx/work/impl/constraints/trackers/BroadcastReceiverConstraintTracker
fe5faf93f09f7188    1 of   2   kotlinx/coroutines/StandaloneCoroutine
fe06df07a332baef    7 of   7   androidx/savedstate/SavedStateRegistryController$Companion
f66cbc86aa338807    4 of   5   androidx/work/impl/DefaultRunnableScheduler
4151864901b8fe7e    6 of  10   kotlinx/coroutines/CoroutineStart$WhenMappings
d46667dc4f285c4c   34 of 195   org/joda/time/format/DateTimeFormatter
5799ce214eca8792    5 of  28   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate
360e5bf82f12da00    1 of  16   kotlin/internal/jdk7/JDK7PlatformImplementations
cdb7890971d6c58e    6 of  21   kotlinx/coroutines/JobImpl
189d1e841728c1de   43 of 318   androidx/appcompat/widget/ActionMenuView
98d4656e58be8deb   14 of  38   org/joda/time/format/DateTimeFormatterBuilder$NumberFormatter
6b6b84106e4f69c4    5 of  22   org/joda/time/chrono/ISOYearOfEraDateTimeField
f450e6b41b0da118   68 of 937   kotlin/text/StringsKt__StringsKt
45dd8a866ff5405c    2 of   2   androidx/room/InvalidationTracker$Companion
f9443842910c48fe    1 of  71   androidx/work/impl/model/WorkSpecDao_Impl$2
954c39f59db9f1f6  177 of 790   kotlinx/coroutines/JobSupport
f4a4e9230a4edf31    2 of  13   androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement$Companion
7ed8d0ce1049d6a6    1 of   1   androidx/savedstate/internal/SynchronizedObject
6ac5475a96ebb38e    2 of   4   androidx/work/impl/Migration_8_9
cb813a4647236e1e    6 of  10   androidx/fragment/app/FragmentStateManager$2
d404e4cacbf58bc5    2 of   5   kotlinx/coroutines/flow/ReadonlyStateFlow
f7d1152d5fab3da9   10 of 122   org/fossify/commons/extensions/IntKt
d264df782952fd4e    1 of   4   com/google/gson/internal/bind/NumberTypeAdapter$1
2f260f332bb99aae    6 of  44   androidx/work/impl/constraints/trackers/ConstraintTracker
013a271aa3f95cdc    1 of   2   androidx/appcompat/app/AppCompatDelegate$ThreadPerTaskExecutor
d7f34367281c458d  109 of 283   androidx/navigationevent/NavigationEventProcessor
042f3e9258b9bb01    1 of   4   kotlinx/coroutines/CancellableContinuationImplKt
0295ef5f7d54f198    2 of   4   androidx/work/impl/constraints/trackers/BroadcastReceiverConstraintTracker$broadcastReceiver$1
b5c5933c97a77858    2 of   3   androidx/work/impl/background/systemjob/SystemJobService$Api24Impl
9a299f2999d9f5d1   61 of 793   androidx/core/view/ViewCompat
dcea2f4ce5261788   17 of  39   org/joda/time/chrono/ISOChronology
ffe2f14069707edb    7 of  12   androidx/sqlite/driver/SupportSQLiteStatement$TransactionSQLiteStatement$WhenMappings
ed0158074274ae7f   27 of  46   androidx/work/impl/WorkManagerImplExtKt
ef5202fac46c18ca    3 of  15   kotlin/collections/EmptyIterator
6f4ba9f3ee6a01dd    8 of  10   com/google/gson/ToNumberPolicy
85ca33fd03037424   33 of 180   androidx/constraintlayout/core/widgets/ConstraintAnchor
d32afce360207ef1    5 of  72   com/google/android/material/resources/MaterialResources
4620a6100c5e4d77   35 of  83   androidx/work/impl/background/systemjob/SystemJobInfoConverter
