[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Vinyl-Music-Player-_1.5.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
1fbc2404c007d7dc    9 of  16   androidx/lifecycle/FullLifecycleObserverAdapter$1
15fc7dbb61588ca0   44 of 142   androidx/appcompat/app/AppCompatActivity
6624b1fa6af3b4b7    2 of  55   androidx/drawerlayout/widget/DrawerLayout$AccessibilityDelegate
abe50e6cd8aa338e   37 of  84   androidx/cardview/widget/CardView
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
e43246c675e1c31e    1 of   3   androidx/appcompat/widget/ActionMenuView$ActionMenuPresenterCallback
626017cfd969e7e7    1 of   2   androidx/customview/widget/ViewDragHelper$2
226cb67cfde9adae    4 of   4   com/poupa/vinylmusicplayer/util/PackageValidator$getSignatureSha256$1
5b1894109100812e   29 of  51   com/poupa/vinylmusicplayer/sort/AlbumSortOrder
9c6590063aa09f4a    2 of   2   kotlin/jvm/internal/StringCompanionObject
b74d58a0009d6058    1 of   9   androidx/core/widget/TextViewCompat$Api17Impl
32644374cd50045f  334 of 1316   androidx/fragment/app/FragmentManager
8b2c6736a6934b59   16 of  18   com/kabouzeid/appthemehelper/util/ToolbarContentTintHelper$InternalToolbarContentTintUtil$1
de3dde3d8568d86e    6 of   6   androidx/recyclerview/widget/DefaultItemAnimator$3
0b7531a5da895243   19 of  80   androidx/savedstate/SavedStateRegistry
be5e83652d66da74    4 of   4   com/heinrichreimersoftware/materialintro/view/parallax/ParallaxSlideFragment
9b353f6c30633692    1 of   1   com/poupa/vinylmusicplayer/helper/MusicPlayerRemote$ServiceToken
a48422bf0fed1817    6 of  84   com/h6ah4i/android/widget/advrecyclerview/animator/impl/BaseItemAnimationManager
54b3798b89c9f336    2 of  18   com/h6ah4i/android/widget/advrecyclerview/draggable/RecyclerViewDragDropManager$ScrollOnDraggingProcessRunnable
36020fb32895127c    3 of   4   com/h6ah4i/android/widget/advrecyclerview/draggable/TopBottomEdgeEffectDecorator
1b79341a6f05c3ad   12 of  44   com/google/android/material/elevation/ElevationOverlayProvider
4636e53b1840b953    2 of   2   androidx/appcompat/app/ToolbarActionBar$1
967cf1d67e88f3fa    3 of   9   com/h6ah4i/android/widget/advrecyclerview/animator/DraggableItemAnimator
223f1e4a595553d1   30 of  77   com/poupa/vinylmusicplayer/provider/HistoryStore
851dc4c6f26bd947    7 of  46   androidx/recyclerview/widget/LinearLayoutManager$AnchorInfo
1b5592e432208140    5 of  12   androidx/lifecycle/ViewModelStore
564b8c036ee5c80c    3 of  26   com/poupa/vinylmusicplayer/adapter/song/AbsOffsetSongAdapter
193db44406d3dd0c   28 of 180   androidx/constraintlayout/core/widgets/ConstraintAnchor
c1d366f81f75873b   16 of 176   androidx/multidex/MultiDex
80fb813b284a88b4    2 of  32   androidx/core/view/LayoutInflaterCompat
21b9b531ec03a9a3   43 of 318   androidx/appcompat/widget/ActionMenuView
d9c1cc0d34fe1fd0    2 of 139   org/jaudiotagger/audio/mp4/Mp4InfoReader
47ef186305323a2f   13 of  18   com/google/android/material/shape/MaterialShapeUtils
44235abc091c4a9c    1 of   8   com/poupa/vinylmusicplayer/helper/menu/SongMenuHelper$OnClickSongMenu
c204cdb3df67aaa2    1 of 113   androidx/appcompat/view/menu/ActionMenuItem
cf468517b8ba0734   23 of  37   androidx/lifecycle/ProcessLifecycleOwner
34d4263fa6728afd    2 of   3   androidx/core/util/ObjectsCompat$Api19Impl
7cae259b8f41dfcb    3 of  26   kotlin/collections/CollectionsKt__IterablesKt
826a8977868f7acc    1 of   7   com/poupa/vinylmusicplayer/helper/PrevNextButtonOnTouchListener$1
89789633fed24d75    9 of  14   androidx/fragment/app/strictmode/FragmentStrictMode$Policy
7383bf6e5126b674   34 of 122   com/heinrichreimersoftware/materialintro/slide/SimpleSlide
03456403edb8425a    4 of  21   com/poupa/vinylmusicplayer/discog/tagging/MultiValuesTagUtil
9b1127c3bc82e1e4   75 of 140   com/simplecityapps/recyclerview_fastscroll/views/FastScroller
3fb6ff7b177f4d69    1 of   2   androidx/recyclerview/R$styleable
e93babd677695bb8    6 of   7   com/kabouzeid/appthemehelper/util/ToolbarContentTintHelper$InternalToolbarContentTintUtil$3
2425086833dd1f0e    1 of   2   com/poupa/vinylmusicplayer/adapter/MusicLibraryPagerAdapter$MusicFragments$All
68600eb8690804a5    2 of   2   androidx/fragment/app/strictmode/FragmentStrictMode$Policy$Companion
7668404c11f920e3    1 of  11   androidx/recyclerview/widget/RecyclerView$LayoutManager$2
56e5d0a01c62f75a   21 of  25   androidx/recyclerview/widget/OrientationHelper$2
858d4eb4116ede07   12 of  87   androidx/core/view/MenuItemCompat
0304387ae9a23a2e    1 of   4   androidx/core/content/ContextCompat$Api23Impl
78f849e66498b6ed   46 of 159   androidx/emoji2/text/EmojiCompat
753a775dbf9e6c69   18 of  85   androidx/cardview/widget/RoundRectDrawable
98d57e02cf6996a2    6 of   9   androidx/loader/content/ModernAsyncTask$2
ac999eb2a0e118c9    7 of  11   androidx/lifecycle/LiveData$ObserverWrapper
b8c25cf014530ed2    1 of  78   org/jaudiotagger/audio/dff/DffFileReader
b39ccf1d6c5f3665    6 of  16   androidx/activity/OnBackPressedDispatcher$LifecycleOnBackPressedCancellable
089708d5bffbc35d    1 of   1   com/google/android/material/internal/NavigationMenuPresenter$ViewHolder
938c58478c704ce9    6 of  13   androidx/core/content/res/ResourcesCompat$ColorStateListCacheKey
7f589a1652496381    5 of  21   com/google/android/material/appbar/AppBarLayout$Behavior
9a47308ea20d36ae    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig
96cc645d90325e8f    1 of   4   com/poupa/vinylmusicplayer/service/notification/PlayingNotification
82dac8e8f67b4119   25 of  42   com/google/android/material/navigation/NavigationView$2
0b1bcc8ff35b1676    1 of   2   androidx/fragment/app/Fragment$1
a7ef3eaa6cef5329   26 of  67   com/poupa/vinylmusicplayer/adapter/PlaylistAdapter
dda0ec2cbee3c21b    5 of   6   androidx/fragment/app/SpecialEffectsController$Operation$LifecycleImpact
93f0f5fee8cd9c44   89 of 404   com/google/android/material/appbar/AppBarLayout$BaseBehavior
cce980a793f00d65    2 of   2   androidx/recyclerview/widget/RecyclerView$RecycledViewPool$ScrapData
a3762867985e4588    3 of   6   androidx/lifecycle/ViewModelProvider$Factory
3b6c92dd1b05173c    2 of  12   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ShadowAnimatorImpl
828d222bc2a16c2c    5 of  55   androidx/media/MediaBrowserServiceCompat$ServiceHandler
f5161c01c5ac0042    9 of  27   com/kabouzeid/appthemehelper/util/ColorUtil
6d717634a2778c5c   15 of  22   com/heinrichreimersoftware/materialintro/view/parallax/util/ParallaxUtil
8e7a64963bcbf140    1 of  14   androidx/appcompat/widget/ActionMenuPresenter$PopupPresenterCallback
0b21de17d9a6d164   67 of 113   com/google/android/material/shape/ShapePath
8a34ee31601d519f    7 of   8   com/sothree/slidinguppanel/SlidingUpPanelLayout$PanelState
b8357700eb156945   20 of  47   me/zhanghai/android/materialprogressbar/BaseDrawable
